type,period,load_zone,trade,Scenario,multiplier,trade_1
export,2020,Argentina,1.43151,Trade Vestas V90 2000 Single-Axis,-1,-1.43151
export,2020,Brazil,0.23169,Trade Vestas V90 2000 Single-Axis,-1,-0.23169
export,2020,Chile,0.00105,Trade Vestas V90 2000 Single-Axis,-1,-0.00105
export,2020,Paraguay,0.00825,Trade Vestas V90 2000 Single-Axis,-1,-0.00825
export,2020,Uruguay,0.73492,Trade Vestas V90 2000 Single-Axis,-1,-0.73492
export,2025,Argentina,1.07565,Trade Vestas V90 2000 Single-Axis,-1,-1.07565
export,2025,Brazil,1.68065,Trade Vestas V90 2000 Single-Axis,-1,-1.68065
export,2025,Chile,0.00157,Trade Vestas V90 2000 Single-Axis,-1,-0.00157
export,2025,Paraguay,0.00784,Trade Vestas V90 2000 Single-Axis,-1,-0.00784
export,2025,Uruguay,0.29778,Trade Vestas V90 2000 Single-Axis,-1,-0.29778
export,2030,Argentina,1.46866,Trade Vestas V90 2000 Single-Axis,-1,-1.46866
export,2030,Brazil,2.56512,Trade Vestas V90 2000 Single-Axis,-1,-2.56512
export,2030,Chile,0.0021,Trade Vestas V90 2000 Single-Axis,-1,-0.0021
export,2030,Paraguay,0.0078,Trade Vestas V90 2000 Single-Axis,-1,-0.0078
export,2030,Uruguay,0.06855,Trade Vestas V90 2000 Single-Axis,-1,-0.06855
export,2035,Argentina,1.9124,Trade Vestas V90 2000 Single-Axis,-1,-1.9124
export,2035,Brazil,1.6638,Trade Vestas V90 2000 Single-Axis,-1,-1.6638
export,2035,Chile,0.00277,Trade Vestas V90 2000 Single-Axis,-1,-0.00277
export,2035,Paraguay,0.0078,Trade Vestas V90 2000 Single-Axis,-1,-0.0078
export,2035,Uruguay,0.09107,Trade Vestas V90 2000 Single-Axis,-1,-0.09107
export,2040,Argentina,2.05878,Trade Vestas V90 2000 Single-Axis,-1,-2.05878
export,2040,Brazil,1.48773,Trade Vestas V90 2000 Single-Axis,-1,-1.48773
export,2040,Chile,0.00147,Trade Vestas V90 2000 Single-Axis,-1,-0.00147
export,2040,Paraguay,0.0078,Trade Vestas V90 2000 Single-Axis,-1,-0.0078
export,2040,Uruguay,0.09225,Trade Vestas V90 2000 Single-Axis,-1,-0.09225
export,2045,Argentina,2.08707,Trade Vestas V90 2000 Single-Axis,-1,-2.08707
export,2045,Brazil,1.13632,Trade Vestas V90 2000 Single-Axis,-1,-1.13632
export,2045,Chile,0.00144,Trade Vestas V90 2000 Single-Axis,-1,-0.00144
export,2045,Paraguay,0.00421,Trade Vestas V90 2000 Single-Axis,-1,-0.00421
export,2045,Uruguay,0.27181,Trade Vestas V90 2000 Single-Axis,-1,-0.27181
export,2050,Argentina,1.76338,Trade Vestas V90 2000 Single-Axis,-1,-1.76338
export,2050,Brazil,0.8963,Trade Vestas V90 2000 Single-Axis,-1,-0.8963
export,2050,Chile,0.00093,Trade Vestas V90 2000 Single-Axis,-1,-0.00093
export,2050,Paraguay,0.00229,Trade Vestas V90 2000 Single-Axis,-1,-0.00229
export,2050,Uruguay,0.59744,Trade Vestas V90 2000 Single-Axis,-1,-0.59744
import,2020,Argentina,0.55782,Trade Vestas V90 2000 Single-Axis,1,0.55782
import,2020,Brazil,1.5568,Trade Vestas V90 2000 Single-Axis,1,1.5568
import,2020,Chile,0.00594,Trade Vestas V90 2000 Single-Axis,1,0.00594
import,2020,Paraguay,0.0,Trade Vestas V90 2000 Single-Axis,1,0.0
import,2020,Uruguay,0.28686,Trade Vestas V90 2000 Single-Axis,1,0.28686
import,2025,Argentina,0.95694,Trade Vestas V90 2000 Single-Axis,1,0.95694
import,2025,Brazil,0.56247,Trade Vestas V90 2000 Single-Axis,1,0.56247
import,2025,Chile,0.00406,Trade Vestas V90 2000 Single-Axis,1,0.00406
import,2025,Paraguay,0.0,Trade Vestas V90 2000 Single-Axis,1,0.0
import,2025,Uruguay,1.54003,Trade Vestas V90 2000 Single-Axis,1,1.54003
import,2030,Argentina,0.63198,Trade Vestas V90 2000 Single-Axis,1,0.63198
import,2030,Brazil,0.51755,Trade Vestas V90 2000 Single-Axis,1,0.51755
import,2030,Chile,0.00321,Trade Vestas V90 2000 Single-Axis,1,0.00321
import,2030,Paraguay,0.0,Trade Vestas V90 2000 Single-Axis,1,0.0
import,2030,Uruguay,2.95948,Trade Vestas V90 2000 Single-Axis,1,2.95948
import,2035,Argentina,0.20826,Trade Vestas V90 2000 Single-Axis,1,0.20826
import,2035,Brazil,0.85674,Trade Vestas V90 2000 Single-Axis,1,0.85674
import,2035,Chile,0.00199,Trade Vestas V90 2000 Single-Axis,1,0.00199
import,2035,Paraguay,0.0,Trade Vestas V90 2000 Single-Axis,1,0.0
import,2035,Uruguay,2.61085,Trade Vestas V90 2000 Single-Axis,1,2.61085
import,2040,Argentina,0.20832,Trade Vestas V90 2000 Single-Axis,1,0.20832
import,2040,Brazil,1.02197,Trade Vestas V90 2000 Single-Axis,1,1.02197
import,2040,Chile,0.00205,Trade Vestas V90 2000 Single-Axis,1,0.00205
