scs_id,tech,capacity_cost
prm15_wcost_re1_c2p1_t1,Battery,445454595.8882905
prm15_wcost_re1_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re1_c2p1_t1,Fossil,17810476080.81269
prm15_wcost_re1_c2p1_t1,Geothermal,0.0
prm15_wcost_re1_c2p1_t1,Hydro,7830260049.142584
prm15_wcost_re1_c2p1_t1,Nuclear,0.0
prm15_wcost_re1_c2p1_t1,Solar,11011214089.707815
prm15_wcost_re1_c2p1_t1,Wind,14637825517.722528
prm15_wcost_re2_c2p1_t1,Battery,515409732.67009366
prm15_wcost_re2_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re2_c2p1_t1,Fossil,18473593933.720066
prm15_wcost_re2_c2p1_t1,Geothermal,0.0
prm15_wcost_re2_c2p1_t1,Hydro,7869910653.292405
prm15_wcost_re2_c2p1_t1,Nuclear,0.0
prm15_wcost_re2_c2p1_t1,Solar,12566161253.494534
prm15_wcost_re2_c2p1_t1,Wind,8389285799.554635
prm15_wcost_re3_c2p1_t1,Battery,537338229.4697769
prm15_wcost_re3_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re3_c2p1_t1,Fossil,18385516993.57111
prm15_wcost_re3_c2p1_t1,Geothermal,0.0
prm15_wcost_re3_c2p1_t1,Hydro,8396235709.858929
prm15_wcost_re3_c2p1_t1,Nuclear,0.0
prm15_wcost_re3_c2p1_t1,Solar,12854947156.296824
prm15_wcost_re3_c2p1_t1,Wind,5072537532.343341
prm15_wcost_re4_c2p1_t1,Battery,514991066.1360702
prm15_wcost_re4_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re4_c2p1_t1,Fossil,18184164217.03036
prm15_wcost_re4_c2p1_t1,Geothermal,0.0
prm15_wcost_re4_c2p1_t1,Hydro,8396235709.858929
prm15_wcost_re4_c2p1_t1,Nuclear,0.0
prm15_wcost_re4_c2p1_t1,Solar,12729716091.50748
prm15_wcost_re4_c2p1_t1,Wind,7891238755.053717
prm15_wcost_re5_c2p1_t1,Battery,504446812.57799685
prm15_wcost_re5_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re5_c2p1_t1,Fossil,18477350109.656506
prm15_wcost_re5_c2p1_t1,Geothermal,0.0
prm15_wcost_re5_c2p1_t1,Hydro,7869910653.292405
prm15_wcost_re5_c2p1_t1,Nuclear,0.0
prm15_wcost_re5_c2p1_t1,Solar,12131902578.899092
prm15_wcost_re5_c2p1_t1,Wind,8557827048.029292
prm15_wcost_re6_c2p1_t1,Battery,445086013.92071784
prm15_wcost_re6_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re6_c2p1_t1,Fossil,18117909867.186386
prm15_wcost_re6_c2p1_t1,Geothermal,0.0
prm15_wcost_re6_c2p1_t1,Hydro,7830260049.142583
prm15_wcost_re6_c2p1_t1,Nuclear,0.0
prm15_wcost_re6_c2p1_t1,Solar,11443683467.281778
prm15_wcost_re6_c2p1_t1,Wind,12030046073.257942
prm15_wcost_re7_c2p1_t1,Battery,489730840.35006946
prm15_wcost_re7_c2p1_t1,Biomass,1567608409.4794521
prm15_wcost_re7_c2p1_t1,Fossil,18431472946.782803
prm15_wcost_re7_c2p1_t1,Geothermal,0.0
prm15_wcost_re7_c2p1_t1,Hydro,7869910653.292405
prm15_wcost_re7_c2p1_t1,Nuclear,0.0
