scenario,technology,load_zone,new_build_mw,cap_mw,new_cap_mw,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re18_c2p1_t1,SolarPV,Argentina,1361.824595719103,68590.4,1361.824595719103,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,SolarPV,Paraguay,2488.6233168875924,11360.1,2488.6233168875924,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,SolarPV,Uruguay,3957.6207322724927,8111.2,3957.6207322724927,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,Wind,Argentina,585.0,631578.0,585.0,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,Wind,Brazil,42544.678027807466,281991.0,42544.678027807466,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,Wind,Uruguay,7709.872733686067,102552.0,7709.872733686067,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re4_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,Wind,Brazil,47275.09642138583,281991.0,47275.09642138583,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re13_c2p1_t1,SolarPV,Chile,0.0,94117.1,0.0,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re4_c2p1_t1,Wind,Argentina,0.0,631578.0,0.0,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,SolarPV,Paraguay,6146.4953248761885,11360.1,6146.4953248761885,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,SolarPV,Chile,6566.879393697939,94117.1,6566.879393697939,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,SolarPV,Brazil,127785.7,134739.3,127785.7,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,SolarPV,Argentina,7134.310606093099,68590.4,7134.310606093099,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re18_c2p1_t1,SolarPV,Brazil,109583.5,134739.3,109583.5,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re1_c2p1_t1,SolarPV,Argentina,5089.910608246093,68590.4,5089.910608246093,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,SolarPV,Brazil,115561.8,134739.3,115561.8,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,SolarPV,Chile,6566.879393697939,94117.1,6566.879393697939,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,SolarPV,Paraguay,3872.6410921516162,11360.1,3872.6410921516162,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,SolarPV,Uruguay,3172.610043348038,8111.2,3172.610043348038,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,SolarPV,Uruguay,4117.086027475342,8111.2,4117.086027475342,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re13_c2p1_t1,SolarPV,Brazil,114479.8,134739.3,114479.8,0,1,13,1,"NoCut,Lim",011
