index,Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,ann_cfs_ninja_solar_1axis
0,-40.25,-71.75,p_solar_Argentina_AR13,Argentina,866.2,0.19,24.6984852,0.2319847449908924
1,-40.75,-71.75,p_solar_Argentina_AR14,Argentina,863.8,0.19,6.065691441,0.23166427595628417
2,-41.25,-71.75,p_solar_Argentina_AR15,Argentina,848.6,0.18,49.09909275,0.23065676229508184
3,-39.25,-71.25,p_solar_Argentina_AR33,Argentina,729.2,0.2,23.61911958,0.26490323315118447
4,-39.75,-71.25,p_solar_Argentina_AR34,Argentina,726.2,0.2,7.681807314,0.261887636612021
5,-40.25,-71.25,p_solar_Argentina_AR35,Argentina,715.6,0.19,6.963270806,0.2626405965391623
6,-40.75,-71.25,p_solar_Argentina_AR36,Argentina,712.3,0.19,26.97389697,0.2608222905282329
7,-41.25,-71.25,p_solar_Argentina_AR37,Argentina,710.1,0.18,52.5428613,0.25623668032786834
8,-36.75,-70.75,p_solar_Argentina_AR58,Argentina,469.1,0.22,0.995230218,0.3224930555555564
9,-37.25,-70.75,p_solar_Argentina_AR59,Argentina,466.8,0.22,0.026400114,0.31505544171220534
10,-37.75,-70.75,p_solar_Argentina_AR60,Argentina,462.5,0.21,2.70912778,0.3038416438979966
11,-38.25,-70.75,p_solar_Argentina_AR61,Argentina,443.8,0.21,8.744686224,0.29532684426229544
12,-38.75,-70.75,p_solar_Argentina_AR62,Argentina,442.0,0.21,16.92022736,0.2869458105646643
13,-39.25,-70.75,p_solar_Argentina_AR63,Argentina,439.8,0.2,13.0935712,0.28208663479052865
14,-39.75,-70.75,p_solar_Argentina_AR64,Argentina,428.0,0.2,11.85949044,0.2767882513661201
15,-40.25,-70.75,p_solar_Argentina_AR65,Argentina,413.8,0.2,4.177343107,0.27217190346083714
16,-40.75,-70.75,p_solar_Argentina_AR66,Argentina,395.7,0.19,18.21445133,0.26882103825136683
17,-41.25,-70.75,p_solar_Argentina_AR67,Argentina,387.8,0.18,73.74041579,0.2667297358834248
18,-30.75,-70.25,p_solar_Argentina_AR89,Argentina,241.8,0.24,80.51062936,0.3714658469945416
19,-31.25,-70.25,p_solar_Argentina_AR90,Argentina,239.4,0.25,70.98229399,0.37039731329690995
20,-31.75,-70.25,p_solar_Argentina_AR91,Argentina,239.0,0.26,86.79079899,0.36628813752277484
21,-32.25,-70.25,p_solar_Argentina_AR92,Argentina,237.7,0.27,123.9364334,0.35896470856102514
22,-34.75,-70.25,p_solar_Argentina_AR93,Argentina,232.2,0.25,74.04835464,0.3449495673952674
23,-35.25,-70.25,p_solar_Argentina_AR94,Argentina,230.0,0.24,53.84517349,0.3431498178506399
24,-35.75,-70.25,p_solar_Argentina_AR95,Argentina,222.3,0.24,63.76833705,0.33912443078324456
25,-36.25,-70.25,p_solar_Argentina_AR96,Argentina,222.1,0.23,69.57137407,0.3349097222222248
26,-36.75,-70.25,p_solar_Argentina_AR97,Argentina,218.4,0.23,26.41318082,0.32657729963570187
27,-37.25,-70.25,p_solar_Argentina_AR98,Argentina,217.1,0.22,1.405221721,0.31269740437158505
28,-37.75,-70.25,p_solar_Argentina_AR99,Argentina,203.2,0.21,3.513042647,0.3014414845173042
29,-38.25,-70.25,p_solar_Argentina_AR100,Argentina,198.4,0.21,8.671382619,0.2948531420765031
30,-38.75,-70.25,p_solar_Argentina_AR101,Argentina,198.3,0.21,1.359211209,0.29025910746812333
31,-39.25,-70.25,p_solar_Argentina_AR102,Argentina,197.3,0.21,31.95609071,0.28548679417122225
32,-39.75,-70.25,p_solar_Argentina_AR103,Argentina,196.4,0.2,13.62578708,0.2776086065573777
33,-40.25,-70.25,p_solar_Argentina_AR104,Argentina,193.4,0.2,4.916320926,0.2728209244080148
34,-40.75,-70.25,p_solar_Argentina_AR105,Argentina,192.6,0.2,39.63131213,0.26986088342440806
