lz_from,lz_to,period,net_flow_twh,scenario
Argentina,Brazil,2020,0.4948800781344814,prm15_wcost_re1_c2p1_t1
Argentina,Brazil,2025,0.2792097,prm15_wcost_re1_c2p1_t1
Argentina,Brazil,2030,0.37178190000000005,prm15_wcost_re1_c2p1_t1
Argentina,Brazil,2035,0.34945650000000006,prm15_wcost_re1_c2p1_t1
Argentina,Brazil,2040,0.5141952000000001,prm15_wcost_re1_c2p1_t1
Argentina,Brazil,2045,0.5206653,prm15_wcost_re1_c2p1_t1
Argentina,Brazil,2050,0.46947330000000004,prm15_wcost_re1_c2p1_t1
Argentina,Chile,2020,0.006981315,prm15_wcost_re1_c2p1_t1
Argentina,Chile,2025,0.005630988,prm15_wcost_re1_c2p1_t1
Argentina,Chile,2030,0.005302737,prm15_wcost_re1_c2p1_t1
Argentina,Chile,2035,0.004756290000000001,prm15_wcost_re1_c2p1_t1
Argentina,Chile,2040,0.0035169750000000003,prm15_wcost_re1_c2p1_t1
Argentina,Chile,2045,0.0028671720000000003,prm15_wcost_re1_c2p1_t1
Argentina,Chile,2050,0.003193509,prm15_wcost_re1_c2p1_t1
Argentina,Paraguay,2020,0.0082466625,prm15_wcost_re1_c2p1_t1
Argentina,Paraguay,2025,0.00784233,prm15_wcost_re1_c2p1_t1
Argentina,Paraguay,2030,0.007801740000000001,prm15_wcost_re1_c2p1_t1
Argentina,Paraguay,2035,0.007801740000000001,prm15_wcost_re1_c2p1_t1
Argentina,Paraguay,2040,0.007801740000000001,prm15_wcost_re1_c2p1_t1
Argentina,Paraguay,2045,0.0073950100000000005,prm15_wcost_re1_c2p1_t1
Argentina,Paraguay,2050,0.0067996,prm15_wcost_re1_c2p1_t1
Argentina,Uruguay,2020,1.5678710946154313,prm15_wcost_re1_c2p1_t1
Argentina,Uruguay,2025,1.753996812340416,prm15_wcost_re1_c2p1_t1
Argentina,Uruguay,2030,1.7296956853885017,prm15_wcost_re1_c2p1_t1
Argentina,Uruguay,2035,1.7766705203479038,prm15_wcost_re1_c2p1_t1
Argentina,Uruguay,2040,1.7569741113590949,prm15_wcost_re1_c2p1_t1
Argentina,Uruguay,2045,1.7907232463622718,prm15_wcost_re1_c2p1_t1
Argentina,Uruguay,2050,1.574163119492484,prm15_wcost_re1_c2p1_t1
Brazil,Paraguay,2020,0.0,prm15_wcost_re1_c2p1_t1
Brazil,Paraguay,2025,0.0,prm15_wcost_re1_c2p1_t1
Brazil,Paraguay,2030,0.0,prm15_wcost_re1_c2p1_t1
Brazil,Paraguay,2035,0.0,prm15_wcost_re1_c2p1_t1
Brazil,Paraguay,2040,0.0,prm15_wcost_re1_c2p1_t1
Brazil,Paraguay,2045,0.0,prm15_wcost_re1_c2p1_t1
Brazil,Paraguay,2050,0.0,prm15_wcost_re1_c2p1_t1
Brazil,Uruguay,2020,1.293607766020481,prm15_wcost_re1_c2p1_t1
Brazil,Uruguay,2025,1.9639115028125118,prm15_wcost_re1_c2p1_t1
Brazil,Uruguay,2030,2.710888993487215,prm15_wcost_re1_c2p1_t1
Brazil,Uruguay,2035,2.171089277909508,prm15_wcost_re1_c2p1_t1
Brazil,Uruguay,2040,1.9955058494922684,prm15_wcost_re1_c2p1_t1
Brazil,Uruguay,2045,1.7690024536876117,prm15_wcost_re1_c2p1_t1
Brazil,Uruguay,2050,1.7866364847890075,prm15_wcost_re1_c2p1_t1
Argentina,Brazil,2020,0.4948800781344814,prm15_wcost_re2_c2p1_t1
Argentina,Brazil,2025,0.33267510000000006,prm15_wcost_re2_c2p1_t1
Argentina,Brazil,2030,0.41359158161239234,prm15_wcost_re2_c2p1_t1
Argentina,Brazil,2035,0.4938933437383477,prm15_wcost_re2_c2p1_t1
