load_zone,scs_id_x,variable_om_cost_total_x,fuel_cost_total_x,startup_cost_total_x,capacity_cost_x,transmission_capacity_cost_x,mwh_x,MtCO2_x,total_costs_x,operations_cost_total_x,emis_policy_x,exist_trd,op_char,fixed_pv,pol_x,group_x,split_tx_cost_x,new_total_cost_x,scs_id_y,variable_om_cost_total_y,fuel_cost_total_y,startup_cost_total_y,capacity_cost_y,transmission_capacity_cost_y,mwh_y,MtCO2_y,total_costs_y,operations_cost_total_y,emis_policy_y,pol_y,group_y,split_tx_cost_y,new_total_cost_y,tx_diff,cap_diff,op_diff,tot_diff,cost_prem
Region-wide,prm15_wcost_re19_c2p1_co2_cut90p_t1,38487147859.60763,37431511920.88295,310560315.84899646,283.6515472282486,0.0,10201172370.5,448.0947250000019,359880767324.5882,76.22922009633957,1,1,19,1,"90%Cut,Lim",111,0.0,359.88076732458813,prm15_wcost_re19_c2p1_t1,48543775519.40121,106138827066.63348,17639866.26938489,153.74248210029887,0.0,10201172370.5,1575.879508082876,308442724552.6029,154.70024245230405,0,"NoCut,Lim",11,0.0,308.4427245526029,0.0,129.90906512794973,-78.47102235596448,51.43804277198524,0.1667669187094501
Region-wide,prm15_wcost_re1_c2p1_co2_cut90p_t1,35511996013.8103,33836271077.671875,361261762.3659318,246.37738548988565,0.0,10201172370.5,448.09472499999913,316086914343.73376,69.70952885384811,1,1,1,0,"90%Cut,Lim",110,0.0,316.0869143437338,prm15_wcost_re1_c2p1_t1,44020626178.20201,75555076385.18044,14335631.116577394,174.44987939001464,0.0,10201172370.5,1165.1911321717016,294039917584.51373,119.59003819449904,0,"NoCut,Lim",10,0.0,294.03991758451366,0.0,71.92750609987101,-49.88050934065093,22.04699675922012,0.07497960460719869
Region-wide,prm15_wcost_re20_c2p1_co2_cut90p_t1,35649436060.470604,34685365875.48502,261907542.2049173,253.05649420104595,0.0,10201172370.5,448.0947250000005,323653203679.2065,70.59670947816053,1,1,20,1,"90%Cut,Lim",111,0.0,323.65320367920646,prm15_wcost_re20_c2p1_t1,45182454780.901054,84142871263.74284,11428814.932552597,167.70942317341525,0.0,10201172370.5,1273.0994152018209,297046178032.9917,129.33675485957644,0,"NoCut,Lim",11,0.0,297.0461780329917,0.0,85.3470710276307,-58.74004538141591,26.607025646214765,0.08957201813672093
Region-wide,prm15_wcost_re2_c2p1_co2_cut90p_t1,36208281501.66925,35573382686.13512,461867184.31207263,258.14407345925633,0.0,10201172370.5,448.0947250000002,330387604831.3728,72.24353137211644,1,1,2,0,"90%Cut,Lim",110,0.0,330.3876048313728,prm15_wcost_re2_c2p1_t1,45743369700.90549,87155417450.09421,24447642.99196066,164.65538906533143,0.0,10201172370.5,1318.0970534169708,297578623859.32306,132.92323479399164,0,"NoCut,Lim",10,0.0,297.57862385932305,0.0,93.4886843939249,-60.6797034218752,32.80898097204977,0.11025315107163021
Region-wide,prm15_wcost_re3_c2p1_co2_cut90p_t1,38290115513.67571,36779566696.13113,647989875.5505435,267.2399530183605,0.0,10201172370.5,448.0947249999994,342957625103.71783,75.71767208535738,1,1,3,0,"90%Cut,Lim",110,0.0,342.9576251037178,prm15_wcost_re3_c2p1_t1,46360808997.56834,92083721475.10551,23863411.8117597,160.6261878855199,0.0,10201172370.5,1380.6916331811296,299094581770.0055,138.46839388448564,0,"NoCut,Lim",10,0.0,299.0945817700055,0.0,106.6137651328406,-62.75072179912826,43.86304333371231,0.1466527513609111
Region-wide,prm15_wcost_re18_c2p1_co2_cut90p_t1,38594048073.17803,37702229592.47628,307582063.08072174,282.328680522718,0.0,10201172370.5,448.0947250000004,358932540251.45306,76.60385972873503,1,1,18,1,"90%Cut,Lim",111,0.0,358.9325402514531,prm15_wcost_re18_c2p1_t1,48382060858.00973,104702968168.93031,19592150.19805304,154.93921001648434,0.0,10201172370.5,1559.512095441229,308043831193.62244,153.10462117713809,0,"NoCut,Lim",11,0.0,308.04383119362245,0.0,127.38947050623366,-76.50076144840305,50.888709057830624,0.16519957195910953
Region-wide,prm15_wcost_re5_c2p1_co2_cut90p_t1,35858006715.418144,35257122988.507774,463197853.5797837,256.0170338415786,0.0,10201172370.5,448.0947249999999,327595361399.0843,71.5783275575057,1,1,5,0,"90%Cut,Lim",110,0.0,327.5953613990844,prm15_wcost_re5_c2p1_t1,45658450975.17532,86318720454.59251,23605393.990329225,165.0831695963465,0.0,10201172370.5,1309.194174605679,297083946420.1046,132.00077682375817,0,"NoCut,Lim",10,0.0,297.08394642010467,0.0,90.93386424523212,-60.42244926625247,30.511414978979758,0.10270300817881874
Region-wide,prm15_wcost_re6_c2p1_co2_cut90p_t1,35520823676.0743,34105508654.092106,420378952.69965,249.7059061527249,0.0,10201172370.5,448.0947249999993,319752617435.59094,70.04671128286606,1,1,6,0,"90%Cut,Lim",110,0.0,319.75261743559093,prm15_wcost_re6_c2p1_t1,44780650617.61037,80536004199.26347,16654220.762937289,169.9334171722672,0.0,10201172370.5,1232.668207914733,295266726209.904,125.33330903763678,0,"NoCut,Lim",10,0.0,295.266726209904,0.0,79.7724889804577,-55.286597754770725,24.48589122568694,0.08292804116465197
Region-wide,prm15_wcost_re7_c2p1_co2_cut90p_t1,35708268333.822296,34408538452.79028,520230176.52442807,255.36118710978505,0.0,10201172370.5,448.0947249999997,325998224072.92206,70.637036963137,1,1,7,0,"90%Cut,Lim",110,0.0,325.9982240729221,prm15_wcost_re7_c2p1_t1,45480658523.322014,84923058370.40802,23021636.7701165,166.30904290265352,0.0,10201172370.5,1291.3371743542916,296735781433.1537,130.42673853050016,0,"NoCut,Lim",10,0.0,296.7357814331537,0.0,89.05214420713153,-59.78970156736315,29.26244263976838,0.09861447277587719
Region-wide,prm15_wcost_re8_c2p1_co2_cut90p_t1,38164666980.57826,36053277969.33176,680000998.0343734,264.5387537616093,0.0,10201172370.5,448.0947249999987,339436699709.5537,74.89794594794441,1,1,8,0,"90%Cut,Lim",110,0.0,339.4366997095537,prm15_wcost_re8_c2p1_t1,46198425603.43337,90821491870.53809,25807559.6699241,161.6866818922028,0.0,10201172370.5,1364.940132694035,298732406925.8442,137.04572503364136,0,"NoCut,Lim",10,0.0,298.7324069258442,0.0,102.8520718694065,-62.14777908569695,40.70429278370949,0.1362567027882372
