scs_id_x,fixed_pv,emis_policy,variable,value
prm15_wcost_re9_c2p1_t1,0,0,tx_diff,0.6757040168463188
prm15_wcost_re17_c2p1_t1,1,0,tx_diff,0.1399024917183319
prm15_wcost_re18_c2p1_t1,1,0,tx_diff,0.9311171597419196
prm15_wcost_re19_c2p1_t1,1,0,tx_diff,0.9308565517403818
prm15_wcost_re1_c2p1_t1,0,0,tx_diff,-0.0
prm15_wcost_re20_c2p1_t1,1,0,tx_diff,0.00073994322767
prm15_wcost_re2_c2p1_t1,0,0,tx_diff,0.3212545917650853
prm15_wcost_re3_c2p1_t1,0,0,tx_diff,0.7840758071855268
prm15_wcost_re4_c2p1_t1,0,0,tx_diff,0.5412711344546426
prm15_wcost_re5_c2p1_t1,0,0,tx_diff,0.1839796271224302
prm15_wcost_re6_c2p1_t1,0,0,tx_diff,0.0186319265456402
prm15_wcost_re7_c2p1_t1,0,0,tx_diff,0.1627095103929873
prm15_wcost_re8_c2p1_t1,0,0,tx_diff,0.6756602856011683
prm15_wcost_re10_c2p1_t1,0,0,tx_diff,-0.0
prm15_wcost_re16_c2p1_t1,1,0,tx_diff,0.0313956809715617
prm15_wcost_re11_c2p1_t1,1,0,tx_diff,0.0008835036652089
prm15_wcost_re12_c2p1_t1,1,0,tx_diff,0.5416767730601993
prm15_wcost_re13_c2p1_t1,1,0,tx_diff,0.9277235731284332
prm15_wcost_re14_c2p1_t1,1,0,tx_diff,0.7088800199204466
prm15_wcost_re15_c2p1_t1,1,0,tx_diff,0.1674739999046159
prm15_wcost_re19_c2p1_co2_cut90p_t1,1,1,tx_diff,6.140304814546046
prm15_wcost_re1_c2p1_co2_cut90p_t1,0,1,tx_diff,3.6061609476818286
prm15_wcost_re20_c2p1_co2_cut90p_t1,1,1,tx_diff,4.118525131411257
prm15_wcost_re2_c2p1_co2_cut90p_t1,0,1,tx_diff,5.2936393180996815
prm15_wcost_re3_c2p1_co2_cut90p_t1,0,1,tx_diff,6.180503164907307
