rscen,tech,emis,diff
prm15_wcost_re20_c2p1,Wind,nocut,0.33010014400564813
prm15_wcost_re8_c2p1,Wind,nocut,-0.5520946164496987
prm15_wcost_re9_c2p1,Wind,nocut,-0.3770263194672827
prm15_wcost_re10_c2p1,Wind,nocut,1.1410267496781366
prm15_wcost_re11_c2p1,Wind,nocut,0.5215723768480167
prm15_wcost_re12_c2p1,Wind,nocut,0.4906696178911556
prm15_wcost_re13_c2p1,Wind,nocut,-0.7808742750818851
prm15_wcost_re14_c2p1,Wind,nocut,-0.23848651139460486
prm15_wcost_re15_c2p1,Wind,nocut,0.8729911309016334
prm15_wcost_re16_c2p1,Wind,nocut,0.22918697327872906
prm15_wcost_re17_c2p1,Wind,nocut,0.7983635680393899
prm15_wcost_re18_c2p1,Wind,nocut,-0.4736229439014519
prm15_wcost_re19_c2p1,Wind,nocut,-0.5132578960727283
prm15_wcost_re1_c2p1_co2_cut90p,Wind,cut90p,-4.713287350011832
prm15_wcost_re2_c2p1_co2_cut90p,Wind,cut90p,-4.471819887153238
prm15_wcost_re3_c2p1_co2_cut90p,Wind,cut90p,1.728211475149564
prm15_wcost_re4_c2p1_co2_cut90p,Wind,cut90p,-2.5177616992694993
prm15_wcost_re5_c2p1_co2_cut90p,Wind,cut90p,-4.855875844806135
prm15_wcost_re19_c2p1_co2_cut90p,Wind,cut90p,1.0357237837859188
prm15_wcost_re18_c2p1_co2_cut90p,Wind,cut90p,2.1150179949707493
prm15_wcost_re17_c2p1_co2_cut90p,Wind,cut90p,-3.329239392692358
prm15_wcost_re16_c2p1_co2_cut90p,Wind,cut90p,-6.160392682274029
prm15_wcost_re15_c2p1_co2_cut90p,Wind,cut90p,-2.7620020016893605
prm15_wcost_re14_c2p1_co2_cut90p,Wind,cut90p,-0.17444357614326123
prm15_wcost_re7_c2p1,Wind,nocut,0.516872590639851
prm15_wcost_re13_c2p1_co2_cut90p,Wind,cut90p,0.593109198379743
prm15_wcost_re11_c2p1_co2_cut90p,Wind,cut90p,-6.009738036865073
prm15_wcost_re10_c2p1_co2_cut90p,Wind,cut90p,-4.00468836454062
prm15_wcost_re9_c2p1_co2_cut90p,Wind,cut90p,1.4802262204666974
prm15_wcost_re8_c2p1_co2_cut90p,Wind,cut90p,1.4174225153618636
prm15_wcost_re7_c2p1_co2_cut90p,Wind,cut90p,-5.09482953064083
prm15_wcost_re6_c2p1_co2_cut90p,Wind,cut90p,-5.523789072201517
prm15_wcost_re12_c2p1_co2_cut90p,Wind,cut90p,-1.6961135645782974
prm15_wcost_re6_c2p1,Wind,nocut,-0.15762361526643787
prm15_wcost_re20_c2p1_co2_cut90p,Wind,cut90p,-6.023506244698673
prm15_wcost_re2_c2p1,Wind,nocut,0.6445546245918479
prm15_wcost_re5_c2p1,Wind,nocut,0.8095535350230403
prm15_wcost_re3_c2p1,Wind,nocut,-0.6250524315571857
prm15_wcost_re4_c2p1,Wind,nocut,-0.4303297239710604
prm15_wcost_re1_c2p1,Wind,nocut,0.10202113894306386
prm15_wcost_re16_c2p1_co2_cut90p,Solar,cut90p,-1.2517497448104322
prm15_wcost_re11_c2p1,Solar,nocut,-0.528152673697359
prm15_wcost_re1_c2p1,Solar,nocut,-0.22391704427639603
prm15_wcost_re2_c2p1_co2_cut90p,Solar,cut90p,-1.0872488371697742
prm15_wcost_re15_c2p1_co2_cut90p,Solar,cut90p,-2.019164450757037
prm15_wcost_re8_c2p1_co2_cut90p,Solar,cut90p,-1.3587211704779456
prm15_wcost_re13_c2p1,Solar,nocut,-0.3050471045430818
prm15_wcost_re4_c2p1,Solar,nocut,-0.1714041797058421
prm15_wcost_re14_c2p1_co2_cut90p,Solar,cut90p,-1.783123223658487
prm15_wcost_re2_c2p1,Solar,nocut,-0.3896897626559852
prm15_wcost_re12_c2p1,Solar,nocut,-0.2643269672625763
prm15_wcost_re14_c2p1,Solar,nocut,-0.28645327929397446
prm15_wcost_re1_c2p1_co2_cut90p,Solar,cut90p,-0.9581518258504378
prm15_wcost_re13_c2p1_co2_cut90p,Solar,cut90p,-1.7179453649115572
prm15_wcost_re15_c2p1,Solar,nocut,-0.23843941834182836
prm15_wcost_re9_c2p1_co2_cut90p,Solar,cut90p,-1.1674189328535363
prm15_wcost_re20_c2p1_co2_cut90p,Solar,cut90p,-0.8692421574923959
prm15_wcost_re16_c2p1,Solar,nocut,-0.715993602006459
prm15_wcost_re12_c2p1_co2_cut90p,Solar,cut90p,-1.8095306930831345
prm15_wcost_re20_c2p1,Solar,nocut,-0.4851042809984496
prm15_wcost_re17_c2p1,Solar,nocut,-0.39562029854638414
prm15_wcost_re11_c2p1_co2_cut90p,Solar,cut90p,-1.2999769478714054
prm15_wcost_re18_c2p1,Solar,nocut,-0.1462738330247575
prm15_wcost_re19_c2p1,Solar,nocut,-0.22709988418649374
prm15_wcost_re10_c2p1,Solar,nocut,-1.418188064797679
prm15_wcost_re3_c2p1,Solar,nocut,0.3965160267877117
prm15_wcost_re10_c2p1_co2_cut90p,Solar,cut90p,-0.9208672274837433
prm15_wcost_re3_c2p1_co2_cut90p,Solar,cut90p,-1.4357690413047237
prm15_wcost_re5_c2p1,Solar,nocut,-0.3497392418481251
prm15_wcost_re6_c2p1,Solar,nocut,-1.17076620290287
prm15_wcost_re8_c2p1,Solar,nocut,0.24300392575215568
prm15_wcost_re7_c2p1_co2_cut90p,Solar,cut90p,-1.257210979767855
prm15_wcost_re18_c2p1_co2_cut90p,Solar,cut90p,-2.028459646562167
prm15_wcost_re9_c2p1,Solar,nocut,0.260313663244661
prm15_wcost_re19_c2p1_co2_cut90p,Solar,cut90p,-1.472797400402074
prm15_wcost_re7_c2p1,Solar,nocut,-0.4596601603265551
prm15_wcost_re6_c2p1_co2_cut90p,Solar,cut90p,-1.01259775945036
prm15_wcost_re4_c2p1_co2_cut90p,Solar,cut90p,-1.0905468019202083
prm15_wcost_re5_c2p1_co2_cut90p,Solar,cut90p,-1.2708033176379825
prm15_wcost_re17_c2p1_co2_cut90p,Solar,cut90p,-1.7126301310764962
prm15_wcost_re5_c2p1_co2_cut90p,Fossil,cut90p,0.5500322576240197
prm15_wcost_re15_c2p1,Fossil,nocut,-0.24414257684511753
prm15_wcost_re13_c2p1_co2_cut90p,Fossil,cut90p,2.652960794850431
prm15_wcost_re16_c2p1,Fossil,nocut,0.015412534589597016
prm15_wcost_re3_c2p1,Fossil,nocut,0.20610419942945057
prm15_wcost_re1_c2p1_co2_cut90p,Fossil,cut90p,0.09185509541136483
prm15_wcost_re10_c2p1,Fossil,nocut,-0.03805672595047582
prm15_wcost_re4_c2p1,Fossil,nocut,0.38259430373230785
prm15_wcost_re9_c2p1_co2_cut90p,Fossil,cut90p,1.7926228788246004
prm15_wcost_re12_c2p1_co2_cut90p,Fossil,cut90p,1.8827841433905856
prm15_wcost_re20_c2p1,Fossil,nocut,0.010742965341563604
prm15_wcost_re2_c2p1,Fossil,nocut,7.616436565882623e-06
prm15_wcost_re20_c2p1_co2_cut90p,Fossil,cut90p,0.4276544223339904
prm15_wcost_re18_c2p1,Fossil,nocut,-0.10938285109230961
