rscen,tech,emis,diff
prm15_wcost_re12_c2p1,Wind,nocut,9.322131506185883
prm15_wcost_re3_c2p1_co2_cut90p,Wind,cut90p,121.19204936203221
prm15_wcost_re11_c2p1_co2_cut90p,Wind,cut90p,20.89005578906597
prm15_wcost_re1_c2p1_co2_cut90p,Wind,cut90p,-21.176374524846892
prm15_wcost_re14_c2p1_co2_cut90p,Wind,cut90p,115.7603696301436
prm15_wcost_re4_c2p1_co2_cut90p,Wind,cut90p,84.74498126846697
prm15_wcost_re15_c2p1_co2_cut90p,Wind,cut90p,70.47545072390835
prm15_wcost_re5_c2p1_co2_cut90p,Wind,cut90p,40.24832883215947
prm15_wcost_re6_c2p1_co2_cut90p,Wind,cut90p,-14.332369976258065
prm15_wcost_re17_c2p1_co2_cut90p,Wind,cut90p,30.05971709484288
prm15_wcost_re7_c2p1_co2_cut90p,Wind,cut90p,4.613448713959201
prm15_wcost_re18_c2p1_co2_cut90p,Wind,cut90p,143.70602802384656
prm15_wcost_re8_c2p1_co2_cut90p,Wind,cut90p,105.88777319781616
prm15_wcost_re19_c2p1_co2_cut90p,Wind,cut90p,106.32558655954642
prm15_wcost_re9_c2p1_co2_cut90p,Wind,cut90p,145.78661711633094
prm15_wcost_re20_c2p1_co2_cut90p,Wind,cut90p,-0.04375807648557384
prm15_wcost_re10_c2p1_co2_cut90p,Wind,cut90p,-11.326002359680615
prm15_wcost_re2_c2p1,Wind,nocut,13.186557750475032
prm15_wcost_re13_c2p1_co2_cut90p,Wind,cut90p,117.21787569900812
prm15_wcost_re2_c2p1_co2_cut90p,Wind,cut90p,30.33669789681346
prm15_wcost_re16_c2p1_co2_cut90p,Wind,cut90p,-25.55940098534927
prm15_wcost_re10_c2p1,Wind,nocut,24.852377907744085
prm15_wcost_re12_c2p1_co2_cut90p,Wind,cut90p,85.48551512233246
prm15_wcost_re3_c2p1,Wind,nocut,-11.631040426592023
prm15_wcost_re11_c2p1,Wind,nocut,20.037916410770663
prm15_wcost_re1_c2p1,Wind,nocut,5.236512473452478
prm15_wcost_re14_c2p1,Wind,nocut,-8.989305920957491
prm15_wcost_re4_c2p1,Wind,nocut,-8.261141298475849
prm15_wcost_re15_c2p1,Wind,nocut,15.46557158265091
prm15_wcost_re5_c2p1,Wind,nocut,16.856710946722103
prm15_wcost_re16_c2p1,Wind,nocut,5.961531960173602
prm15_wcost_re13_c2p1,Wind,nocut,-15.067860156260878
prm15_wcost_re17_c2p1,Wind,nocut,13.853658273373469
prm15_wcost_re7_c2p1,Wind,nocut,11.432726200401959
prm15_wcost_re18_c2p1,Wind,nocut,-12.463961870441494
prm15_wcost_re8_c2p1,Wind,nocut,-10.951299910567727
prm15_wcost_re19_c2p1,Wind,nocut,-11.639720819478583
prm15_wcost_re9_c2p1,Wind,nocut,-6.8256553743520385
prm15_wcost_re20_c2p1,Wind,nocut,15.33838640789304
prm15_wcost_re6_c2p1,Wind,nocut,-5.603260909935386
prm15_wcost_re2_c2p1_co2_cut90p,Solar,cut90p,4.615476262314644
prm15_wcost_re15_c2p1_co2_cut90p,Solar,cut90p,-19.7813344911051
prm15_wcost_re4_c2p1_co2_cut90p,Solar,cut90p,-19.77844764904478
prm15_wcost_re3_c2p1_co2_cut90p,Solar,cut90p,-42.60254633455111
prm15_wcost_re1_c2p1_co2_cut90p,Solar,cut90p,0.6420524859930765
prm15_wcost_re11_c2p1_co2_cut90p,Solar,cut90p,-21.17234273418211
prm15_wcost_re5_c2p1_co2_cut90p,Solar,cut90p,-30.971759162641433
prm15_wcost_re14_c2p1_co2_cut90p,Solar,cut90p,-13.391278477115748
prm15_wcost_re16_c2p1_co2_cut90p,Solar,cut90p,4.985743195316672
prm15_wcost_re18_c2p1_co2_cut90p,Solar,cut90p,-40.71399975685199
prm15_wcost_re17_c2p1_co2_cut90p,Solar,cut90p,-10.659529325600772
prm15_wcost_re7_c2p1_co2_cut90p,Solar,cut90p,-2.5513631331923534
prm15_wcost_re8_c2p1_co2_cut90p,Solar,cut90p,-16.00661862016915
prm15_wcost_re19_c2p1_co2_cut90p,Solar,cut90p,-15.516909981637298
prm15_wcost_re9_c2p1_co2_cut90p,Solar,cut90p,-25.702518434637
prm15_wcost_re20_c2p1_co2_cut90p,Solar,cut90p,-10.336802247194981
prm15_wcost_re10_c2p1_co2_cut90p,Solar,cut90p,3.6418076927288325
prm15_wcost_re6_c2p1_co2_cut90p,Solar,cut90p,-2.335146158650275
prm15_wcost_re12_c2p1_co2_cut90p,Solar,cut90p,-13.637461848735029
prm15_wcost_re13_c2p1_co2_cut90p,Solar,cut90p,-38.09715239381586
prm15_wcost_re20_c2p1,Solar,nocut,-10.550928462083665
prm15_wcost_re10_c2p1,Solar,nocut,-44.991655508669936
prm15_wcost_re12_c2p1,Solar,nocut,-3.757649924993018
prm15_wcost_re2_c2p1,Solar,nocut,-25.462154919288537
prm15_wcost_re13_c2p1,Solar,nocut,-3.254164888860288
prm15_wcost_re3_c2p1,Solar,nocut,-8.90107275902568
prm15_wcost_re11_c2p1,Solar,nocut,-11.215398563244648
prm15_wcost_re1_c2p1,Solar,nocut,-4.241443455051922
prm15_wcost_re4_c2p1,Solar,nocut,-20.298468637099347
prm15_wcost_re15_c2p1,Solar,nocut,-3.6400471912695025
prm15_wcost_re14_c2p1,Solar,nocut,-2.926881498578439
prm15_wcost_re16_c2p1,Solar,nocut,-14.85778873552566
prm15_wcost_re6_c2p1,Solar,nocut,-37.982626779049895
prm15_wcost_re17_c2p1,Solar,nocut,-7.606730961689351
prm15_wcost_re7_c2p1,Solar,nocut,-26.90635104984517
prm15_wcost_re18_c2p1,Solar,nocut,-0.5276094096874431
prm15_wcost_re8_c2p1,Solar,nocut,-12.121389437606979
prm15_wcost_re19_c2p1,Solar,nocut,-2.140944769199507
prm15_wcost_re5_c2p1,Solar,nocut,-23.43934949364234
prm15_wcost_re9_c2p1,Solar,nocut,-12.346732087318173
prm15_wcost_re20_c2p1_co2_cut90p,Fossil,cut90p,0.027788225054656834
prm15_wcost_re10_c2p1_co2_cut90p,Fossil,cut90p,-24.21597731457122
prm15_wcost_re10_c2p1_co2_cut90p,Fossil,cut90p,-24.21597731457122
prm15_wcost_re20_c2p1_co2_cut90p,Fossil,cut90p,-24.219761774944374
prm15_wcost_re20_c2p1_co2_cut90p,Fossil,cut90p,-24.219761774944374
prm15_wcost_re12_c2p1,Fossil,nocut,812.912650379468
prm15_wcost_re10_c2p1_co2_cut90p,Fossil,cut90p,0.03157268543593972
prm15_wcost_re12_c2p1,Fossil,nocut,-0.0206949837239317
prm15_wcost_re3_c2p1,Fossil,nocut,-0.0174375
prm15_wcost_re2_c2p1,Fossil,nocut,751.0844785567775
prm15_wcost_re2_c2p1,Fossil,nocut,-0.0174375
prm15_wcost_re2_c2p1,Fossil,nocut,7.9140825
prm15_wcost_re13_c2p1,Fossil,nocut,905.8357935341407
prm15_wcost_re13_c2p1,Fossil,nocut,-0.0201903500538778
prm15_wcost_re13_c2p1,Fossil,nocut,16.195361649946122
prm15_wcost_re3_c2p1,Fossil,nocut,831.382750182466
prm15_wcost_re9_c2p1_co2_cut90p,Fossil,cut90p,-24.240070709387584
prm15_wcost_re3_c2p1,Fossil,nocut,12.299564291600309
prm15_wcost_re12_c2p1,Fossil,nocut,12.522602685595748
prm15_wcost_re9_c2p1_co2_cut90p,Fossil,cut90p,-24.240070709387584
prm15_wcost_re18_c2p1_co2_cut90p,Fossil,cut90p,-24.25194597625378
prm15_wcost_re19_c2p1_co2_cut90p,Fossil,cut90p,-24.254112283572564
prm15_wcost_re11_c2p1,Fossil,nocut,744.678863073555
prm15_wcost_re16_c2p1_co2_cut90p,Fossil,cut90p,-24.216269945008936
prm15_wcost_re16_c2p1_co2_cut90p,Fossil,cut90p,-24.216269945008936
prm15_wcost_re6_c2p1_co2_cut90p,Fossil,cut90p,0.005861590127313576
prm15_wcost_re6_c2p1_co2_cut90p,Fossil,cut90p,-24.24168840987228
prm15_wcost_re6_c2p1_co2_cut90p,Fossil,cut90p,-24.24168840987228
prm15_wcost_re17_c2p1_co2_cut90p,Fossil,cut90p,0.02393373929928444
prm15_wcost_re17_c2p1_co2_cut90p,Fossil,cut90p,-24.22361626070128
prm15_wcost_re17_c2p1_co2_cut90p,Fossil,cut90p,-24.22361626070128
prm15_wcost_re7_c2p1_co2_cut90p,Fossil,cut90p,0.003456192095690369
prm15_wcost_re7_c2p1_co2_cut90p,Fossil,cut90p,-24.244093807904957
prm15_wcost_re7_c2p1_co2_cut90p,Fossil,cut90p,-24.244093807904957
prm15_wcost_re18_c2p1_co2_cut90p,Fossil,cut90p,-0.004395976261790224
prm15_wcost_re18_c2p1_co2_cut90p,Fossil,cut90p,-24.25194597625378
prm15_wcost_re8_c2p1_co2_cut90p,Fossil,cut90p,0.011731572448471894
prm15_wcost_re8_c2p1_co2_cut90p,Fossil,cut90p,-24.23581842755521
prm15_wcost_re8_c2p1_co2_cut90p,Fossil,cut90p,-24.23581842755521
prm15_wcost_re19_c2p1_co2_cut90p,Fossil,cut90p,-0.006562283581125428
prm15_wcost_re19_c2p1_co2_cut90p,Fossil,cut90p,-24.254112283572564
prm15_wcost_re9_c2p1_co2_cut90p,Fossil,cut90p,0.007479290608518596
prm15_wcost_re11_c2p1,Fossil,nocut,-0.020925
prm15_wcost_re9_c2p1,Fossil,nocut,10.434248407999688
prm15_wcost_re1_c2p1,Fossil,nocut,596.6007795108383
prm15_wcost_re7_c2p1,Fossil,nocut,-0.0174375
prm15_wcost_re7_c2p1,Fossil,nocut,7.31568076914042
prm15_wcost_re18_c2p1,Fossil,nocut,882.1089676486631
prm15_wcost_re18_c2p1,Fossil,nocut,-0.0201903500538778
prm15_wcost_re18_c2p1,Fossil,nocut,13.906953020873008
prm15_wcost_re8_c2p1,Fossil,nocut,801.7131077437487
prm15_wcost_re8_c2p1,Fossil,nocut,-0.0174375
prm15_wcost_re8_c2p1,Fossil,nocut,10.37354031760317
prm15_wcost_re7_c2p1,Fossil,nocut,741.2864693262637
prm15_wcost_re19_c2p1,Fossil,nocut,888.4346848332602
prm15_wcost_re19_c2p1,Fossil,nocut,14.495486438173556
prm15_wcost_re9_c2p1,Fossil,nocut,801.380866265991
prm15_wcost_re9_c2p1,Fossil,nocut,-0.0174375
prm15_wcost_re16_c2p1_co2_cut90p,Fossil,cut90p,0.0312800549801473
prm15_wcost_re20_c2p1,Fossil,nocut,698.5580256501654
prm15_wcost_re20_c2p1,Fossil,nocut,-0.020925
prm15_wcost_re20_c2p1,Fossil,nocut,2.622915
prm15_wcost_re10_c2p1,Fossil,nocut,583.9055010120647
prm15_wcost_re19_c2p1,Fossil,nocut,-0.0201903500538778
prm15_wcost_re17_c2p1,Fossil,nocut,8.411737099634419
prm15_wcost_re17_c2p1,Fossil,nocut,-0.020925
prm15_wcost_re17_c2p1,Fossil,nocut,770.5011298526773
prm15_wcost_re1_c2p1,Fossil,nocut,-0.0174375
prm15_wcost_re1_c2p1,Fossil,nocut,3.4523518735707928
prm15_wcost_re14_c2p1,Fossil,nocut,828.1511011721132
prm15_wcost_re14_c2p1,Fossil,nocut,-0.0201903500538779
prm15_wcost_re4_c2p1,Fossil,nocut,778.8965798153532
prm15_wcost_re4_c2p1,Fossil,nocut,-0.0174375
prm15_wcost_re4_c2p1,Fossil,nocut,9.479612159744084
prm15_wcost_re15_c2p1,Fossil,nocut,792.8238464398657
prm15_wcost_re15_c2p1,Fossil,nocut,-0.020925
prm15_wcost_re15_c2p1,Fossil,nocut,9.913660985283132
prm15_wcost_re5_c2p1,Fossil,nocut,746.9488186684238
prm15_wcost_re5_c2p1,Fossil,nocut,-0.0174375
prm15_wcost_re5_c2p1,Fossil,nocut,7.9140825
prm15_wcost_re16_c2p1,Fossil,nocut,756.1151969078956
prm15_wcost_re16_c2p1,Fossil,nocut,-0.020925
prm15_wcost_re16_c2p1,Fossil,nocut,7.751803748791623
prm15_wcost_re6_c2p1,Fossil,nocut,704.7745230734528
prm15_wcost_re6_c2p1,Fossil,nocut,-0.0174375
prm15_wcost_re6_c2p1,Fossil,nocut,6.17938211716683
prm15_wcost_re11_c2p1,Fossil,nocut,9.03490782378085
prm15_wcost_re5_c2p1_co2_cut90p,Fossil,cut90p,-24.23461504534116
prm15_wcost_re19_c2p1,Fossil,nocut,-855.1891756828765
prm15_wcost_re5_c2p1_co2_cut90p,Fossil,cut90p,0.012934954657882969
prm15_wcost_re4_c2p1,Fossil,nocut,-735.2007888530679
prm15_wcost_re15_c2p1,Fossil,nocut,-8.776573974172265
prm15_wcost_re15_c2p1,Fossil,nocut,-801.621345414038
prm15_wcost_re15_c2p1,Fossil,nocut,-791.686759428755
prm15_wcost_re5_c2p1,Fossil,nocut,8.848046592606806
prm15_wcost_re5_c2p1,Fossil,nocut,-738.118209575817
prm15_wcost_re5_c2p1,Fossil,nocut,-730.186689575817
prm15_wcost_re16_c2p1,Fossil,nocut,10.01654195936942
prm15_wcost_re4_c2p1,Fossil,nocut,-744.697838512812
prm15_wcost_re16_c2p1,Fossil,nocut,-746.1195799485262
prm15_wcost_re6_c2p1,Fossil,nocut,42.89188907683206
prm15_wcost_re6_c2p1,Fossil,nocut,-661.9000714966207
prm15_wcost_re6_c2p1,Fossil,nocut,-655.7032518794539
prm15_wcost_re17_c2p1,Fossil,nocut,-4.293443001745004
prm15_wcost_re17_c2p1,Fossil,nocut,-774.8154978544223
prm15_wcost_re17_c2p1,Fossil,nocut,-766.382835754788
prm15_wcost_re7_c2p1,Fossil,nocut,16.254976095679922
prm15_wcost_re7_c2p1,Fossil,nocut,-725.0489307305838
prm15_wcost_re16_c2p1,Fossil,nocut,-738.3468511997345
prm15_wcost_re4_c2p1,Fossil,nocut,34.21617880254121
prm15_wcost_re14_c2p1,Fossil,nocut,-800.2056135896714
prm15_wcost_re14_c2p1,Fossil,nocut,-813.462117165466
prm15_wcost_re12_c2p1,Fossil,nocut,-1.9283449202300744
prm15_wcost_re12_c2p1,Fossil,nocut,-814.861690283422
prm15_wcost_re12_c2p1,Fossil,nocut,-802.3183926141023
prm15_wcost_re2_c2p1,Fossil,nocut,14.065863871543229
prm15_wcost_re2_c2p1,Fossil,nocut,-737.0360521852343
prm15_wcost_re2_c2p1,Fossil,nocut,-729.1045321852343
prm15_wcost_re13_c2p1,Fossil,nocut,22.85302785327417
prm15_wcost_re13_c2p1,Fossil,nocut,-883.0029560309205
prm15_wcost_re13_c2p1,Fossil,nocut,-866.7874040309205
prm15_wcost_re3_c2p1,Fossil,nocut,23.58438297555415
prm15_wcost_re3_c2p1,Fossil,nocut,-807.8158047069119
prm15_wcost_re3_c2p1,Fossil,nocut,-795.4988029153116
prm15_wcost_re11_c2p1,Fossil,nocut,-7.9108940477535725
prm15_wcost_re11_c2p1,Fossil,nocut,-752.6106821213086
prm15_wcost_re11_c2p1,Fossil,nocut,-743.5548492975278
prm15_wcost_re1_c2p1,Fossil,nocut,1.3797105911439758
prm15_wcost_re1_c2p1,Fossil,nocut,-595.2385064196943
prm15_wcost_re1_c2p1,Fossil,nocut,-591.7687170461235
prm15_wcost_re14_c2p1,Fossil,nocut,14.709174356701055
prm15_wcost_re7_c2p1,Fossil,nocut,-717.7158124614434
prm15_wcost_re18_c2p1,Fossil,nocut,17.903867371234696
prm15_wcost_re18_c2p1,Fossil,nocut,-864.2252906274823
prm15_wcost_re18_c2p1,Fossil,nocut,-850.2981472565555
prm15_wcost_re13_c2p1_co2_cut90p,Fossil,cut90p,-24.25319447242039
prm15_wcost_re3_c2p1_co2_cut90p,Fossil,cut90p,0.010872322792600642
prm15_wcost_re3_c2p1_co2_cut90p,Fossil,cut90p,-24.23667767720768
prm15_wcost_re3_c2p1_co2_cut90p,Fossil,cut90p,-24.23667767720768
prm15_wcost_re11_c2p1_co2_cut90p,Fossil,cut90p,0.03044045426986486
prm15_wcost_re11_c2p1_co2_cut90p,Fossil,cut90p,-24.217109545735283
prm15_wcost_re11_c2p1_co2_cut90p,Fossil,cut90p,-24.217109545735283
prm15_wcost_re1_c2p1_co2_cut90p,Fossil,cut90p,-0.006957897436194571
prm15_wcost_re1_c2p1_co2_cut90p,Fossil,cut90p,-24.254507897439705
prm15_wcost_re1_c2p1_co2_cut90p,Fossil,cut90p,-24.254507897439705
prm15_wcost_re14_c2p1_co2_cut90p,Fossil,cut90p,-0.007164854366017437
prm15_wcost_re14_c2p1_co2_cut90p,Fossil,cut90p,-24.254714854367737
prm15_wcost_re14_c2p1_co2_cut90p,Fossil,cut90p,-24.254714854367737
prm15_wcost_re4_c2p1_co2_cut90p,Fossil,cut90p,0.014495332738132305
prm15_wcost_re4_c2p1_co2_cut90p,Fossil,cut90p,-24.233054667263392
prm15_wcost_re4_c2p1_co2_cut90p,Fossil,cut90p,-24.233054667263392
prm15_wcost_re15_c2p1_co2_cut90p,Fossil,cut90p,0.024057141748556887
prm15_wcost_re15_c2p1_co2_cut90p,Fossil,cut90p,-24.2234928582544
prm15_wcost_re15_c2p1_co2_cut90p,Fossil,cut90p,-24.2234928582544
prm15_wcost_re13_c2p1_co2_cut90p,Fossil,cut90p,-24.25319447242039
prm15_wcost_re5_c2p1_co2_cut90p,Fossil,cut90p,-24.23461504534116
prm15_wcost_re13_c2p1_co2_cut90p,Fossil,cut90p,-0.005644472417831281
prm15_wcost_re2_c2p1_co2_cut90p,Fossil,cut90p,-24.234255281288625
prm15_wcost_re8_c2p1,Fossil,nocut,26.396930576987074
prm15_wcost_re8_c2p1,Fossil,nocut,-775.3336146667616
prm15_wcost_re8_c2p1,Fossil,nocut,-764.9426368491585
prm15_wcost_re19_c2p1,Fossil,nocut,18.75002271221024
prm15_wcost_re19_c2p1,Fossil,nocut,-869.7048524711039
prm15_wcost_re10_c2p1,Fossil,nocut,-0.020925
prm15_wcost_re9_c2p1,Fossil,nocut,22.488648964410004
prm15_wcost_re9_c2p1,Fossil,nocut,-778.909654801581
prm15_wcost_re9_c2p1,Fossil,nocut,-768.4579688935813
prm15_wcost_re20_c2p1,Fossil,nocut,3.753785663369058
prm15_wcost_re20_c2p1,Fossil,nocut,-694.8251649867964
prm15_wcost_re20_c2p1,Fossil,nocut,-692.1813249867964
prm15_wcost_re10_c2p1,Fossil,nocut,21.029020751298617
prm15_wcost_re10_c2p1,Fossil,nocut,-562.8974052607662
prm15_wcost_re10_c2p1,Fossil,nocut,-559.0906176492887
prm15_wcost_re12_c2p1_co2_cut90p,Fossil,cut90p,0.02407598007339473
prm15_wcost_re12_c2p1_co2_cut90p,Fossil,cut90p,-24.22347401992524
prm15_wcost_re12_c2p1_co2_cut90p,Fossil,cut90p,-24.22347401992524
prm15_wcost_re2_c2p1_co2_cut90p,Fossil,cut90p,0.013294718711165388
prm15_wcost_re2_c2p1_co2_cut90p,Fossil,cut90p,-24.234255281288625
prm15_wcost_re10_c2p1,Fossil,nocut,3.78586261147752
prm15_wcost_re14_c2p1,Fossil,nocut,13.236313225740652
prm15_wcost_re12_c2p1_co2_cut90p,Fossil,cut90p,-0.0174375
prm15_wcost_re20_c2p1,Fossil,nocut,-5.784487311161812
prm15_wcost_re10_c2p1,Fossil,nocut,581.120483628693
prm15_wcost_re10_c2p1,Fossil,nocut,-2.8059423833717747
prm15_wcost_re10_c2p1,Fossil,nocut,1.0008452281057454
prm15_wcost_re12_c2p1_co2_cut90p,Fossil,cut90p,24.247549999998636
prm15_wcost_re12_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re12_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re2_c2p1_co2_cut90p,Fossil,cut90p,24.24754999999979
prm15_wcost_re20_c2p1,Fossil,nocut,-8.428327311161812
prm15_wcost_re2_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re13_c2p1_co2_cut90p,Fossil,cut90p,24.24755000000256
prm15_wcost_re13_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re13_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re3_c2p1_co2_cut90p,Fossil,cut90p,24.24755000000028
prm15_wcost_re3_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re3_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re11_c2p1_co2_cut90p,Fossil,cut90p,24.24755000000515
prm15_wcost_re11_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re2_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re20_c2p1,Fossil,nocut,690.1506233390036
prm15_wcost_re9_c2p1,Fossil,nocut,0.15246030799968757
prm15_wcost_re9_c2p1,Fossil,nocut,-10.2992256
prm15_wcost_re6_c2p1,Fossil,nocut,699.4161525734528
prm15_wcost_re6_c2p1,Fossil,nocut,-5.375808
prm15_wcost_re6_c2p1,Fossil,nocut,0.82101161716683
prm15_wcost_re17_c2p1,Fossil,nocut,762.5024068526774
prm15_wcost_re17_c2p1,Fossil,nocut,-8.019648
prm15_wcost_re17_c2p1,Fossil,nocut,0.4130140996344185
prm15_wcost_re7_c2p1,Fossil,nocut,735.2433617890437
prm15_wcost_re7_c2p1,Fossil,nocut,-6.060545037220089
prm15_wcost_re7_c2p1,Fossil,nocut,1.2725732319203313
prm15_wcost_re18_c2p1,Fossil,nocut,867.6365276252917
prm15_wcost_re18_c2p1,Fossil,nocut,-14.492630373425335
prm15_wcost_re18_c2p1,Fossil,nocut,-0.5654870024984504
prm15_wcost_re8_c2p1,Fossil,nocut,791.4313196437487
prm15_wcost_re8_c2p1,Fossil,nocut,-10.2992256
prm15_wcost_re8_c2p1,Fossil,nocut,0.09175221760317065
prm15_wcost_re19_c2p1,Fossil,nocut,873.3345009177722
prm15_wcost_re19_c2p1,Fossil,nocut,-15.120374265541928
prm15_wcost_re19_c2p1,Fossil,nocut,-0.6046974773144953
prm15_wcost_re9_c2p1,Fossil,nocut,791.099078165991
prm15_wcost_re11_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re1_c2p1_co2_cut90p,Fossil,cut90p,24.24755000000351
prm15_wcost_re1_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re1_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re7_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re18_c2p1_co2_cut90p,Fossil,cut90p,24.24754999999199
prm15_wcost_re18_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re18_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re8_c2p1_co2_cut90p,Fossil,cut90p,24.24755000000368
prm15_wcost_re8_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re8_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re19_c2p1_co2_cut90p,Fossil,cut90p,24.24754999999144
prm15_wcost_re19_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re12_c2p1_co2_cut90p,Fossil,cut90p,24.230112499998636
prm15_wcost_re9_c2p1_co2_cut90p,Fossil,cut90p,24.247549999996103
prm15_wcost_re9_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re9_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re20_c2p1_co2_cut90p,Fossil,cut90p,24.24754999999903
prm15_wcost_re20_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re20_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re10_c2p1_co2_cut90p,Fossil,cut90p,24.24755000000716
prm15_wcost_re10_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re10_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re7_c2p1_co2_cut90p,Fossil,cut90p,-0.0
prm15_wcost_re16_c2p1,Fossil,nocut,1.582461624431268
prm15_wcost_re7_c2p1_co2_cut90p,Fossil,cut90p,24.247550000000647
