lz_from,lz_to,connection,period,net_flow_twh,sc_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
Argentina,Brazil,Argentina-Brazil,14245,31.934193330505444,prm15_wcost_re15_c2p1_tn,siemens23_fixed,0,0,15,1,"NoCut,Full",001
Argentina,Brazil,Argentina-Brazil,14245,32.78839695081131,prm15_wcost_re12_c2p1_tn,vestas7_fixed,0,0,12,1,"NoCut,Full",001
Argentina,Brazil,Argentina-Brazil,14245,32.57326648597237,prm15_wcost_re11_c2p1_tn,vestas2_fixed,0,0,11,1,"NoCut,Full",001
Argentina,Brazil,Argentina-Brazil,14245,32.05715725675743,prm15_wcost_re10_c2p1_tn,enercon3_1axis,0,0,10,0,"NoCut,Full",000
Argentina,Brazil,Argentina-Brazil,14245,32.40012546090453,prm15_wcost_re18_c2p1_tn,gamesa2_fixed,0,0,18,1,"NoCut,Full",001
Argentina,Brazil,Argentina-Brazil,14245,32.4659140221185,prm15_wcost_re17_c2p1_tn,ge15_fixed,0,0,17,1,"NoCut,Full",001
Argentina,Brazil,Argentina-Brazil,14245,33.3880985390819,prm15_wcost_re6_c2p1_tn,ge25_1axis,0,0,6,0,"NoCut,Full",000
Argentina,Brazil,Argentina-Brazil,14245,33.271197403290934,prm15_wcost_re13_c2p1_tn,vestas3_fixed,0,0,13,1,"NoCut,Full",001
Argentina,Brazil,Argentina-Brazil,14245,35.13770503898072,prm15_wcost_re8_c2p1_tn,gamesa2_1axis,0,0,8,0,"NoCut,Full",000
Argentina,Brazil,Argentina-Brazil,14245,34.57180212415491,prm15_wcost_re4_c2p1_tn,siemens36_1axis,0,0,4,0,"NoCut,Full",000
Argentina,Brazil,Argentina-Brazil,14245,35.00828352594393,prm15_wcost_re3_c2p1_tn,vestas3_1axis,0,0,3,0,"NoCut,Full",000
Argentina,Brazil,Argentina-Brazil,14245,99.3461744860878,prm15_wcost_re12_c2p1_co2_cut90p_tn,cut90_vestas7_fixed,1,0,12,1,"90%Cut,Full",101
Argentina,Brazil,Argentina-Brazil,14245,33.34513543277651,prm15_wcost_re2_c2p1_tn,vestas7_1axis,0,0,2,0,"NoCut,Full",000
Argentina,Brazil,Argentina-Brazil,14245,32.347933941948384,prm15_wcost_re20_c2p1_tn,enercon3_fixed,0,0,20,1,"NoCut,Full",001
Argentina,Brazil,Argentina-Brazil,14245,34.70439508976345,prm15_wcost_re1_c2p1_tn,vestas2_1axis,0,0,1,0,"NoCut,Full",000
Argentina,Brazil,Argentina-Brazil,14245,32.77469356190474,prm15_wcost_re5_c2p1_tn,siemens23_1axis,0,0,5,0,"NoCut,Full",000
Argentina,Brazil,Argentina-Brazil,14245,32.766088439203365,prm15_wcost_re19_c2p1_tn,enercon7_fixed,0,0,19,1,"NoCut,Full",001
Argentina,Brazil,Argentina-Brazil,14245,33.5280601334547,prm15_wcost_re14_c2p1_tn,siemens36_fixed,0,0,14,1,"NoCut,Full",001
Argentina,Brazil,Argentina-Brazil,14245,31.65573545724213,prm15_wcost_re16_c2p1_tn,ge25_fixed,0,0,16,1,"NoCut,Full",001
Argentina,Brazil,Argentina-Brazil,14245,66.87880678353713,prm15_wcost_re1_c2p1_co2_cut90p_tn,cut90_vestas2_1axis,1,0,1,0,"90%Cut,Full",100
Argentina,Brazil,Argentina-Brazil,14245,104.7043702605545,prm15_wcost_re14_c2p1_co2_cut90p_tn,cut90_siemens36_fixed,1,0,14,1,"90%Cut,Full",101
Argentina,Brazil,Argentina-Brazil,14245,74.9876684336513,prm15_wcost_re6_c2p1_co2_cut90p_tn,cut90_ge25_1axis,1,0,6,0,"90%Cut,Full",100
Argentina,Brazil,Argentina-Brazil,14245,102.79257902212842,prm15_wcost_re13_c2p1_co2_cut90p_tn,cut90_vestas3_fixed,1,0,13,1,"90%Cut,Full",101
Argentina,Brazil,Argentina-Brazil,14245,94.61069638510823,prm15_wcost_re15_c2p1_co2_cut90p_tn,cut90_siemens23_fixed,1,0,15,1,"90%Cut,Full",101
Argentina,Brazil,Argentina-Brazil,14245,77.22846102909394,prm15_wcost_re7_c2p1_co2_cut90p_tn,cut90_ge15_1axis,1,0,7,0,"90%Cut,Full",100
Argentina,Brazil,Argentina-Brazil,14245,32.585113620984664,prm15_wcost_re7_c2p1_tn,ge15_1axis,0,0,7,0,"NoCut,Full",000
Argentina,Brazil,Argentina-Brazil,14245,68.6368446359874,prm15_wcost_re11_c2p1_co2_cut90p_tn,cut90_vestas2_fixed,1,0,11,1,"90%Cut,Full",101
Argentina,Brazil,Argentina-Brazil,14245,105.82633732793818,prm15_wcost_re8_c2p1_co2_cut90p_tn,cut90_gamesa2_1axis,1,0,8,0,"90%Cut,Full",100
Argentina,Brazil,Argentina-Brazil,14245,92.23025967633232,prm15_wcost_re19_c2p1_co2_cut90p_tn,cut90_enercon7_fixed,1,0,19,1,"90%Cut,Full",101
Argentina,Brazil,Argentina-Brazil,14245,90.25641424662467,prm15_wcost_re18_c2p1_co2_cut90p_tn,cut90_gamesa2_fixed,1,0,18,1,"90%Cut,Full",101
Argentina,Brazil,Argentina-Brazil,14245,83.87089898051732,prm15_wcost_re17_c2p1_co2_cut90p_tn,cut90_ge15_fixed,1,0,17,1,"90%Cut,Full",101
Argentina,Brazil,Argentina-Brazil,14245,99.18005732605664,prm15_wcost_re9_c2p1_co2_cut90p_tn,cut90_enercon7_1axis,1,0,9,0,"90%Cut,Full",100
Argentina,Brazil,Argentina-Brazil,14245,76.54773415691483,prm15_wcost_re16_c2p1_co2_cut90p_tn,cut90_ge25_fixed,1,0,16,1,"90%Cut,Full",101
Argentina,Brazil,Argentina-Brazil,14245,62.514660449860045,prm15_wcost_re10_c2p1_co2_cut90p_tn,cut90_enercon3_1axis,1,0,10,0,"90%Cut,Full",100
Argentina,Brazil,Argentina-Brazil,14245,58.7101516236669,prm15_wcost_re20_c2p1_co2_cut90p_tn,cut90_enercon3_fixed,1,0,20,1,"90%Cut,Full",101
Argentina,Brazil,Argentina-Brazil,14245,35.299232723951214,prm15_wcost_re9_c2p1_tn,enercon7_1axis,0,0,9,0,"NoCut,Full",000
Argentina,Brazil,Argentina-Brazil,14245,103.96633791252277,prm15_wcost_re4_c2p1_co2_cut90p_tn,cut90_siemens36_1axis,1,0,4,0,"90%Cut,Full",100
Argentina,Brazil,Argentina-Brazil,14245,99.50678620217676,prm15_wcost_re3_c2p1_co2_cut90p_tn,cut90_vestas3_1axis,1,0,3,0,"90%Cut,Full",100
