type,load_zone,multiplier,period,trade,trade_1,scenario,full_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
export,Paraguay,-1,14245,183.32652000000002,-183.32652000000002,prm15_wcost_re20_c2p1_tn,Enercon E101 3000 Fixed,enercon3_fixed,0,0,20,1,"NoCut,Full",001
export,Paraguay,-1,14245,175.25219,-175.25219,prm15_wcost_re10_c2p1_tn,Enercon E101 3000 Single-Axis,enercon3_1axis,0,0,10,0,"NoCut,Full",000
export,Paraguay,-1,14245,169.08211,-169.08211,prm15_wcost_re8_c2p1_tn,Gamesa G80 2000 Single-Axis,gamesa2_1axis,0,0,8,0,"NoCut,Full",000
export,Paraguay,-1,14245,169.86771,-169.86771,prm15_wcost_re19_c2p1_tn,Enercon E126 7000 Fixed,enercon7_fixed,0,0,19,1,"NoCut,Full",001
export,Paraguay,-1,14245,170.85082,-170.85082,prm15_wcost_re17_c2p1_tn,GE 1.5sle Fixed,ge15_fixed,0,0,17,1,"NoCut,Full",001
export,Paraguay,-1,14245,169.92648000000003,-169.92648000000003,prm15_wcost_re7_c2p1_tn,GE 1.5sle Single-Axis,ge15_1axis,0,0,7,0,"NoCut,Full",000
export,Paraguay,-1,14245,181.11689,-181.11689,prm15_wcost_re16_c2p1_tn,GE 2.5xl Fixed,ge25_fixed,0,0,16,1,"NoCut,Full",001
export,Paraguay,-1,14245,170.37695,-170.37695,prm15_wcost_re6_c2p1_tn,GE 2.5xl Single-Axis,ge25_1axis,0,0,6,0,"NoCut,Full",000
export,Paraguay,-1,14245,169.84391,-169.84391,prm15_wcost_re18_c2p1_tn,Gamesa G80 2000 Fixed,gamesa2_fixed,0,0,18,1,"NoCut,Full",001
export,Chile,-1,14245,0.0491,-0.0491,prm15_wcost_re12_c2p1_tn,Vestas V164 7000 Fixed,vestas7_fixed,0,0,12,1,"NoCut,Full",001
export,Chile,-1,14245,0.05359,-0.05359,prm15_wcost_re2_c2p1_tn,Vestas V164 7000 Single-Axis,vestas7_1axis,0,0,2,0,"NoCut,Full",000
