type,load_zone,multiplier,period,trade,trade_1,scenario,full_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
import,Paraguay,1,14245,3.07616,3.07616,prm15_wcost_re20_c2p1_tn,Enercon E101 3000 Fixed,enercon3_fixed,0,0,20,1,"NoCut,Full",001
import,Paraguay,1,14245,4.7973,4.7973,prm15_wcost_re10_c2p1_tn,Enercon E101 3000 Single-Axis,enercon3_1axis,0,0,10,0,"NoCut,Full",000
import,Paraguay,1,14245,8.948319999999999,8.948319999999999,prm15_wcost_re8_c2p1_tn,Gamesa G80 2000 Single-Axis,gamesa2_1axis,0,0,8,0,"NoCut,Full",000
import,Paraguay,1,14245,6.2764500000000005,6.2764500000000005,prm15_wcost_re19_c2p1_tn,Enercon E126 7000 Fixed,enercon7_fixed,0,0,19,1,"NoCut,Full",001
import,Paraguay,1,14245,7.03018,7.03018,prm15_wcost_re17_c2p1_tn,GE 1.5sle Fixed,ge15_fixed,0,0,17,1,"NoCut,Full",001
import,Paraguay,1,14245,6.02239,6.02239,prm15_wcost_re7_c2p1_tn,GE 1.5sle Single-Axis,ge15_1axis,0,0,7,0,"NoCut,Full",000
import,Paraguay,1,14245,3.55267,3.55267,prm15_wcost_re16_c2p1_tn,GE 2.5xl Fixed,ge25_fixed,0,0,16,1,"NoCut,Full",001
import,Paraguay,1,14245,5.645,5.645,prm15_wcost_re6_c2p1_tn,GE 2.5xl Single-Axis,ge25_1axis,0,0,6,0,"NoCut,Full",000
import,Paraguay,1,14245,6.36071,6.36071,prm15_wcost_re18_c2p1_tn,Gamesa G80 2000 Fixed,gamesa2_fixed,0,0,18,1,"NoCut,Full",001
import,Chile,1,14245,0.12566,0.12566,prm15_wcost_re12_c2p1_tn,Vestas V164 7000 Fixed,vestas7_fixed,0,0,12,1,"NoCut,Full",001
import,Chile,1,14245,0.09232,0.09232,prm15_wcost_re2_c2p1_tn,Vestas V164 7000 Single-Axis,vestas7_1axis,0,0,2,0,"NoCut,Full",000
import,Chile,1,14245,0.11949,0.11949,prm15_wcost_re11_c2p1_tn,Vestas V90 2000 Fixed,vestas2_fixed,0,0,11,1,"NoCut,Full",001
import,Chile,1,14245,0.08169,0.08169,prm15_wcost_re1_c2p1_tn,Vestas V90 2000 Single-Axis,vestas2_1axis,0,0,1,0,"NoCut,Full",000
import,Paraguay,1,14245,7.4005,7.4005,prm15_wcost_re9_c2p1_tn,Enercon E126 7000 Single-Axis,enercon7_1axis,0,0,9,0,"NoCut,Full",000
import,Chile,1,14245,0.14144,0.14144,prm15_wcost_re19_c2p1_tn,Enercon E126 7000 Fixed,enercon7_fixed,0,0,19,1,"NoCut,Full",001
import,Chile,1,14245,0.09514,0.09514,prm15_wcost_re10_c2p1_tn,Enercon E101 3000 Single-Axis,enercon3_1axis,0,0,10,0,"NoCut,Full",000
import,Paraguay,1,14245,7.07394,7.07394,prm15_wcost_re14_c2p1_tn,Siemens SWT 3.6 107 Fixed,siemens36_fixed,0,0,14,1,"NoCut,Full",001
import,Chile,1,14245,0.11873,0.11873,prm15_wcost_re20_c2p1_tn,Enercon E101 3000 Fixed,enercon3_fixed,0,0,20,1,"NoCut,Full",001
import,Chile,1,14245,0.09756000000000001,0.09756000000000001,prm15_wcost_re9_c2p1_tn,Enercon E126 7000 Single-Axis,enercon7_1axis,0,0,9,0,"NoCut,Full",000
import,Chile,1,14245,0.12539,0.12539,prm15_wcost_re17_c2p1_tn,GE 1.5sle Fixed,ge15_fixed,0,0,17,1,"NoCut,Full",001
import,Chile,1,14245,0.09386,0.09386,prm15_wcost_re7_c2p1_tn,GE 1.5sle Single-Axis,ge15_1axis,0,0,7,0,"NoCut,Full",000
import,Chile,1,14245,0.1218,0.1218,prm15_wcost_re16_c2p1_tn,GE 2.5xl Fixed,ge25_fixed,0,0,16,1,"NoCut,Full",001
import,Chile,1,14245,0.09641000000000001,0.09641000000000001,prm15_wcost_re6_c2p1_tn,GE 2.5xl Single-Axis,ge25_1axis,0,0,6,0,"NoCut,Full",000
import,Brazil,1,14245,201.66101,201.66101,prm15_wcost_re3_c2p1_tn,Vestas V90 3000 Single-Axis,vestas3_1axis,0,0,3,0,"NoCut,Full",000
import,Brazil,1,14245,201.09519,201.09519,prm15_wcost_re13_c2p1_tn,Vestas V90 3000 Fixed,vestas3_fixed,0,0,13,1,"NoCut,Full",001
import,Brazil,1,14245,200.45171,200.45171,prm15_wcost_re1_c2p1_tn,Vestas V90 2000 Single-Axis,vestas2_1axis,0,0,1,0,"NoCut,Full",000
import,Paraguay,1,14245,6.34705,6.34705,prm15_wcost_re5_c2p1_tn,Siemens SWT 2.3 93 Single-Axis,siemens23_1axis,0,0,5,0,"NoCut,Full",000
import,Brazil,1,14245,208.65892,208.65892,prm15_wcost_re11_c2p1_tn,Vestas V90 2000 Fixed,vestas2_fixed,0,0,11,1,"NoCut,Full",001
import,Brazil,1,14245,201.93815999999998,201.93815999999998,prm15_wcost_re12_c2p1_tn,Vestas V164 7000 Fixed,vestas7_fixed,0,0,12,1,"NoCut,Full",001
import,Chile,1,14245,0.14088,0.14088,prm15_wcost_re18_c2p1_tn,Gamesa G80 2000 Fixed,gamesa2_fixed,0,0,18,1,"NoCut,Full",001
import,Chile,1,14245,0.09804,0.09804,prm15_wcost_re8_c2p1_tn,Gamesa G80 2000 Single-Axis,gamesa2_1axis,0,0,8,0,"NoCut,Full",000
import,Chile,1,14245,0.12546000000000002,0.12546000000000002,prm15_wcost_re15_c2p1_tn,Siemens SWT 2.3 93 Fixed,siemens23_fixed,0,0,15,1,"NoCut,Full",001
import,Chile,1,14245,0.09770000000000001,0.09770000000000001,prm15_wcost_re5_c2p1_tn,Siemens SWT 2.3 93 Single-Axis,siemens23_1axis,0,0,5,0,"NoCut,Full",000
import,Chile,1,14245,0.12568,0.12568,prm15_wcost_re14_c2p1_tn,Siemens SWT 3.6 107 Fixed,siemens36_fixed,0,0,14,1,"NoCut,Full",001
import,Chile,1,14245,0.09603,0.09603,prm15_wcost_re4_c2p1_tn,Siemens SWT 3.6 107 Single-Axis,siemens36_1axis,0,0,4,0,"NoCut,Full",000
import,Uruguay,1,14245,62.70187,62.70187,prm15_wcost_re13_c2p1_tn,Vestas V90 3000 Fixed,vestas3_fixed,0,0,13,1,"NoCut,Full",001
import,Paraguay,1,14245,7.178140000000001,7.178140000000001,prm15_wcost_re4_c2p1_tn,Siemens SWT 3.6 107 Single-Axis,siemens36_1axis,0,0,4,0,"NoCut,Full",000
import,Brazil,1,14245,201.02904,201.02904,prm15_wcost_re2_c2p1_tn,Vestas V164 7000 Single-Axis,vestas7_1axis,0,0,2,0,"NoCut,Full",000
import,Paraguay,1,14245,6.860849999999999,6.860849999999999,prm15_wcost_re15_c2p1_tn,Siemens SWT 2.3 93 Fixed,siemens23_fixed,0,0,15,1,"NoCut,Full",001
import,Uruguay,1,14245,52.98856,52.98856,prm15_wcost_re3_c2p1_tn,Vestas V90 3000 Single-Axis,vestas3_1axis,0,0,3,0,"NoCut,Full",000
import,Paraguay,1,14245,6.66179,6.66179,prm15_wcost_re12_c2p1_tn,Vestas V164 7000 Fixed,vestas7_fixed,0,0,12,1,"NoCut,Full",001
import,Argentina,1,14245,3.45579,3.45579,prm15_wcost_re12_c2p1_tn,Vestas V164 7000 Fixed,vestas7_fixed,0,0,12,1,"NoCut,Full",001
import,Argentina,1,14245,5.8993,5.8993,prm15_wcost_re2_c2p1_tn,Vestas V164 7000 Single-Axis,vestas7_1axis,0,0,2,0,"NoCut,Full",000
import,Argentina,1,14245,6.31236,6.31236,prm15_wcost_re11_c2p1_tn,Vestas V90 2000 Fixed,vestas2_fixed,0,0,11,1,"NoCut,Full",001
import,Argentina,1,14245,8.56231,8.56231,prm15_wcost_re1_c2p1_tn,Vestas V90 2000 Single-Axis,vestas2_1axis,0,0,1,0,"NoCut,Full",000
import,Argentina,1,14245,3.6351,3.6351,prm15_wcost_re13_c2p1_tn,Vestas V90 3000 Fixed,vestas3_fixed,0,0,13,1,"NoCut,Full",001
import,Argentina,1,14245,5.8179300000000005,5.8179300000000005,prm15_wcost_re3_c2p1_tn,Vestas V90 3000 Single-Axis,vestas3_1axis,0,0,3,0,"NoCut,Full",000
import,Argentina,1,14245,5.8651800000000005,5.8651800000000005,prm15_wcost_re4_c2p1_tn,Siemens SWT 3.6 107 Single-Axis,siemens36_1axis,0,0,4,0,"NoCut,Full",000
import,Chile,1,14245,0.14055,0.14055,prm15_wcost_re13_c2p1_tn,Vestas V90 3000 Fixed,vestas3_fixed,0,0,13,1,"NoCut,Full",001
import,Uruguay,1,14245,51.07042,51.07042,prm15_wcost_re14_c2p1_tn,Siemens SWT 3.6 107 Fixed,siemens36_fixed,0,0,14,1,"NoCut,Full",001
import,Uruguay,1,14245,21.66021,21.66021,prm15_wcost_re5_c2p1_tn,Siemens SWT 2.3 93 Single-Axis,siemens23_1axis,0,0,5,0,"NoCut,Full",000
import,Uruguay,1,14245,22.43534,22.43534,prm15_wcost_re15_c2p1_tn,Siemens SWT 2.3 93 Fixed,siemens23_fixed,0,0,15,1,"NoCut,Full",001
import,Uruguay,1,14245,46.55898,46.55898,prm15_wcost_re8_c2p1_tn,Gamesa G80 2000 Single-Axis,gamesa2_1axis,0,0,8,0,"NoCut,Full",000
import,Uruguay,1,14245,63.11351,63.11351,prm15_wcost_re18_c2p1_tn,Gamesa G80 2000 Fixed,gamesa2_fixed,0,0,18,1,"NoCut,Full",001
import,Uruguay,1,14245,15.436209999999999,15.436209999999999,prm15_wcost_re6_c2p1_tn,GE 2.5xl Single-Axis,ge25_1axis,0,0,6,0,"NoCut,Full",000
import,Uruguay,1,14245,39.77375,39.77375,prm15_wcost_re4_c2p1_tn,Siemens SWT 3.6 107 Single-Axis,siemens36_1axis,0,0,4,0,"NoCut,Full",000
import,Uruguay,1,14245,17.46019,17.46019,prm15_wcost_re16_c2p1_tn,GE 2.5xl Fixed,ge25_fixed,0,0,16,1,"NoCut,Full",001
import,Argentina,1,14245,3.25933,3.25933,prm15_wcost_re14_c2p1_tn,Siemens SWT 3.6 107 Fixed,siemens36_fixed,0,0,14,1,"NoCut,Full",001
import,Argentina,1,14245,4.14114,4.14114,prm15_wcost_re15_c2p1_tn,Siemens SWT 2.3 93 Fixed,siemens23_fixed,0,0,15,1,"NoCut,Full",001
import,Uruguay,1,14245,14.49222,14.49222,prm15_wcost_re1_c2p1_tn,Vestas V90 2000 Single-Axis,vestas2_1axis,0,0,1,0,"NoCut,Full",000
import,Uruguay,1,14245,16.20552,16.20552,prm15_wcost_re11_c2p1_tn,Vestas V90 2000 Fixed,vestas2_fixed,0,0,11,1,"NoCut,Full",001
import,Uruguay,1,14245,28.04535,28.04535,prm15_wcost_re2_c2p1_tn,Vestas V164 7000 Single-Axis,vestas7_1axis,0,0,2,0,"NoCut,Full",000
import,Uruguay,1,14245,42.37853,42.37853,prm15_wcost_re12_c2p1_tn,Vestas V164 7000 Fixed,vestas7_fixed,0,0,12,1,"NoCut,Full",001
