Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,cf_1axis,cf_fixed,all_avg
-40.25,-71.75,p_solar_Argentina_AR13,Argentina,866.2,0.19,24.6984852,0.2319847449908924,0.1817750455373406,0.2068798952641165
-40.75,-71.75,p_solar_Argentina_AR14,Argentina,863.8,0.19,6.065691441,0.2316642759562841,0.1822373633879781,0.2069508196721311
-41.25,-71.75,p_solar_Argentina_AR15,Argentina,848.6,0.18,49.09909275,0.2306567622950818,0.1817552367941712,0.20620599954462648
-39.25,-71.25,p_solar_Argentina_AR33,Argentina,729.2,0.2,23.61911958,0.2649032331511844,0.2028769353369763,0.23389008424408037
-39.75,-71.25,p_solar_Argentina_AR34,Argentina,726.2,0.2,7.681807314,0.261887636612021,0.2015869763205828,0.23173730646630192
-40.25,-71.25,p_solar_Argentina_AR35,Argentina,715.6,0.19,6.963270806,0.2626405965391623,0.2021113387978142,0.23237596766848823
-40.75,-71.25,p_solar_Argentina_AR36,Argentina,712.3,0.19,26.97389697,0.2608222905282329,0.2008095400728597,0.2308159153005463
-41.25,-71.25,p_solar_Argentina_AR37,Argentina,710.1,0.18,52.5428613,0.2562366803278683,0.1979698315118397,0.22710325591985397
-36.75,-70.75,p_solar_Argentina_AR58,Argentina,469.1,0.22,0.995230218,0.3224930555555564,0.2363954918032787,0.27944427367941754
-37.25,-70.75,p_solar_Argentina_AR59,Argentina,466.8,0.22,0.026400114,0.3150554417122053,0.2321856785063752,0.27362056010929026
-37.75,-70.75,p_solar_Argentina_AR60,Argentina,462.5,0.21,2.70912778,0.3038416438979966,0.2259818989071038,0.2649117714025502
-38.25,-70.75,p_solar_Argentina_AR61,Argentina,443.8,0.21,8.744686224,0.2953268442622954,0.2211520947176684,0.2582394694899819
-38.75,-70.75,p_solar_Argentina_AR62,Argentina,442.0,0.21,16.92022736,0.2869458105646643,0.2164578779599271,0.2517018442622957
-39.25,-70.75,p_solar_Argentina_AR63,Argentina,439.8,0.2,13.0935712,0.2820866347905286,0.2135076275045537,0.24779713114754115
-39.75,-70.75,p_solar_Argentina_AR64,Argentina,428.0,0.2,11.85949044,0.2767882513661201,0.210171106557377,0.24347967896174855
-40.25,-70.75,p_solar_Argentina_AR65,Argentina,413.8,0.2,4.177343107,0.2721719034608371,0.2069045992714025,0.23953825136611978
-40.75,-70.75,p_solar_Argentina_AR66,Argentina,395.7,0.19,18.21445133,0.2688210382513668,0.2048356102003643,0.23682832422586553
-41.25,-70.75,p_solar_Argentina_AR67,Argentina,387.8,0.18,73.74041579,0.2667297358834248,0.2038609972677595,0.23529536657559214
-30.75,-70.25,p_solar_Argentina_AR89,Argentina,241.8,0.24,80.51062936,0.3714658469945416,0.2666713342440802,0.3190685906193109
-31.25,-70.25,p_solar_Argentina_AR90,Argentina,239.4,0.25,70.98229399,0.3703973132969099,0.266310223132969,0.31835376821493944
-31.75,-70.25,p_solar_Argentina_AR91,Argentina,239.0,0.26,86.79079899,0.3662881375227748,0.2638971994535519,0.3150926684881633
-32.25,-70.25,p_solar_Argentina_AR92,Argentina,237.7,0.27,123.9364334,0.3589647085610251,0.2588572404371584,0.3089109744990918
-34.75,-70.25,p_solar_Argentina_AR93,Argentina,232.2,0.25,74.04835464,0.3449495673952674,0.2486967213114754,0.2968231443533714
-35.25,-70.25,p_solar_Argentina_AR94,Argentina,230.0,0.24,53.84517349,0.3431498178506399,0.2479849726775956,0.29556739526411774
-35.75,-70.25,p_solar_Argentina_AR95,Argentina,222.3,0.24,63.76833705,0.3391244307832445,0.2466053051001821,0.2928648679417133
-36.25,-70.25,p_solar_Argentina_AR96,Argentina,222.1,0.23,69.57137407,0.3349097222222248,0.2445735428051001,0.2897416325136625
-36.75,-70.25,p_solar_Argentina_AR97,Argentina,218.4,0.23,26.41318082,0.3265772996357018,0.2396170309653916,0.28309716530054674
-37.25,-70.25,p_solar_Argentina_AR98,Argentina,217.1,0.22,1.405221721,0.312697404371585,0.231327868852459,0.272012636612022
-37.75,-70.25,p_solar_Argentina_AR99,Argentina,203.2,0.21,3.513042647,0.3014414845173042,0.2247846083788707,0.2631130464480874
-38.25,-70.25,p_solar_Argentina_AR100,Argentina,198.4,0.21,8.671382619,0.2948531420765031,0.2208665755919854,0.2578598588342442
-38.75,-70.25,p_solar_Argentina_AR101,Argentina,198.3,0.21,1.359211209,0.2902591074681233,0.2179601548269581,0.2541096311475407
-39.25,-70.25,p_solar_Argentina_AR102,Argentina,197.3,0.21,31.95609071,0.2854867941712222,0.2147764116575592,0.2501316029143907
-39.75,-70.25,p_solar_Argentina_AR103,Argentina,196.4,0.2,13.62578708,0.2776086065573777,0.2097256375227686,0.24366712204007313
-40.25,-70.25,p_solar_Argentina_AR104,Argentina,193.4,0.2,4.916320926,0.2728209244080148,0.2066919398907103,0.23975643214936254
-40.75,-70.25,p_solar_Argentina_AR105,Argentina,192.6,0.2,39.63131213,0.269860883424408,0.2050555555555555,0.23745821948998175
-41.25,-70.25,p_solar_Argentina_AR106,Argentina,190.5,0.19,84.81288929,0.2655007969034602,0.2028823998178506,0.2341915983606554
-41.75,-70.25,p_solar_Argentina_AR107,Argentina,184.9,0.18,92.28808044,0.2642386156648454,0.2026648451730419,0.23345173041894365
