scenario,technology_wind,load_zone,new_build_mw_wind,cap_mw_wind,new_cap_mw_wind,emis_policy,exist_trd,op_char,fixed_pv,pol,group,technology_solar,new_build_mw_solar,cap_mw_solar,new_cap_mw_solar,pref
prm15_wcost_re13_c2p1_t1,Wind,Argentina,585.0,631578.0,585.0,0,1,13,1,"NoCut,Lim",11,SolarPV,1878.8,68590.4,1878.8,0.23743810374218685
prm15_wcost_re13_c2p1_t1,Wind,Brazil,42544.678027807466,281991.0,42544.678027807466,0,1,13,1,"NoCut,Lim",11,SolarPV,114479.8,134739.3,114479.8,0.2709429673778201
prm15_wcost_re13_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,13,1,"NoCut,Lim",11,SolarPV,0.0,94117.1,0.0,
prm15_wcost_re13_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,13,1,"NoCut,Lim",11,SolarPV,2488.6233168875924,11360.1,2488.6233168875924,0.0
prm15_wcost_re13_c2p1_t1,Wind,Uruguay,7709.872733686067,102552.0,7709.872733686067,0,1,13,1,"NoCut,Lim",11,SolarPV,3957.6207322724927,8111.2,3957.6207322724927,0.6607994044462617
prm15_wcost_re4_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,4,0,"NoCut,Lim",10,SolarPV,6146.4953248761885,11360.1,6146.4953248761885,0.0
prm15_wcost_re4_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,4,0,"NoCut,Lim",10,SolarPV,6566.879393697939,94117.1,6566.879393697939,0.0
prm15_wcost_re4_c2p1_t1,Wind,Brazil,47275.09642138583,281991.0,47275.09642138583,0,1,4,0,"NoCut,Lim",10,SolarPV,127785.7,134739.3,127785.7,0.27004959070099716
prm15_wcost_re4_c2p1_t1,Wind,Argentina,0.0,631578.0,0.0,0,1,4,0,"NoCut,Lim",10,SolarPV,7134.310606093099,68590.4,7134.310606093099,0.0
prm15_wcost_re4_c2p1_t1,Wind,Uruguay,6622.161585355635,102552.0,6622.161585355635,0,1,4,0,"NoCut,Lim",10,SolarPV,4117.086027475342,8111.2,4117.086027475342,0.6166317999264349
prm15_wcost_re12_c2p1_t1,Wind,Paraguay,114.97840163601856,80313.0,114.97840163601856,0,1,12,1,"NoCut,Lim",11,SolarPV,2571.0460592699355,11360.1,2571.0460592699355,0.04280616327568296
prm15_wcost_re12_c2p1_t1,Wind,Uruguay,7651.403284671533,102552.0,7651.403284671533,0,1,12,1,"NoCut,Lim",11,SolarPV,3351.5398290852872,8111.2,3351.5398290852872,0.6953960595420232
prm15_wcost_re15_c2p1_t1,Wind,Paraguay,144.35510258146323,80313.0,144.35510258146323,0,1,15,1,"NoCut,Lim",11,SolarPV,2576.645513732091,11360.1,2576.645513732091,0.05305221237951697
prm15_wcost_re16_c2p1_t1,Wind,Uruguay,7329.189917907082,102552.0,7329.189917907082,0,1,16,1,"NoCut,Lim",11,SolarPV,2748.715863163657,8111.2,2748.715863163657,0.7272532683996162
prm15_wcost_re5_c2p1_t1,Wind,Uruguay,6648.635064140196,102552.0,6648.635064140196,0,1,5,0,"NoCut,Lim",10,SolarPV,3754.941805602406,8111.2,3754.941805602406,0.6390720371833704
prm15_wcost_re5_c2p1_t1,Wind,Paraguay,48.83068719731842,80313.0,48.83068719731842,0,1,5,0,"NoCut,Lim",10,SolarPV,6060.2,11360.1,6060.2,0.007993197234980794
prm15_wcost_re5_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,5,0,"NoCut,Lim",10,SolarPV,6566.879393697936,94117.1,6566.879393697936,0.0
prm15_wcost_re5_c2p1_t1,Wind,Brazil,51231.0,281991.0,51231.0,0,1,5,0,"NoCut,Lim",10,SolarPV,122906.79867398652,134739.3,122906.79867398652,0.2941980453991642
prm15_wcost_re5_c2p1_t1,Wind,Argentina,0.0,631578.0,0.0,0,1,5,0,"NoCut,Lim",10,SolarPV,6474.467052270434,68590.4,6474.467052270434,0.0
