month,variable,value,pol
0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
1,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
2,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
3,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
4,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
5,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.4613981016483574,True
6,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
7,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1.0176843557084612,True
8,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,5.557170160477022,True
9,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1.0711637712775215,True
10,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,5.347765800002458,True
11,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
12,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
13,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
14,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
15,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
16,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
17,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
18,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
19,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,2.782938580348016,True
20,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,3.3258451515378176,True
21,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1.4922861024576624,True
22,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,4.805095500000871,True
23,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
24,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
25,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
26,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
27,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
28,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
29,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
30,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
31,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
32,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1.6926705866238816,True
33,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1.6725561481728994,True
34,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,5.368605279363994,True
35,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
36,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
37,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0792512936847448,True
38,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.7828467999420342,True
39,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
40,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True
41,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.6048552017920217,True
42,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,2.5435283194488374,True
43,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,3.399993314535874,True
44,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1.060283924434492,True
45,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1.5183816244409591,True
