horizon,variable,value,pol,month
202501,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,0
202502,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,1
202503,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,2
202504,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0058453159999998,True,3
202505,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,4
202506,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,5
202507,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,6
202508,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,7
202509,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,8
202510,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,9
202511,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,10
202512,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,11
203001,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,12
203002,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,13
203003,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,14
203004,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.00013296,True,15
203005,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,16
203006,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,17
203007,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,18
203008,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,19
203009,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,20
203010,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,21
203011,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,22
203012,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,23
203501,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,24
203502,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,25
203503,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,26
203504,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0802676823589819,True,27
203505,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,28
203506,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,29
203507,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,30
203508,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,31
203509,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,32
203510,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,33
203511,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,34
203512,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,35
204001,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.4708933647211609,True,36
204002,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0071724561397034,True,37
204003,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,38
204004,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.6448071362806117,True,39
204005,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.6185252176895475,True,40
204006,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,41
204007,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,42
204008,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.6981499784583295,True,43
204009,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.0,True,44
204010,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.4089471565150422,True,45
204011,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.40647643190609917,True,46
204012,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,0.2475549599524901,True,47
204501,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,2.445193080241981,True,48
204502,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1.7394296631533657,True,49
