tech,scs,2020,2025,2030,2035,2040,2045,2050,emis_policy,exist_trd,op_char,fixed_pv,pol,group
Solar,prm15_wcost_re11_c2p1_t1,1.6057729392249853,1.3661853909095352,1.217553763966773,1.0559272592300577,1.1370984826593475,1.1125818024214722,2.451892316033954,0,1,11,1,"NoCut,Lim",011
Solar,prm15_wcost_re10_c2p1_t1,1.6103515414586222,3.9017445148806615,9.351168867455877,8.890033751283205,9.665998315885135,11.392280911788385,13.38280212311029,0,1,10,0,"NoCut,Lim",010
Solar,prm15_wcost_re12_c2p1_t1,1.6057729392249853,1.3683399067417195,2.618728918047005,4.046003374365054,3.5423423020080524,5.427890033582292,7.730510087912629,0,1,12,1,"NoCut,Lim",011
Solar,prm15_wcost_re13_c2p1_t1,1.6057729392249853,1.3683086429831453,5.965253696701305,10.62401127506177,9.254853039504894,9.865425837079979,9.959177876376916,0,1,13,1,"NoCut,Lim",011
BNG,prm15_wcost_re17_c2p1_t1,13.014141173714178,10.233644366782523,9.741220947687616,8.557658561942096,7.537641307387849,6.1485729727945815,5.362070288029247,0,1,17,1,"NoCut,Lim",011
BNG,prm15_wcost_re18_c2p1_t1,13.014141173714178,10.856336442773614,9.823368215018347,8.502938408131836,7.566723183669126,6.179594598333128,5.386056145579146,0,1,18,1,"NoCut,Lim",011
BNG,prm15_wcost_re19_c2p1_t1,13.014141173714178,10.954428890301367,9.82344716925449,8.492687601941485,7.557766258542233,6.182851314821671,5.3878154055488015,0,1,19,1,"NoCut,Lim",011
BNG,prm15_wcost_re1_c2p1_t1,13.014732080552859,9.129951243944163,8.51736980564651,8.124089480908584,7.063651781708019,5.7580470262100425,5.023801025073311,0,1,1,0,"NoCut,Lim",010
BNG,prm15_wcost_re20_c2p1_t1,13.014141173714178,9.50405292541252,8.948799830238233,8.226718702550992,7.138741121337932,6.128991986208454,5.358776653688857,0,1,20,1,"NoCut,Lim",011
Fossil,prm15_wcost_re15_c2p1_t1,21.614211693525483,22.395795040835466,22.592861441954717,28.04750972664887,34.57472003171453,35.98297112362544,37.72719295523641,0,1,15,1,"NoCut,Lim",011
BNG,prm15_wcost_re16_c2p1_t1,13.014141173714178,9.815004098001298,9.460451238102152,8.263843696073975,7.198780104774931,6.143840313593255,5.3607378229450005,0,1,16,1,"NoCut,Lim",011
BNG,prm15_wcost_re11_c2p1_t1,13.014141173714178,9.572836931595807,9.035711722510634,8.248229229829114,7.153831100721098,6.146601499806386,5.359227088216531,0,1,11,1,"NoCut,Lim",011
Fossil,prm15_wcost_re18_c2p1_t1,21.614211693525483,24.900946533215297,26.76487425085696,30.27836968312625,35.99750841887293,37.411772097975174,40.81233256400717,0,1,18,1,"NoCut,Lim",011
BNG,prm15_wcost_re12_c2p1_t1,13.014141173714178,10.47555626155907,9.792679019563156,8.655973223466495,7.570196319109668,6.151903580163128,5.364046566956301,0,1,12,1,"NoCut,Lim",011
Fossil,prm15_wcost_re17_c2p1_t1,21.614211693525483,22.079993421564755,22.6669887154834,28.015504469584144,34.54535832594562,35.773801808710196,36.35957276235233,0,1,17,1,"NoCut,Lim",011
BNG,prm15_wcost_re14_c2p1_t1,13.014141173714178,10.76872770633296,9.82330283928781,8.611493154643101,7.570289428266344,6.151664733397639,5.379743023794435,0,1,14,1,"NoCut,Lim",011
BNG,prm15_wcost_re15_c2p1_t1,13.014141173714178,10.353064729039735,9.735927543220152,8.561922731108293,7.537829775493028,6.156423130352041,5.36287783189108,0,1,15,1,"NoCut,Lim",011
BNG,prm15_wcost_re13_c2p1_t1,13.014141173714178,10.954548579181736,9.823517612342183,8.45753266761644,7.53181104357442,6.201967507999068,5.388531129902546,0,1,13,1,"NoCut,Lim",011
Fossil,prm15_wcost_re14_c2p1_t1,21.614211693525483,24.18969006501413,24.43920510777783,29.563803941133706,35.30502514552234,35.860998474603065,38.37704670662789,0,1,14,1,"NoCut,Lim",011
BNG,prm15_wcost_re2_c2p1_t1,13.014732080552859,9.690988770034533,8.608870008720023,8.224576904063545,7.110510017378348,5.889988996771653,5.313642678534503,0,1,2,0,"NoCut,Lim",010
Solar,prm15_wcost_re1_c2p1_t1,1.6103515414586222,4.191536303030934,9.875804734724374,9.457790212777551,10.274084626940672,12.07751100968062,13.947238796017563,0,1,1,0,"NoCut,Lim",010
BNG,prm15_wcost_re9_c2p1_t1,13.014732080552859,9.63487338665557,8.605873815243319,8.221831739222702,7.118843486728368,5.943703166592884,5.327740956966297,0,1,9,0,"NoCut,Lim",010
Solar,prm15_wcost_re19_c2p1_t1,1.6057729392249853,1.36829369290754,5.3879561984132565,9.796172989896549,8.516826036186774,9.22089588533412,9.567077131022703,0,1,19,1,"NoCut,Lim",011
Fossil,prm15_wcost_re11_c2p1_t1,21.614211693525483,20.408126560104186,19.23193595127697,24.151541484909966,28.60947101224899,34.23750451380239,35.29861484016924,0,1,11,1,"NoCut,Lim",011
Solar,prm15_wcost_re18_c2p1_t1,1.6057729392249853,1.368304836087737,5.010433839529948,8.904041108959516,7.738864034586846,8.563944523315657,9.493591282958926,0,1,18,1,"NoCut,Lim",011
Solar,prm15_wcost_re17_c2p1_t1,1.6057729392249853,1.3682777988752126,1.6248236745112488,3.5496798112678487,3.1254948961351174,3.5817454081143767,7.028041457017274,0,1,17,1,"NoCut,Lim",011
Solar,prm15_wcost_re16_c2p1_t1,1.6057729392249853,1.368318717305638,1.4547673483003498,1.5894469230350095,1.9004458180667227,1.8645600197265486,4.915144335277144,0,1,16,1,"NoCut,Lim",011
Solar,prm15_wcost_re15_c2p1_t1,1.6057729392249853,1.3682784984369571,2.052569816412191,3.7083514831824327,3.2502406053239037,4.3778724962825155,7.1718668495401765,0,1,15,1,"NoCut,Lim",011
Fossil,prm15_wcost_re10_c2p1_t1,21.615193086406656,18.936412334994948,17.92780858971258,22.92309862237452,26.338565293821727,29.573966831340417,26.275458542438294,0,1,10,0,"NoCut,Lim",010
Solar,prm15_wcost_re14_c2p1_t1,1.6057729392249853,1.3683081776292727,4.118727060473962,6.245988230919772,5.434730332515664,6.603813603751401,8.486633706194002,0,1,14,1,"NoCut,Lim",011
Solar,prm15_wcost_re20_c2p1_t1,1.6057729392249853,1.3571012227306531,1.1867352775979834,1.0289549329603207,0.9270517758124903,0.9343287121324312,1.9745791780637627,0,1,20,1,"NoCut,Lim",011
BNG,prm15_wcost_re8_c2p1_t1,13.014732080552859,9.634998203966397,8.605905978423433,8.221868443092282,7.118817901419651,5.945768420621335,5.324605647460415,0,1,8,0,"NoCut,Lim",010
Solar,prm15_wcost_re2_c2p1_t1,1.6103515414586222,6.8129587576916855,15.85885890064777,14.761415399086793,13.785873583625978,15.05062847057007,15.513730462690644,0,1,2,0,"NoCut,Lim",010
Solar,prm15_wcost_re9_c2p1_t1,1.6103515414586222,7.907879080248519,17.072496477596413,15.434434801954241,14.796488699478559,15.992553514518532,15.783124531507365,0,1,9,0,"NoCut,Lim",010
BNG,prm15_wcost_re3_c2p1_t1,13.014732080552859,9.634905045281368,8.553872751961125,8.22725585434788,7.118549428930872,5.954044589654093,5.33015091935534,0,1,3,0,"NoCut,Lim",010
Solar,prm15_wcost_re8_c2p1_t1,1.6103515414586222,8.05556569624053,17.083731731681805,15.4168373543535,14.797319990267917,15.834601169719543,15.761475023944623,0,1,8,0,"NoCut,Lim",010
BNG,prm15_wcost_re4_c2p1_t1,13.014732080552859,9.69384006333364,8.59736772470769,8.22464931631041,7.1118858045802975,5.8753822986522986,5.317275377846455,0,1,4,0,"NoCut,Lim",010
Solar,prm15_wcost_re7_c2p1_t1,1.6103515414586222,6.167650397695836,13.685791228081339,12.90825346525401,12.758830572106588,13.84094652872451,14.916407098901706,0,1,7,0,"NoCut,Lim",010
Fossil,prm15_wcost_re13_c2p1_t1,21.614211693525483,25.806675604355785,27.55283568875098,30.56693683879761,36.37438884574358,38.326919916379744,41.766237358541424,0,1,13,1,"NoCut,Lim",011
Solar,prm15_wcost_re6_c2p1_t1,1.6103515414586222,4.34885016073057,12.203817328096187,11.409835689692756,11.248903599573616,13.2198537305368,14.337343407882468,0,1,6,0,"NoCut,Lim",010
BNG,prm15_wcost_re5_c2p1_t1,13.014732080552859,9.569573579677831,8.617522816310366,8.22583066272751,7.1059012734023925,5.896211670721081,5.309454111238747,0,1,5,0,"NoCut,Lim",010
Solar,prm15_wcost_re5_c2p1_t1,1.6103515414586222,6.434987378824712,14.60854638013759,13.709816661071109,13.021834445088434,14.33595933130785,15.07656643133418,0,1,5,0,"NoCut,Lim",010
BNG,prm15_wcost_re6_c2p1_t1,13.014732080552859,9.509167369742215,8.593648688199472,8.220997152102163,7.069589245303708,5.796790600534662,5.146366758208706,0,1,6,0,"NoCut,Lim",010
Solar,prm15_wcost_re4_c2p1_t1,1.6103515414586222,7.336278835212681,16.611440899533957,15.355461330092139,14.313616145106641,15.520200779759405,15.672717519742186,0,1,4,0,"NoCut,Lim",010
Solar,prm15_wcost_re3_c2p1_t1,1.6103515414586222,7.982896935674836,17.204541641552062,15.853013117100526,14.803246938808739,15.986620635934766,15.80962312191826,0,1,3,0,"NoCut,Lim",010
BNG,prm15_wcost_re7_c2p1_t1,13.014732080552859,9.450061063516676,8.587830840611318,8.22286203566379,7.107899260854582,5.906007635214683,5.279743829871079,0,1,7,0,"NoCut,Lim",010
Fossil,prm15_wcost_re12_c2p1_t1,21.614211693525483,22.95253977129341,23.356372172396984,29.120110291780648,35.20570002429572,36.12490836810701,38.46909672092329,0,1,12,1,"NoCut,Lim",011
