load_zone,scs_id,variable_om_cost_total,fuel_cost_total,startup_cost_total,capacity_cost,transmission_capacity_cost,mwh,MtCO2,total_costs,operations_cost_total,emis_policy,exist_trd,op_char,fixed_pv,pol,group,split_tx_cost,new_total_cost
Chile,prm15_wcost_re17_c2p1_t1,3913699922.924382,11405610327.426678,2.227352524641901e-09,10.957803850154235,0.0,878433556.575,281.68421129757894,26277114100.5053,15.31931025035106,0,1,17,1,"NoCut,Lim",11,0.0,26.27711410050529
Uruguay,prm15_wcost_re13_c2p1_t1,297142041.12534535,783408788.2327577,8613794.448265132,4.250995041679315,0.0,170565854.225,3.86042077305453,5340159665.485683,1.089164623806368,0,1,13,1,"NoCut,Lim",11,0.0,5.340159665485682
Chile,prm15_wcost_re18_c2p1_t1,3912710484.9311376,11478545473.970469,2.2273525246419013e-08,10.787729344260375,0.0,878433556.575,283.0343512844171,26178985303.16198,15.391255958901604,0,1,18,1,"NoCut,Lim",11,0.0,26.17898530316198
Brazil,prm15_wcost_re13_c2p1_t1,31837853445.06585,72853458027.95653,0.0,116.44731052565996,0.0,7114586509.525,775.4258178427426,221138621998.6824,104.69131147302237,0,1,13,1,"NoCut,Lim",11,0.0,221.13862199868237
Uruguay,prm15_wcost_re14_c2p1_t1,282098602.6386467,567710074.9978622,9272917.60249427,3.933907960298245,0.0,170565854.225,2.01022192194626,4792989555.537248,0.8590815952390032,0,1,14,1,"NoCut,Lim",11,0.0,4.792989555537248
Brazil,prm15_wcost_re8_c2p1_t1,30161571978.326088,60070731575.170364,0.0,120.7728678462562,0.0,7114586509.525,627.7792215946831,211005171399.75266,90.23230355349646,0,1,8,0,"NoCut,Lim",10,0.0,211.0051713997527
Uruguay,prm15_wcost_re15_c2p1_t1,277581145.602914,520622799.5366894,6074632.826936824,3.831701922579054,0.0,170565854.225,1.6628858429034703,4635980500.545593,0.8042785779665402,0,1,15,1,"NoCut,Lim",11,0.0,4.635980500545594
Brazil,prm15_wcost_re12_c2p1_t1,31285708596.202248,68377661311.65659,0.0,117.5784879091516,0.0,7114586509.525,718.3171812943696,217241857817.01044,99.66336990785884,0,1,12,1,"NoCut,Lim",11,0.0,217.24185781701044
Paraguay,prm15_wcost_re11_c2p1_t1,2359566843.1191897,375789012.4496551,6933505.370883359,2.4728402577942967,0.0,354890645.65000004,4.896312173347226,5215129618.734024,2.7422893609397283,0,1,11,1,"NoCut,Lim",11,0.0,5.215129618734025
Uruguay,prm15_wcost_re16_c2p1_t1,274785075.1840714,492328334.2488313,5002276.532746196,3.737009782014401,0.0,170565854.225,1.45791373520819,4509125467.98005,0.7721156859656491,0,1,16,1,"NoCut,Lim",11,0.0,4.50912546798005
Brazil,prm15_wcost_re11_c2p1_t1,29635105120.518,56018641002.71649,0.0,125.15616014288264,0.0,7114586509.525,568.2933415604746,210809906266.11716,85.6537461232345,0,1,11,1,"NoCut,Lim",11,0.0,210.8099062661172
Uruguay,prm15_wcost_re17_c2p1_t1,276410408.0140924,508429200.57663953,5334407.141446227,3.813734352410288,0.0,170565854.225,1.572982258420241,4603908368.142466,0.790174015732178,0,1,17,1,"NoCut,Lim",11,0.0,4.6039083681424655
Paraguay,prm15_wcost_re10_c2p1_t1,2354007010.9640026,346421902.4381401,7578104.012475257,2.3948600863127685,0.0,354890645.65000004,4.495431586118389,5102867103.727386,2.708007017414618,0,1,10,0,"NoCut,Lim",10,0.0,5.1028671037273865
