sc_name,period,load_zone,Battery_new,twh,MtCO2,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re1_c2p1_t1,2050,Argentina,0.0,1.808906358036211e-16,461.9751501865342,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re12_c2p1_t1,2050,Uruguay,0.1354875896533032,1.157542903045417,1.6518400741181725,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re1_c2p1_t1,2050,Chile,0.0,3.719083374598142e-16,243.27096046008023,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,2050,Paraguay,3.5519502023542997,2.270608069597137,4.43187670700798,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,2050,Brazil,0.0,14.247435303608972,454.68694914395337,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,2050,Uruguay,0.0442833675579636,1.1448923691338222,0.8261956741258598,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,2050,Argentina,0.0,1.2258349890714728e-16,487.3028753570106,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,2050,Brazil,0.0,12.343498745085949,581.7011805483166,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,2050,Chile,0.0,-5.546955117452514e-16,242.25647991133044,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,2050,Paraguay,4.017549092340297,1.7805104486740746,5.218175474832528,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,2050,Uruguay,0.1457805897987,0.9138238152614971,1.618342125480431,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,2050,Argentina,0.0,1.1974843339146448e-16,486.8618448024678,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,2050,Brazil,0.0,12.492711911442903,642.8690059282249,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,2050,Chile,0.0,6.189271317680214e-18,242.6554382187823,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,2050,Paraguay,4.017549092340296,1.7787952524869408,5.218175474832528,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re3_c2p1_t1,2050,Uruguay,0.322110930422094,0.6703359473047623,3.087168756822071,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,2050,Argentina,0.0,1.2218204226144284e-16,486.6268874240961,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,2050,Brazil,0.0,11.84653635401223,589.7578784411855,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,2050,Chile,0.0,3.3875305338604282e-16,242.11943288523256,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re4_c2p1_t1,2050,Paraguay,4.017549092340295,1.7756911026043534,5.218175474832527,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,2050,Argentina,0.0,-4.7909676226254284e-17,490.43494128146665,0,1,5,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,2050,Brazil,0.0,8.909775679189176,570.1970798840956,0,1,5,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,2050,Chile,0.0,1.1609039285431779e-15,242.0250031104562,0,1,5,0,"NoCut,Lim",010
