scs,transmission_line,period,new_build_transmission_capacity_mw,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re19_c2p1_tn,Argentina_Uruguay_New,14245,3.347804064171,0,0,19,1,"NoCut,Full",001
prm15_wcost_re16_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0,1,0,16,1,"90%Cut,Full",101
prm15_wcost_re16_c2p1_tn,Argentina_Uruguay_New,14245,0.211500473902,0,0,16,1,"NoCut,Full",001
prm15_wcost_re17_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0487479985459,1,0,17,1,"90%Cut,Full",101
prm15_wcost_re17_c2p1_tn,Argentina_Uruguay_New,14245,0.3340628760958999,0,0,17,1,"NoCut,Full",001
prm15_wcost_re18_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.144612115931,1,0,18,1,"90%Cut,Full",101
prm15_wcost_re18_c2p1_tn,Argentina_Uruguay_New,14245,3.347804064166,0,0,18,1,"NoCut,Full",001
prm15_wcost_re19_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.147527022763,1,0,19,1,"90%Cut,Full",101
prm15_wcost_re1_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0,1,0,1,0,"90%Cut,Full",100
prm15_wcost_re1_c2p1_tn,Argentina_Uruguay_New,14245,0.0,0,0,1,0,"NoCut,Full",000
prm15_wcost_re20_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0,1,0,20,1,"90%Cut,Full",101
prm15_wcost_re20_c2p1_tn,Argentina_Uruguay_New,14245,0.00498470931255,0,0,20,1,"NoCut,Full",001
prm15_wcost_re2_c2p1_co2_cut90p_tn,Argentina_Uruguay_New,14245,0.0,1,0,2,0,"90%Cut,Full",100
prm15_wcost_re15_c2p1_tn,Argentina_Uruguay_New,14245,0.4520728718246,0,0,15,1,"NoCut,Full",001
prm15_wcost_re2_c2p1_tn,Argentina_Uruguay_New,14245,0.674446759161,0,0,2,0,"NoCut,Full",000
