type,period,load_zone,trade,Scenario,multiplier,trade_1
export,2020,Argentina,0.01269,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.01269
export,2020,Brazil,0.0226,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.0226
export,2020,Chile,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.0
export,2020,Paraguay,0.00027,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.00027
export,2020,Uruguay,0.05182,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.05182
export,2025,Argentina,0.00544,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.00544
export,2025,Brazil,0.06067,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.06067
export,2025,Chile,3e-05,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-3e-05
export,2025,Paraguay,0.00027,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.00027
export,2025,Uruguay,0.03057,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.03057
export,2030,Argentina,0.03102,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.03102
export,2030,Brazil,0.04911,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.04911
export,2030,Chile,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.0
export,2030,Paraguay,0.00028,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.00028
export,2030,Uruguay,0.005,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.005
export,2035,Argentina,0.03977,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.03977
export,2035,Brazil,0.04954,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.04954
export,2035,Chile,3e-05,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-3e-05
export,2035,Paraguay,0.00028,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.00028
export,2035,Uruguay,0.01237,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.01237
export,2040,Argentina,0.03375,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.03375
export,2040,Brazil,0.03407,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.03407
export,2040,Chile,1e-05,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-1e-05
export,2040,Paraguay,0.00027,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.00027
export,2040,Uruguay,0.01372,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.01372
export,2045,Argentina,0.0267,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.0267
export,2045,Brazil,0.03688,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.03688
export,2045,Chile,9e-05,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-9e-05
export,2045,Paraguay,0.00019,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.00019
export,2045,Uruguay,0.03506,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.03506
export,2050,Argentina,0.03502,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.03502
export,2050,Brazil,0.03388,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.03388
export,2050,Chile,0.0001,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.0001
export,2050,Paraguay,0.00011,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.00011
export,2050,Uruguay,0.03736,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,-1,-0.03736
import,2020,Argentina,0.04368,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.04368
import,2020,Brazil,0.03609,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.03609
import,2020,Chile,0.00021,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.00021
import,2020,Paraguay,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.0
import,2020,Uruguay,0.00739,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.00739
import,2025,Argentina,0.04592,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.04592
import,2025,Brazil,0.02377,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.02377
import,2025,Chile,0.00013,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.00013
import,2025,Paraguay,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.0
import,2025,Uruguay,0.02717,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.02717
import,2030,Argentina,0.01537,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.01537
import,2030,Brazil,0.02443,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.02443
import,2030,Chile,0.0001,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.0001
import,2030,Paraguay,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.0
import,2030,Uruguay,0.04552,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.04552
import,2035,Argentina,0.01855,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.01855
import,2035,Brazil,0.03048,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.03048
import,2035,Chile,0.00015,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.00015
import,2035,Paraguay,1e-05,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,1e-05
import,2035,Uruguay,0.05282,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.05282
import,2040,Argentina,0.01799,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.01799
import,2040,Brazil,0.02701,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.02701
import,2040,Chile,0.00015,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.00015
import,2040,Paraguay,1e-05,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,1e-05
import,2040,Uruguay,0.03667,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.03667
import,2045,Argentina,0.03045,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.03045
import,2045,Brazil,0.03913,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.03913
import,2045,Chile,0.00012,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.00012
import,2045,Paraguay,6e-05,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,6e-05
import,2045,Uruguay,0.02916,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.02916
import,2050,Argentina,0.02515,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.02515
import,2050,Brazil,0.04461,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.04461
import,2050,Chile,0.00014,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.00014
import,2050,Paraguay,7e-05,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,7e-05
import,2050,Uruguay,0.03651,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1,1,0.03651
export,2020,Argentina,0.04661,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.04661
export,2020,Brazil,0.00919,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.00919
export,2020,Chile,4e-05,prm15_fix_wcost_re1_c2p1_tnt1,-1,-4e-05
export,2020,Paraguay,0.00027,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.00027
export,2020,Uruguay,0.02265,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.02265
export,2025,Argentina,0.04898,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.04898
export,2025,Brazil,0.03928,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.03928
export,2025,Chile,4e-05,prm15_fix_wcost_re1_c2p1_tnt1,-1,-4e-05
export,2025,Paraguay,0.00027,prm15_fix_wcost_re1_c2p1_tnt1,-1,-0.00027
