lz_from,lz_to,period,net_flow_twh,scenario
Argentina,Brazil,2020,0.466840799999999,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Brazil,2025,0.4790717999999985,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Brazil,2030,0.41636159999999894,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Brazil,2035,0.5280159312329282,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Brazil,2040,0.4532447249999986,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Brazil,2045,0.5564996999999998,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Brazil,2050,0.5464745999999997,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Chile,2020,0.006447309000000004,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Chile,2025,0.005068272000000007,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Chile,2030,0.0032346600000000016,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Chile,2035,0.005396523000000013,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Chile,2040,0.004875675749999997,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Chile,2045,0.006401372999999987,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Chile,2050,0.007125343500000015,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Paraguay,2020,0.008348962500000017,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Paraguay,2025,0.008353857499999999,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Paraguay,2030,0.008648107499999981,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Paraguay,2035,0.008607207499999995,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Paraguay,2040,0.00858291749999997,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Paraguay,2045,0.007539962854517617,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Paraguay,2050,0.005583987500000009,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Uruguay,2020,1.3231294988164923,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Uruguay,2025,1.076706164698998,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Uruguay,2030,0.990627850357493,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Uruguay,2035,1.3960991695169132,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Uruguay,2040,1.2508730771286616,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Uruguay,2045,1.4851043337064538,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Uruguay,2050,1.6281778667754807,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Brazil,Paraguay,2020,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Brazil,Paraguay,2025,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Brazil,Paraguay,2030,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Brazil,Paraguay,2035,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Brazil,Paraguay,2040,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Brazil,Paraguay,2045,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Brazil,Paraguay,2050,0.0,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Brazil,Uruguay,2020,1.3256287652586065,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Brazil,Uruguay,2025,2.0845999768297894,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Brazil,Uruguay,2030,1.8280406506492666,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Brazil,Uruguay,2035,1.9193654420419521,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Brazil,Uruguay,2040,1.4182100190687472,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Brazil,Uruguay,2045,1.759549241826684,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Brazil,Uruguay,2050,1.8411585910704378,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
Argentina,Brazil,2020,0.4954470781344861,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Brazil,2025,0.41806799999999883,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Brazil,2030,0.47173765519563626,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Brazil,2035,0.5015986883775954,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Brazil,2040,0.5483231999999995,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Brazil,2045,0.49933529999999865,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Brazil,2050,0.47328773615799835,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Chile,2020,0.006981315,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Chile,2025,0.005153445000000012,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Chile,2030,0.0053314470000000004,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Chile,2035,0.005058702,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Chile,2040,0.004495028999999997,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Chile,2045,0.0027188370000000004,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Chile,2050,0.0034346730000000027,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Paraguay,2020,0.008348962500000017,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Paraguay,2025,0.008353857499999999,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Paraguay,2030,0.00863479749999998,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Paraguay,2035,0.008631387499999995,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Paraguay,2040,0.008631387499999971,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Paraguay,2045,0.008239814999999985,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Paraguay,2050,0.007886693690642986,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Uruguay,2020,1.5678710946154246,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Uruguay,2025,1.7207042871468392,prm15_fix_wcost_re1_c2p1_tnt1
Argentina,Uruguay,2030,1.6703422104204302,prm15_fix_wcost_re1_c2p1_tnt1
