period,load_zone,twh,technology,scs
2020,Argentina,3.634283984865761e-15,curt_hydro,prm15_wcost_re1_c2p1_t1
2020,Brazil,2.18448928858639,curt_hydro,prm15_wcost_re1_c2p1_t1
2020,Chile,3.3014657674357294e-16,curt_hydro,prm15_wcost_re1_c2p1_t1
2020,Paraguay,49.10986188724996,curt_hydro,prm15_wcost_re1_c2p1_t1
2020,Uruguay,4.288267518859357e-16,curt_hydro,prm15_wcost_re1_c2p1_t1
2025,Argentina,4.56219595434959e-15,curt_hydro,prm15_wcost_re1_c2p1_t1
2025,Brazil,4.260812342242828,curt_hydro,prm15_wcost_re1_c2p1_t1
2025,Chile,1.4722445484949277e-15,curt_hydro,prm15_wcost_re1_c2p1_t1
2025,Paraguay,44.55407170702399,curt_hydro,prm15_wcost_re1_c2p1_t1
2025,Uruguay,8.008100849110633e-16,curt_hydro,prm15_wcost_re1_c2p1_t1
2030,Argentina,2.7750388653657866e-15,curt_hydro,prm15_wcost_re1_c2p1_t1
2030,Brazil,2.129022700361721,curt_hydro,prm15_wcost_re1_c2p1_t1
2030,Chile,1.3333192327991129e-15,curt_hydro,prm15_wcost_re1_c2p1_t1
2030,Paraguay,37.01267850499998,curt_hydro,prm15_wcost_re1_c2p1_t1
2030,Uruguay,5.434230843093247e-16,curt_hydro,prm15_wcost_re1_c2p1_t1
2035,Argentina,5.0559947339934295e-15,curt_hydro,prm15_wcost_re1_c2p1_t1
2035,Brazil,0.33484068191749167,curt_hydro,prm15_wcost_re1_c2p1_t1
2035,Chile,1.2823875294998288e-15,curt_hydro,prm15_wcost_re1_c2p1_t1
2035,Paraguay,27.394047829999984,curt_hydro,prm15_wcost_re1_c2p1_t1
2035,Uruguay,6.107256922405213e-16,curt_hydro,prm15_wcost_re1_c2p1_t1
2040,Argentina,4.255014118825784e-15,curt_hydro,prm15_wcost_re1_c2p1_t1
2040,Brazil,0.4374250536951441,curt_hydro,prm15_wcost_re1_c2p1_t1
2040,Chile,3.7491645343834535e-15,curt_hydro,prm15_wcost_re1_c2p1_t1
2040,Paraguay,15.187947304999982,curt_hydro,prm15_wcost_re1_c2p1_t1
2040,Uruguay,1.457010512240231e-15,curt_hydro,prm15_wcost_re1_c2p1_t1
2045,Argentina,9.773344800123595e-15,curt_hydro,prm15_wcost_re1_c2p1_t1
2045,Brazil,-9.491031086751428e-16,curt_hydro,prm15_wcost_re1_c2p1_t1
2045,Chile,3.747572918655351e-15,curt_hydro,prm15_wcost_re1_c2p1_t1
2045,Paraguay,4.312080027254136,curt_hydro,prm15_wcost_re1_c2p1_t1
2045,Uruguay,6.261871021706612e-16,curt_hydro,prm15_wcost_re1_c2p1_t1
2050,Argentina,6.78173250889813e-15,curt_hydro,prm15_wcost_re1_c2p1_t1
2050,Brazil,1.5402065400849095e-14,curt_hydro,prm15_wcost_re1_c2p1_t1
2050,Chile,2.355136530240998e-15,curt_hydro,prm15_wcost_re1_c2p1_t1
2050,Paraguay,0.5185053346264257,curt_hydro,prm15_wcost_re1_c2p1_t1
2050,Uruguay,5.809397407574579e-16,curt_hydro,prm15_wcost_re1_c2p1_t1
2020,Argentina,3.634283984865761e-15,curt_hydro,prm15_wcost_re2_c2p1_t1
2020,Brazil,2.1844892885863905,curt_hydro,prm15_wcost_re2_c2p1_t1
2020,Chile,3.3014657674357294e-16,curt_hydro,prm15_wcost_re2_c2p1_t1
2020,Paraguay,49.10986188724997,curt_hydro,prm15_wcost_re2_c2p1_t1
2020,Uruguay,4.288267518859357e-16,curt_hydro,prm15_wcost_re2_c2p1_t1
2025,Argentina,3.82982534574694e-15,curt_hydro,prm15_wcost_re2_c2p1_t1
2025,Brazil,3.84047772725193,curt_hydro,prm15_wcost_re2_c2p1_t1
2025,Chile,1.4238139556255192e-15,curt_hydro,prm15_wcost_re2_c2p1_t1
2025,Paraguay,44.55625897582399,curt_hydro,prm15_wcost_re2_c2p1_t1
2025,Uruguay,0.0126745460000005,curt_hydro,prm15_wcost_re2_c2p1_t1
2030,Argentina,2.442106961098034e-15,curt_hydro,prm15_wcost_re2_c2p1_t1
2030,Brazil,1.0466649636251457,curt_hydro,prm15_wcost_re2_c2p1_t1
2030,Chile,8.795950634521433e-16,curt_hydro,prm15_wcost_re2_c2p1_t1
2030,Paraguay,37.01267850499998,curt_hydro,prm15_wcost_re2_c2p1_t1
2030,Uruguay,6.257323548197747e-16,curt_hydro,prm15_wcost_re2_c2p1_t1
2035,Argentina,4.376488504931331e-15,curt_hydro,prm15_wcost_re2_c2p1_t1
2035,Brazil,0.006224191900011137,curt_hydro,prm15_wcost_re2_c2p1_t1
2035,Chile,1.3137650967109949e-15,curt_hydro,prm15_wcost_re2_c2p1_t1
2035,Paraguay,27.394047829999984,curt_hydro,prm15_wcost_re2_c2p1_t1
2035,Uruguay,5.3682924772147095e-16,curt_hydro,prm15_wcost_re2_c2p1_t1
2040,Argentina,8.314344768223236e-15,curt_hydro,prm15_wcost_re2_c2p1_t1
2040,Brazil,0.17050095449467756,curt_hydro,prm15_wcost_re2_c2p1_t1
2040,Chile,1.8708306015469132e-15,curt_hydro,prm15_wcost_re2_c2p1_t1
2040,Paraguay,15.187947304999982,curt_hydro,prm15_wcost_re2_c2p1_t1
2040,Uruguay,7.389644451905042e-16,curt_hydro,prm15_wcost_re2_c2p1_t1
2045,Argentina,-1.1515186228231568e-14,curt_hydro,prm15_wcost_re2_c2p1_t1
2045,Brazil,1.6588018070251565e-14,curt_hydro,prm15_wcost_re2_c2p1_t1
2045,Chile,3.3647893360466694e-15,curt_hydro,prm15_wcost_re2_c2p1_t1
2045,Paraguay,4.301127202861224,curt_hydro,prm15_wcost_re2_c2p1_t1
2045,Uruguay,0.0012290949620622636,curt_hydro,prm15_wcost_re2_c2p1_t1
2050,Argentina,1.6658589174767255e-14,curt_hydro,prm15_wcost_re2_c2p1_t1
2050,Brazil,1.2498228601180017e-14,curt_hydro,prm15_wcost_re2_c2p1_t1
2050,Chile,2.1689174900529908e-15,curt_hydro,prm15_wcost_re2_c2p1_t1
2050,Paraguay,0.5116816589319437,curt_hydro,prm15_wcost_re2_c2p1_t1
2050,Uruguay,3.515197022352368e-16,curt_hydro,prm15_wcost_re2_c2p1_t1
2020,Argentina,3.634283984865761e-15,curt_hydro,prm15_wcost_re3_c2p1_t1
2020,Brazil,2.1844892885863905,curt_hydro,prm15_wcost_re3_c2p1_t1
2020,Chile,3.3014657674357294e-16,curt_hydro,prm15_wcost_re3_c2p1_t1
2020,Paraguay,49.10986188724997,curt_hydro,prm15_wcost_re3_c2p1_t1
2020,Uruguay,4.288267518859357e-16,curt_hydro,prm15_wcost_re3_c2p1_t1
