Latitude,Longitude,project,load_zone,biome
-40.25,-71.75,p_solar_Argentina_AR13,Argentina,Atacama/Andes
-40.75,-71.75,p_solar_Argentina_AR14,Argentina,Atacama/Andes
-41.25,-71.75,p_solar_Argentina_AR15,Argentina,Atacama/Andes
-39.25,-71.25,p_solar_Argentina_AR33,Argentina,Atacama/Andes
-39.75,-71.25,p_solar_Argentina_AR34,Argentina,Atacama/Andes
-40.25,-71.25,p_solar_Argentina_AR35,Argentina,Atacama/Andes
-40.75,-71.25,p_solar_Argentina_AR36,Argentina,Atacama/Andes
-41.25,-71.25,p_solar_Argentina_AR37,Argentina,Atacama/Andes
-36.75,-70.75,p_solar_Argentina_AR58,Argentina,Atacama/Andes
-37.25,-70.75,p_solar_Argentina_AR59,Argentina,Monte Desert
-37.75,-70.75,p_solar_Argentina_AR60,Argentina,Monte Desert
-38.25,-70.75,p_solar_Argentina_AR61,Argentina,Atacama/Andes
-38.75,-70.75,p_solar_Argentina_AR62,Argentina,Atacama/Andes
-39.25,-70.75,p_solar_Argentina_AR63,Argentina,Atacama/Andes
-39.75,-70.75,p_solar_Argentina_AR64,Argentina,Monte Desert
-40.25,-70.75,p_solar_Argentina_AR65,Argentina,Monte Desert
-40.75,-70.75,p_solar_Argentina_AR66,Argentina,Monte Desert
-41.25,-70.75,p_solar_Argentina_AR67,Argentina,Monte Desert
-30.75,-70.25,p_solar_Argentina_AR89,Argentina,Atacama/Andes
-31.25,-70.25,p_solar_Argentina_AR90,Argentina,Atacama/Andes
-31.75,-70.25,p_solar_Argentina_AR91,Argentina,Atacama/Andes
-32.25,-70.25,p_solar_Argentina_AR92,Argentina,Atacama/Andes
-34.75,-70.25,p_solar_Argentina_AR93,Argentina,Atacama/Andes
-35.25,-70.25,p_solar_Argentina_AR94,Argentina,Atacama/Andes
-35.75,-70.25,p_solar_Argentina_AR95,Argentina,Atacama/Andes
-36.25,-70.25,p_solar_Argentina_AR96,Argentina,Atacama/Andes
-36.75,-70.25,p_solar_Argentina_AR97,Argentina,Monte Desert
-37.25,-70.25,p_solar_Argentina_AR98,Argentina,Monte Desert
-37.75,-70.25,p_solar_Argentina_AR99,Argentina,Monte Desert
-38.25,-70.25,p_solar_Argentina_AR100,Argentina,Monte Desert
-38.75,-70.25,p_solar_Argentina_AR101,Argentina,Monte Desert
-39.25,-70.25,p_solar_Argentina_AR102,Argentina,Monte Desert
-39.75,-70.25,p_solar_Argentina_AR103,Argentina,Monte Desert
-40.25,-70.25,p_solar_Argentina_AR104,Argentina,Monte Desert
-40.75,-70.25,p_solar_Argentina_AR105,Argentina,Monte Desert
-41.25,-70.25,p_solar_Argentina_AR106,Argentina,Monte Desert
-41.75,-70.25,p_solar_Argentina_AR107,Argentina,Monte Desert
-29.25,-69.75,p_solar_Argentina_AR128,Argentina,Atacama/Andes
-29.75,-69.75,p_solar_Argentina_AR129,Argentina,Atacama/Andes
-30.25,-69.75,p_solar_Argentina_AR130,Argentina,Atacama/Andes
-30.75,-69.75,p_solar_Argentina_AR131,Argentina,Atacama/Andes
-31.25,-69.75,p_solar_Argentina_AR132,Argentina,Atacama/Andes
-31.75,-69.75,p_solar_Argentina_AR133,Argentina,Atacama/Andes
-32.25,-69.75,p_solar_Argentina_AR134,Argentina,Atacama/Andes
-32.75,-69.75,p_solar_Argentina_AR135,Argentina,Atacama/Andes
-33.25,-69.75,p_solar_Argentina_AR136,Argentina,Atacama/Andes
-33.75,-69.75,p_solar_Argentina_AR137,Argentina,Atacama/Andes
-34.25,-69.75,p_solar_Argentina_AR138,Argentina,Atacama/Andes
-34.75,-69.75,p_solar_Argentina_AR139,Argentina,Atacama/Andes
-35.25,-69.75,p_solar_Argentina_AR140,Argentina,Atacama/Andes
-35.75,-69.75,p_solar_Argentina_AR141,Argentina,Atacama/Andes
-36.25,-69.75,p_solar_Argentina_AR142,Argentina,Monte Desert
-36.75,-69.75,p_solar_Argentina_AR143,Argentina,Monte Desert
-37.25,-69.75,p_solar_Argentina_AR144,Argentina,Monte Desert
-37.75,-69.75,p_solar_Argentina_AR145,Argentina,Monte Desert
-38.25,-69.75,p_solar_Argentina_AR146,Argentina,Monte Desert
-38.75,-69.75,p_solar_Argentina_AR147,Argentina,Monte Desert
-39.25,-69.75,p_solar_Argentina_AR148,Argentina,Monte Desert
-39.75,-69.75,p_solar_Argentina_AR149,Argentina,Monte Desert
-40.25,-69.75,p_solar_Argentina_AR150,Argentina,Monte Desert
-40.75,-69.75,p_solar_Argentina_AR151,Argentina,Monte Desert
-41.25,-69.75,p_solar_Argentina_AR152,Argentina,Monte Desert
-41.75,-69.75,p_solar_Argentina_AR153,Argentina,Monte Desert
-28.25,-69.25,p_solar_Argentina_AR174,Argentina,Atacama/Andes
-28.75,-69.25,p_solar_Argentina_AR175,Argentina,Atacama/Andes
-29.25,-69.25,p_solar_Argentina_AR176,Argentina,Atacama/Andes
-29.75,-69.25,p_solar_Argentina_AR177,Argentina,Atacama/Andes
-30.25,-69.25,p_solar_Argentina_AR178,Argentina,Atacama/Andes
-30.75,-69.25,p_solar_Argentina_AR179,Argentina,Atacama/Andes
-31.25,-69.25,p_solar_Argentina_AR180,Argentina,Atacama/Andes
-31.75,-69.25,p_solar_Argentina_AR181,Argentina,Atacama/Andes
-32.25,-69.25,p_solar_Argentina_AR182,Argentina,Atacama/Andes
