scs_id_x,costs_per_mwh_x,MtCO2_x,scs_id_y,costs_per_mwh_y,MtCO2_y,load_zone,Solar PV,cost_diff,emis_diff
prm15_wcost_re1_c2p1_co2_cut90p_t1,41.86493037225621,10.183971,prm15_wcost_re1_c2p1_t1,35.78838416199559,258.3125540794984,Region Wide,Single Axis,6.076546210260624,-248.1285830794984
prm15_wcost_re2_c2p1_co2_cut90p_t1,45.37413875963381,10.183970999999923,prm15_wcost_re2_c2p1_t1,36.447346972429216,323.42254907924064,Region Wide,Single Axis,8.926791787204593,-313.2385780792407
prm15_wcost_re3_c2p1_co2_cut90p_t1,48.406521648993454,10.18397099999999,prm15_wcost_re3_c2p1_t1,36.925750140675525,363.63668395735607,Region Wide,Single Axis,11.480771508317929,-353.4527129573561
prm15_wcost_re4_c2p1_co2_cut90p_t1,46.22043150464179,10.183970999999945,prm15_wcost_re4_c2p1_t1,36.60830871115756,328.36172459936006,Region Wide,Single Axis,9.612122793484225,-318.17775359936013
prm15_wcost_re5_c2p1_co2_cut90p_t1,44.66555427974789,10.183970999999914,prm15_wcost_re5_c2p1_t1,36.32388542000987,323.7997672053944,Region Wide,Single Axis,8.341668859738014,-313.6157962053945
prm15_wcost_re6_c2p1_co2_cut90p_t1,42.71269801273825,10.18397099999993,prm15_wcost_re6_c2p1_t1,36.00330881765547,288.46449373959433,Region Wide,Single Axis,6.709389195082778,-278.2805227395944
prm15_wcost_re7_c2p1_co2_cut90p_t1,44.218321434047965,10.18397099999996,prm15_wcost_re7_c2p1_t1,36.24130119187632,315.6756011888108,Region Wide,Single Axis,7.977020242171648,-305.4916301888108
prm15_wcost_re8_c2p1_co2_cut90p_t1,47.56337777964705,10.183970999999987,prm15_wcost_re8_c2p1_t1,36.79245930106667,345.3889836562808,Region Wide,Single Axis,10.770918478580377,-335.2050126562808
prm15_wcost_re9_c2p1_co2_cut90p_t1,47.58020232186429,10.183970999999984,prm15_wcost_re9_c2p1_t1,36.84502458402959,347.259685994756,Region Wide,Single Axis,10.735177737834704,-337.075714994756
prm15_wcost_re10_c2p1_co2_cut90p_t1,41.47326450089248,10.18397099999992,prm15_wcost_re10_c2p1_t1,35.67654242067189,243.80240888649735,Region Wide,Single Axis,5.79672208022059,-233.61843788649742
prm15_wcost_re11_c2p1_co2_cut90p_t1,43.78408097660768,10.183970999999952,prm15_wcost_re11_c2p1_t1,36.54126341744677,332.5419676695961,Region Wide,Fixed,7.242817559160912,-322.35799666959616
prm15_wcost_re12_c2p1_co2_cut90p_t1,47.89837474537223,10.183970999999923,prm15_wcost_re12_c2p1_t1,37.54650742809729,368.5405912489497,Region Wide,Fixed,10.351867317274937,-358.35662024894975
prm15_wcost_re13_c2p1_co2_cut90p_t1,51.29026053780642,10.183971,prm15_wcost_re13_c2p1_t1,38.26555760806834,405.80097191238576,Region Wide,Fixed,13.024702929738076,-395.6170009123858
prm15_wcost_re14_c2p1_co2_cut90p_t1,48.83036386654236,10.183970999999936,prm15_wcost_re14_c2p1_t1,37.8191350424155,367.37777155999305,Region Wide,Fixed,11.01122882412686,-357.1938005599931
prm15_wcost_re15_c2p1_co2_cut90p_t1,47.13644144406572,10.183970999999966,prm15_wcost_re15_c2p1_t1,37.37318133695892,358.9367835678187,Region Wide,Fixed,9.763260107106795,-348.7528125678187
prm15_wcost_re16_c2p1_co2_cut90p_t1,44.80931820724755,10.183971000000026,prm15_wcost_re16_c2p1_t1,36.85896493953428,328.4442494736239,Region Wide,Fixed,7.950353267713268,-318.2602784736239
prm15_wcost_re17_c2p1_co2_cut90p_t1,46.65399472244781,10.183971,prm15_wcost_re17_c2p1_t1,37.2367656042184,342.8485134019922,Region Wide,Fixed,9.417229118229415,-332.6645424019922
prm15_wcost_re18_c2p1_co2_cut90p_t1,50.317268868252725,10.183970999999955,prm15_wcost_re18_c2p1_t1,38.08115728472691,394.15396668796336,Region Wide,Fixed,12.236111583525812,-383.96999568796343
