index,period,load_zone,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,sc_name
0,2020,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.654,0.0,,,11.31,0.0,1.755,0.0,0.439,0.0,1.609,0.0,prm15_wcost_re1_c2p1_t1
1,2020,Brazil,0.0,14.0261,0.0,5.856,0.0,4.297,0.0,16.145,0.0,,,104.603,0.0,1.99,0.0,2.074,0.0,1.487,0.0,prm15_wcost_re1_c2p1_t1
2,2020,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,0.0,0.04,0.0,6.949,0.0,,,3.258,0.0,2.507,0.0,prm15_wcost_re1_c2p1_t1
3,2020,Paraguay,0.0,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re1_c2p1_t1
4,2020,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,0.0,1.514,0.0,prm15_wcost_re1_c2p1_t1
10,2030,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.2543,0.0,,,11.31,0.8,1.755,0.0,0.439,5.089910608246093,1.609,1.3577452087162036,prm15_wcost_re1_c2p1_t1
11,2030,Brazil,0.0,13.3007,0.0,5.856,0.0,4.297,0.0,16.115,9.076174951707209,,,104.603,12.331,1.99,0.0,2.074,36.62487750949521,1.487,25.089,prm15_wcost_re1_c2p1_t1
12,2030,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,2.513846897203204,0.04,0.0,6.949,0.275,,,3.258,2.3917527127174703,2.507,0.0,prm15_wcost_re1_c2p1_t1
13,2030,Paraguay,0.5082599999999998,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re1_c2p1_t1
14,2030,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,0.5899302899710651,1.514,0.0,prm15_wcost_re1_c2p1_t1
20,2040,Argentina,0.0,0.046,0.0,2.9764,0.0,1.663,0.0,18.2543,17.240836269893755,,,11.31,2.058,1.755,0.0,0.439,5.089910608246093,1.609,1.3577452087162036,prm15_wcost_re1_c2p1_t1
21,2040,Brazil,0.0,12.7812,0.0,5.604,0.0,4.297,0.0,16.0133,33.36462467162091,,,104.603,45.751,1.99,0.0,2.074,56.544548646003285,1.487,30.162,prm15_wcost_re1_c2p1_t1
22,2040,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,9.9534103269053,0.04,0.0,6.949,0.575,,,3.258,2.3917527127174703,2.507,0.0,prm15_wcost_re1_c2p1_t1
23,2040,Paraguay,0.0,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re1_c2p1_t1
24,2040,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,1.9465638063655923,1.514,1.756684643923385,prm15_wcost_re1_c2p1_t1
30,2050,Argentina,0.0,0.046,0.0,0.9942000000000001,0.0,1.663,0.0,16.346799999999998,50.04394665759126,,,11.236,2.11,1.755,0.0,0.0,5.089910608246093,0.0,8.991,prm15_wcost_re1_c2p1_t1
31,2050,Brazil,0.0,11.802200000000001,0.0,4.896,0.0,4.297,0.0,15.9643,68.31218102855892,,,104.603,50.635,1.99,0.0,0.0,115.5618,0.0,80.235,prm15_wcost_re1_c2p1_t1
32,2050,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,34.58,0.04,0.0,6.949,0.575,,,0.0,6.566879393697939,0.0,0.0,prm15_wcost_re1_c2p1_t1
33,2050,Paraguay,3.5519502023542993,0.022,0.0,,0.0,0.025,0.125,,2.7854300336971445,,,8.81,,,,,3.8726410921516163,,1.8809891765592095,prm15_wcost_re1_c2p1_t1
34,2050,Uruguay,0.04428336755796367,0.425,0.0,,0.0,0.084,0.0,1.106,5.53,,,1.538,,,,0.0,3.1726100433480378,0.0,6.634680505363126,prm15_wcost_re1_c2p1_t1
0,2020,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.654,0.0,,,11.31,0.0,1.755,0.0,0.439,0.0,1.609,0.0,prm15_wcost_re2_c2p1_t1
1,2020,Brazil,0.0,14.0261,0.0,5.856,0.0,4.297,0.0,16.145,0.0,,,104.603,0.0,1.99,0.0,2.074,0.0,1.487,0.0,prm15_wcost_re2_c2p1_t1
2,2020,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,0.0,0.04,0.0,6.949,0.0,,,3.258,0.0,2.507,0.0,prm15_wcost_re2_c2p1_t1
3,2020,Paraguay,0.0,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re2_c2p1_t1
4,2020,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,0.0,1.514,0.0,prm15_wcost_re2_c2p1_t1
10,2030,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.2543,0.0745510117753386,,,11.31,0.8,1.755,0.0,0.439,7.012020883884406,1.609,0.0,prm15_wcost_re2_c2p1_t1
11,2030,Brazil,0.0,13.3007,0.0,5.856,0.0,4.297,0.0,16.115,13.212945618238377,,,104.603,11.585,1.99,0.0,2.074,68.83238790874367,1.487,4.929,prm15_wcost_re2_c2p1_t1
12,2030,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,1.7382433699862188,0.04,0.0,6.949,0.275,,,3.258,2.8108987371979963,2.507,0.0,prm15_wcost_re2_c2p1_t1
13,2030,Paraguay,0.5082599999999998,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re2_c2p1_t1
14,2030,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,0.589930289971065,1.514,0.0,prm15_wcost_re2_c2p1_t1
20,2040,Argentina,0.0,0.046,0.0,2.9764,0.0,1.663,0.0,18.2543,16.861145380452495,,,11.31,1.171,1.755,0.0,0.439,7.012020883884406,1.609,0.0,prm15_wcost_re2_c2p1_t1
21,2040,Brazil,0.0,12.7812,0.0,5.604,0.0,4.297,0.0,16.0133,46.305367488141194,,,104.603,38.096,1.99,0.0,2.074,78.76336796439541,1.487,4.929,prm15_wcost_re2_c2p1_t1
22,2040,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,9.338358323905645,0.04,0.0,6.949,0.575,,,3.258,2.8108987371979963,2.507,0.0,prm15_wcost_re2_c2p1_t1
23,2040,Paraguay,0.0,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re2_c2p1_t1
