,scenario,technology,biome,new_build_mw,sc_group
0,prm15_wcost_re10_c2p1_co2_cut90p_t1,SolarPV,Atacama/Andes,50187.15458116096,3.0
1,prm15_wcost_re10_c2p1_co2_cut90p_t1,SolarPV,Caatinga,57525.73972533734,3.0
2,prm15_wcost_re10_c2p1_co2_cut90p_t1,SolarPV,Cerrado,83302.5,3.0
3,prm15_wcost_re10_c2p1_co2_cut90p_t1,SolarPV,Gran Chaco,8505.4,3.0
4,prm15_wcost_re10_c2p1_co2_cut90p_t1,SolarPV,Monte Desert,799.0,3.0
5,prm15_wcost_re10_c2p1_co2_cut90p_t1,SolarPV,Pampas,4518.7815852447275,3.0
6,prm15_wcost_re10_c2p1_co2_cut90p_t1,Wind,Caatinga,131303.0143177098,3.0
7,prm15_wcost_re10_c2p1_co2_cut90p_t1,Wind,Coastal,3846.0,3.0
8,prm15_wcost_re10_c2p1_co2_cut90p_t1,Wind,Gran Chaco,3306.0138696280374,3.0
9,prm15_wcost_re10_c2p1_co2_cut90p_t1,Wind,Pampas,70417.50183460637,3.0
10,prm15_wcost_re10_c2p1_co2_cut90p_t1,Wind,Patagonia,64587.191368244356,3.0
11,prm15_wcost_re10_c2p1_t1,SolarPV,Atacama/Andes,14330.051946083977,1.0
12,prm15_wcost_re10_c2p1_t1,SolarPV,Caatinga,53473.8,1.0
13,prm15_wcost_re10_c2p1_t1,SolarPV,Cerrado,62980.4,1.0
14,prm15_wcost_re10_c2p1_t1,SolarPV,Gran Chaco,3554.8663669040743,1.0
15,prm15_wcost_re10_c2p1_t1,SolarPV,Monte Desert,0.0,1.0
16,prm15_wcost_re10_c2p1_t1,SolarPV,Pampas,4574.916552191111,1.0
17,prm15_wcost_re10_c2p1_t1,Wind,Caatinga,91470.58526873906,1.0
18,prm15_wcost_re10_c2p1_t1,Wind,Coastal,0.0,1.0
19,prm15_wcost_re10_c2p1_t1,Wind,Gran Chaco,1940.373831368368,1.0
20,prm15_wcost_re10_c2p1_t1,Wind,Pampas,18334.528344446535,1.0
21,prm15_wcost_re10_c2p1_t1,Wind,Patagonia,12750.0,1.0
22,prm15_wcost_re11_c2p1_co2_cut90p_t1,SolarPV,Atacama/Andes,27688.685324275888,4.0
23,prm15_wcost_re11_c2p1_co2_cut90p_t1,SolarPV,Caatinga,48773.4,4.0
24,prm15_wcost_re11_c2p1_co2_cut90p_t1,SolarPV,Cerrado,80184.18481820045,4.0
25,prm15_wcost_re11_c2p1_co2_cut90p_t1,SolarPV,Gran Chaco,6735.0,4.0
26,prm15_wcost_re11_c2p1_co2_cut90p_t1,SolarPV,Monte Desert,139.7,4.0
27,prm15_wcost_re11_c2p1_co2_cut90p_t1,SolarPV,Pampas,4965.738288763258,4.0
28,prm15_wcost_re11_c2p1_co2_cut90p_t1,Wind,Caatinga,171020.16874742674,4.0
29,prm15_wcost_re11_c2p1_co2_cut90p_t1,Wind,Coastal,5466.0,4.0
30,prm15_wcost_re11_c2p1_co2_cut90p_t1,Wind,Gran Chaco,4282.587154236233,4.0
31,prm15_wcost_re11_c2p1_co2_cut90p_t1,Wind,Pampas,59526.7752484686,4.0
32,prm15_wcost_re11_c2p1_co2_cut90p_t1,Wind,Patagonia,83047.75759467491,4.0
33,prm15_wcost_re11_c2p1_t1,SolarPV,Atacama/Andes,0.0,2.0
34,prm15_wcost_re11_c2p1_t1,SolarPV,Caatinga,17843.9,2.0
35,prm15_wcost_re11_c2p1_t1,SolarPV,Cerrado,5991.991347964264,2.0
36,prm15_wcost_re11_c2p1_t1,SolarPV,Gran Chaco,3608.8991262330733,2.0
37,prm15_wcost_re11_c2p1_t1,SolarPV,Monte Desert,0.0,2.0
38,prm15_wcost_re11_c2p1_t1,SolarPV,Pampas,2609.0134007682786,2.0
