scenario,SolarPV Atacama/Andes,SolarPV Caatinga,SolarPV Cerrado,SolarPV Gran Chaco,SolarPV Monte Desert,SolarPV Pampas,Wind Caatinga,Wind Coastal,Wind Gran Chaco,Wind Pampas,Wind Patagonia,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re17_c2p1_t1,0.0,36654.721138932255,43206.0,2577.870703893069,0.0,3990.8046940770637,83951.70331945544,0.0,144.51832886240393,18557.8491405141,5921.185416290466,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re2_c2p1_t1,16445.40649516603,70172.03787412464,76565.6,6374.395324876188,0.0,5409.0016101593155,46864.76602213746,0.0,0.0,14490.093530784887,0.0,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re14_c2p1_t1,501.9,42539.3,54737.2,2488.6233168875924,0.0,4353.407936072067,61936.44998883454,0.0,0.0,15483.452130441041,5769.0322771278625,0,1,14,1,"NoCut,Lim",011
prm15_wcost_re3_c2p1_t1,16453.276903846472,75246.70882745562,79938.4,6374.395324876188,0.0,6020.990888917156,23871.0,0.0,0.0,10919.921787464456,0.0,0,1,3,0,"NoCut,Lim",010
prm15_wcost_re18_c2p1_t1,1361.824595719103,45012.8,63170.4,2488.623316887592,0.0,5028.820595912104,44838.0,0.0,0.0,15631.999729802756,1452.0,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re13_c2p1_t1,1878.8,46394.7,66684.8,2488.6233168875924,0.0,5357.920732272492,36727.678027807466,0.0,0.0,13526.872733686067,585.0,0,1,13,1,"NoCut,Lim",011
prm15_wcost_re4_c2p1_t1,16567.69621737472,72547.05894940697,78156.8,6374.395324876188,0.0,5517.386027475342,42781.09642138583,0.0,0.0,13462.161585355636,0.0,0,1,4,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,14660.5163871805,55340.5,67866.8,3872.6410921516162,0.0,4572.910043348038,85215.02117067453,0.0,1880.9891765592095,17629.680505363125,8991.0,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re5_c2p1_t1,15883.266297753371,67706.5,73527.89867398652,6198.267052270434,0.0,5155.241805602406,49913.10934414305,0.0,48.83068719731842,14562.635064140195,0.0,0,1,5,0,"NoCut,Lim",010
prm15_wcost_re15_c2p1_t1,0.0,36926.8,44714.9,2576.645513732091,0.0,4052.5550490432015,75042.74452452584,0.0,144.35510258146323,17033.40336842105,5931.463456174226,0,1,15,1,"NoCut,Lim",011
prm15_wcost_re12_c2p1_t1,239.0,38296.0,49829.64347734699,2571.0460592699355,0.0,4336.339829085287,67597.11505691762,0.0,114.97840163601856,15565.403284671533,5851.4430192310265,0,1,12,1,"NoCut,Lim",011
prm15_wcost_re6_c2p1_t1,15583.65254046558,56615.470739384,69883.8,3841.6,0.0,4756.395760393116,74304.0,0.0,1809.3780187943678,14572.20628628062,3258.0,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re16_c2p1_t1,0.0,28148.7,25591.4,3700.5,0.0,3050.115863163657,101144.75594903443,0.0,1840.7077973988767,19386.189917907082,8318.068708627894,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,0.0,17843.9,5991.991347964264,3608.8991262330733,0.0,2609.0134007682786,111093.15317070717,0.0,1866.690411221058,20817.057904188354,7973.857284734425,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re7_c2p1_t1,15641.466297753372,66362.7,72831.5,5739.6,0.0,5094.442012828936,56488.480640774615,0.0,337.86308518802696,14503.20448162634,0.0,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re19_c2p1_t1,1868.3083106052807,45012.8,63170.4,2488.623316887591,0.0,5253.395773447498,39735.0,0.0,0.0,15498.227203482047,1491.7352227069246,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re8_c2p1_t1,16453.276903846472,75246.70882745551,79787.6,6374.395324876189,0.0,5696.6594494721985,33714.0,0.0,0.0,11569.809280838828,0.0,0,1,8,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,14330.051946083977,53117.2,63337.0,3554.8663669040743,0.0,4574.916552191111,91470.58526873906,0.0,1940.373831368368,18334.528344446535,12750.0,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,16445.582699668452,75246.7088274554,79787.6,6374.395324876188,0.0,5906.6100083079,33714.0,0.0,0.0,10989.338202561741,0.0,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re20_c2p1_t1,0.0,15729.0,2432.4,3563.3164188517276,0.0,2463.6679151903427,116774.01126036358,0.0,1840.3347537687443,25720.921896415075,12750.0,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re1_c2p1_tn,14976.2095231,47437.1,64457.2,5465.80000003,0.0,4628.3986566,83404.70547862,0.0,4232.687901,17541.85082897,8991.0,0,0,1,0,"NoCut,Full",000
prm15_wcost_re18_c2p1_tn,373.4,44862.05152909,63170.39999998,5376.49349213,0.0,3372.0207814670002,42414.0,0.0,5592.0,7914.0,584.99999996,0,0,18,1,"NoCut,Full",001
prm15_wcost_re19_c2p1_tn,501.9,45012.8,63170.39999999,5011.3,0.0,3372.0207815,39735.0,0.0,5659.78078323,7914.0,0.0,0,0,19,1,"NoCut,Full",001
prm15_wcost_re2_c2p1_tn,12765.8126471,51887.70000004,69969.799999933,6203.8,0.0,5159.90000001,50751.722905,0.0,3724.9567079999997,13338.00000003,0.0,0,0,2,0,"NoCut,Full",000
prm15_wcost_re4_c2p1_tn,13576.8449822,56481.36264081,72152.70000003,6986.9000299,0.0,4942.5729781,42198.7087036,0.0,2238.381144,9715.7014637,0.0,0,0,4,0,"NoCut,Full",000
prm15_wcost_re5_c2p1_tn,13595.324991450001,48296.203926011,66831.1,5779.800000037,0.0,4934.945934319,53674.71062014,0.0,3564.5263092,13996.85757823,0.0,0,0,5,0,"NoCut,Full",000
prm15_wcost_re6_c2p1_tn,12223.7929061,43442.09999998,58522.2,4857.2,0.0,4598.18357732,71382.0,0.0,4574.7564887,14628.716052,3054.0,0,0,6,0,"NoCut,Full",000
prm15_wcost_re7_c2p1_tn,12677.85110781,46294.7,65224.399999993,5779.80000003,0.0,4805.06270538,57711.065662,0.0,3962.755538,14137.59287861,0.0,0,0,7,0,"NoCut,Full",000
prm15_wcost_re8_c2p1_tn,13790.08538043,60417.45679369,75530.50000004,7852.8,0.0,4630.562587835,33714.0,0.0,683.6958863,6891.0,0.0,0,0,8,0,"NoCut,Full",000
prm15_wcost_re20_c2p1_tn,0.0,14437.2,1288.2,0.0,0.0,2009.16848382,110901.0000013,0.0,10031.5433062,24236.8449403,12812.65172622,0,0,20,1,"NoCut,Full",001
