scenario,technology,load_zone,new_build_mw,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re9_c2p1_t1,Wind,Uruguay,6273.338202561742,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,SolarPV,Argentina,5750.7500894271225,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,SolarPV,Brazil,124607.6,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,SolarPV,Chile,8909.766297753378,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,SolarPV,Paraguay,3872.6410921516162,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,SolarPV,Uruguay,3172.610043348038,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,Wind,Argentina,8991.0,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,Wind,Brazil,96210.02117067453,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,Wind,Chile,0.0,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,Wind,Paraguay,1880.9891765592095,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_t1,Wind,Uruguay,6634.680505363126,0,1,1,0,"NoCut,Lim",010
prm15_wcost_re20_c2p1_t1,SolarPV,Argentina,0.0,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,SolarPV,Brazil,18161.4,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,SolarPV,Chile,0.0,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,SolarPV,Paraguay,3563.3164188517276,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,SolarPV,Uruguay,2463.6679151903427,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,Wind,Argentina,12750.0,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,Wind,Brazil,135311.0112603636,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,Wind,Chile,0.0,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,Wind,Paraguay,1840.3347537687443,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re20_c2p1_t1,Wind,Uruguay,7183.921896415075,0,1,20,1,"NoCut,Lim",011
prm15_wcost_re2_c2p1_t1,SolarPV,Argentina,7763.54019741265,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,SolarPV,Brazil,148137.93787412465,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,SolarPV,Chile,8909.76629775338,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,SolarPV,Paraguay,6146.4953248761885,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,SolarPV,Uruguay,4008.7016101593154,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,Wind,Argentina,0.0,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,Wind,Brazil,54778.76602213746,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,Wind,Chile,0.0,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re2_c2p1_t1,Wind,Paraguay,0.0,0,1,2,0,"NoCut,Lim",010
prm15_wcost_re9_c2p1_t1,Wind,Chile,0.0,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re19_c2p1_t1,Wind,Paraguay,0.0,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,Wind,Chile,0.0,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,Wind,Brazil,47649.0,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,Wind,Brazil,113201.75594903443,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,Wind,Chile,0.0,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,Wind,Paraguay,1840.7077973988767,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re16_c2p1_t1,Wind,Uruguay,7329.189917907082,0,1,16,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,SolarPV,Argentina,0.0,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,SolarPV,Brazil,80845.52113893225,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,SolarPV,Chile,0.0,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,SolarPV,Paraguay,2577.870703893069,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,SolarPV,Uruguay,3006.004694077064,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,Wind,Argentina,5921.185416290466,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,Wind,Brazil,94946.70331945544,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,Wind,Chile,0.0,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,Wind,Paraguay,144.51832886240393,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re17_c2p1_t1,Wind,Uruguay,7562.849140514099,0,1,17,1,"NoCut,Lim",011
prm15_wcost_re2_c2p1_t1,Wind,Uruguay,6576.093530784888,0,1,2,0,"NoCut,Lim",010
