sc_id,turbine_name,pv_type,cap_cost_usdkw,cap_mw,hub_ht_m,cutin_speed_ms,rated_speed_ms,cutout_speed_ms,rotor_dia_m,2050 wind gen share,2050 solar gen share,2050 fossil gen share,2050 hydro gen share,costs_per_mwh,total trade,total curtailment,total tx loss,unmet demand mwh
prm15_wcost_re1_c2p1_t1,Vestas V90 2000,1axis,1575.0,2.0,100,4.0,13.0,25,90,0.17359215148394017,0.13940047866821054,0.2779912227638621,0.35828845774180745,885.3917574609331,23.67020070380512,205.09871840529803,0.49747295732534763,20407560.635000013
prm15_wcost_re2_c2p1_t1,Vestas V164 7000,1axis,1575.0,7.0,100,4.0,11.0,25,164,0.08714952597636907,0.15515638780937324,0.34601420652716985,0.3586599250190217,891.4505229913362,24.79525439632712,200.37369714070888,0.5576167071769231,20407560.635000013
prm15_wcost_re3_c2p1_t1,Vestas V90 3000,1axis,1575.0,3.0,100,4.0,15.0,25,90,0.04712029062716057,0.1581396900867984,0.38061342171112644,0.36108532509963553,861.1900685139499,26.658561486677552,201.4335606637866,0.6089769730550609,20407560.635000013
prm15_wcost_re4_c2p1_t1,Siemens SWT 3.6 107,1axis,1263.684211,3.6,90,3.0,13.0,25,107,0.07917665233530569,0.15674752186082366,0.3499854564150848,0.36104053478661763,885.9893705736426,25.30169180854108,200.77385181543102,0.5667779938433564,20407560.635000013
prm15_wcost_re5_c2p1_t1,Siemens SWT 2.3 93,1axis,1263.684211,2.3,80,4.0,14.0,25,93,0.09106240872160418,0.1507746713084627,0.3464813510692268,0.35864359751781916,886.5093874461453,24.333408706845102,200.94583182463325,0.5349554951445941,20407560.635000013
prm15_wcost_re6_c2p1_t1,GE 2.5xl,1axis,1645.0,2.5,100,3.0,13.0,25,100,0.1367005645425547,0.14330024009583597,0.3097704397925584,0.35828084798374954,880.0134642978475,23.766438682364555,200.81788000449967,0.5045754555767419,20407560.635000013
prm15_wcost_re7_c2p1_t1,GE 1.5sle,1axis,1528.947368,1.5,80,3.5,12.0,25,77,0.0998424817790756,0.1491576409308943,0.33954816539325033,0.35861344226727065,892.3080795189655,24.375451983672004,200.74514154396357,0.5186488586139548,20407560.635000013
prm15_wcost_re8_c2p1_t1,Gamesa G80 2000,1axis,1263.684211,2.0,80,3.5,12.0,25,80,0.06329042824483497,0.157643871584994,0.3649348431666063,0.3610597254563307,878.6614567922327,25.837261428381495,199.3819845856554,0.5704132225455258,20407560.635000013
prm15_wcost_re9_c2p1_t1,Enercon E126 7000,1axis,3684.210526,7.0,135,3.0,16.5,34,126,0.06138732589155006,0.15786680273133627,0.3666084447626307,0.36107330186789766,877.7474959465134,26.109628401461045,199.1325283413503,0.5797739341301602,20407560.635000013
prm15_wcost_re10_c2p1_t1,Enercon E101 3000,1axis,1786.842105,3.05,135,2.0,13.0,25,101,0.19486181777695422,0.13375862720800966,0.26261833893727904,0.3582506783492399,868.4959894828694,23.772054729165085,204.3615113876702,0.5114593159997961,20407560.635000013
prm15_wcost_re11_c2p1_t1,Vestas V90 2000,fixed,1575.0,2.0,100,4.0,13.0,25,90,0.21038435572558525,0.024512486445111625,0.35289348236975443,0.3583689533300755,875.8052730335315,24.319198558756344,192.2194759567102,0.5513420636687119,20407560.635000017
prm15_wcost_re12_c2p1_t1,Vestas V164 7000,fixed,1575.0,7.0,100,4.0,11.0,25,164,0.12332557056097793,0.07733321566469233,0.3848308739415091,0.3612140519092731,875.6141647959993,24.731959800866978,185.4793070476907,0.5664819175672883,20407560.635000017
prm15_wcost_re13_c2p1_t1,Vestas V90 3000,fixed,1575.0,3.0,100,4.0,15.0,25,90,0.06779997798465875,0.0996358096021469,0.41784702762710396,0.36125016326421416,893.5115556623123,27.020920418044255,183.5324227648633,0.6188117223247135,20407560.635000017
prm15_wcost_re14_c2p1_t1,Siemens SWT 3.6 107,fixed,1263.684211,3.6,90,3.0,13.0,25,107,0.11651129244820967,0.08489753820088917,0.3839115604147377,0.3612300504089025,880.4490979811387,24.95688395508678,184.57545641928164,0.6048551465844441,20407560.635000017
prm15_wcost_re15_c2p1_t1,Siemens SWT 2.3 93,fixed,1263.684211,2.3,80,4.0,14.0,25,93,0.13635444445905714,0.07174328647346581,0.3774014310096659,0.3611969088537062,872.8145040505558,24.798054461093194,186.28865248110174,0.5658159346122484,20407560.635000017
prm15_wcost_re16_c2p1_t1,GE 2.5xl,fixed,1645.0,2.5,100,3.0,13.0,25,100,0.18915509090725385,0.04914046827779986,0.3493353496485581,0.3585503919813776,865.59081169974,24.322183216590645,189.81157167162817,0.5573093259496245,20407560.635000017
prm15_wcost_re17_c2p1_t1,GE 1.5sle,fixed,1528.947368,1.5,80,3.5,12.0,25,77,0.15148290641591777,0.0703044749113114,0.3637202037993781,0.3611957028072486,871.5776556110765,24.810416610827026,186.37926393778145,0.5638084930787671,20407560.635000017
prm15_wcost_re18_c2p1_t1,Gamesa G80 2000,fixed,1263.684211,2.0,80,3.5,12.0,25,80,0.08201507725966278,0.09497228121270863,0.40827967095792295,0.36123485953504314,881.1047481298444,26.372826207566597,184.02501305360474,0.6048003934010426,20407560.635000017
prm15_wcost_re19_c2p1_t1,Enercon E126 7000,fixed,3684.210526,7.0,135,3.0,16.5,34,126,0.07843151634652246,0.09570988832739229,0.41112524089738517,0.3612420422893106,881.5390686810167,26.529476305199722,183.56298635698053,0.6128243288599665,20407560.635000017
prm15_wcost_re20_c2p1_t1,Enercon E101 3000,fixed,1786.842105,3.05,135,2.0,13.0,25,101,0.24149842831602597,0.01973985120568332,0.32653347394183396,0.3583557493150243,859.4944451145778,24.63794174749605,192.09805591423722,0.5556775476398776,20407560.635000017
