,Latitude,Longitude,project,load_zone,biome
0,-40.25,-71.75,p_solar_Argentina_AR13,Argentina,Atacama/Andes
1,-40.75,-71.75,p_solar_Argentina_AR14,Argentina,Atacama/Andes
2,-41.25,-71.75,p_solar_Argentina_AR15,Argentina,Atacama/Andes
3,-39.25,-71.25,p_solar_Argentina_AR33,Argentina,Atacama/Andes
4,-39.75,-71.25,p_solar_Argentina_AR34,Argentina,Atacama/Andes
5,-40.25,-71.25,p_solar_Argentina_AR35,Argentina,Atacama/Andes
6,-40.75,-71.25,p_solar_Argentina_AR36,Argentina,Atacama/Andes
7,-41.25,-71.25,p_solar_Argentina_AR37,Argentina,Atacama/Andes
8,-36.75,-70.75,p_solar_Argentina_AR58,Argentina,Atacama/Andes
9,-37.25,-70.75,p_solar_Argentina_AR59,Argentina,Atacama/Andes
10,-37.75,-70.75,p_solar_Argentina_AR60,Argentina,Atacama/Andes
11,-38.25,-70.75,p_solar_Argentina_AR61,Argentina,Atacama/Andes
12,-38.75,-70.75,p_solar_Argentina_AR62,Argentina,Atacama/Andes
13,-39.25,-70.75,p_solar_Argentina_AR63,Argentina,Atacama/Andes
14,-39.75,-70.75,p_solar_Argentina_AR64,Argentina,Atacama/Andes
15,-40.25,-70.75,p_solar_Argentina_AR65,Argentina,Atacama/Andes
16,-40.75,-70.75,p_solar_Argentina_AR66,Argentina,Atacama/Andes
17,-41.25,-70.75,p_solar_Argentina_AR67,Argentina,Atacama/Andes
18,-30.75,-70.25,p_solar_Argentina_AR89,Argentina,Atacama/Andes
19,-31.25,-70.25,p_solar_Argentina_AR90,Argentina,Atacama/Andes
20,-31.75,-70.25,p_solar_Argentina_AR91,Argentina,Atacama/Andes
21,-32.25,-70.25,p_solar_Argentina_AR92,Argentina,Atacama/Andes
22,-34.75,-70.25,p_solar_Argentina_AR93,Argentina,Atacama/Andes
23,-35.25,-70.25,p_solar_Argentina_AR94,Argentina,Atacama/Andes
24,-35.75,-70.25,p_solar_Argentina_AR95,Argentina,Atacama/Andes
25,-36.25,-70.25,p_solar_Argentina_AR96,Argentina,Atacama/Andes
26,-36.75,-70.25,p_solar_Argentina_AR97,Argentina,Atacama/Andes
27,-37.25,-70.25,p_solar_Argentina_AR98,Argentina,Atacama/Andes
28,-37.75,-70.25,p_solar_Argentina_AR99,Argentina,Atacama/Andes
29,-38.25,-70.25,p_solar_Argentina_AR100,Argentina,Atacama/Andes
30,-38.75,-70.25,p_solar_Argentina_AR101,Argentina,Atacama/Andes
31,-39.25,-70.25,p_solar_Argentina_AR102,Argentina,Atacama/Andes
32,-39.75,-70.25,p_solar_Argentina_AR103,Argentina,Atacama/Andes
33,-40.25,-70.25,p_solar_Argentina_AR104,Argentina,Atacama/Andes
34,-40.75,-70.25,p_solar_Argentina_AR105,Argentina,Atacama/Andes
35,-41.25,-70.25,p_solar_Argentina_AR106,Argentina,Atacama/Andes
36,-41.75,-70.25,p_solar_Argentina_AR107,Argentina,Atacama/Andes
37,-29.25,-69.75,p_solar_Argentina_AR128,Argentina,Atacama/Andes
38,-29.75,-69.75,p_solar_Argentina_AR129,Argentina,Atacama/Andes
39,-30.25,-69.75,p_solar_Argentina_AR130,Argentina,Atacama/Andes
40,-30.75,-69.75,p_solar_Argentina_AR131,Argentina,Atacama/Andes
41,-31.25,-69.75,p_solar_Argentina_AR132,Argentina,Atacama/Andes
42,-31.75,-69.75,p_solar_Argentina_AR133,Argentina,Atacama/Andes
43,-32.25,-69.75,p_solar_Argentina_AR134,Argentina,Atacama/Andes
44,-32.75,-69.75,p_solar_Argentina_AR135,Argentina,Atacama/Andes
45,-33.25,-69.75,p_solar_Argentina_AR136,Argentina,Atacama/Andes
46,-33.75,-69.75,p_solar_Argentina_AR137,Argentina,Atacama/Andes
47,-34.25,-69.75,p_solar_Argentina_AR138,Argentina,Atacama/Andes
48,-34.75,-69.75,p_solar_Argentina_AR139,Argentina,Atacama/Andes
49,-35.25,-69.75,p_solar_Argentina_AR140,Argentina,Atacama/Andes
50,-35.75,-69.75,p_solar_Argentina_AR141,Argentina,Atacama/Andes
51,-36.25,-69.75,p_solar_Argentina_AR142,Argentina,Atacama/Andes
52,-36.75,-69.75,p_solar_Argentina_AR143,Argentina,Atacama/Andes
53,-37.25,-69.75,p_solar_Argentina_AR144,Argentina,Atacama/Andes
54,-37.75,-69.75,p_solar_Argentina_AR145,Argentina,Atacama/Andes
55,-38.25,-69.75,p_solar_Argentina_AR146,Argentina,Atacama/Andes
56,-38.75,-69.75,p_solar_Argentina_AR147,Argentina,Atacama/Andes
57,-39.25,-69.75,p_solar_Argentina_AR148,Argentina,Atacama/Andes
58,-39.75,-69.75,p_solar_Argentina_AR149,Argentina,Atacama/Andes
59,-40.25,-69.75,p_solar_Argentina_AR150,Argentina,Atacama/Andes
60,-40.75,-69.75,p_solar_Argentina_AR151,Argentina,Atacama/Andes
61,-41.25,-69.75,p_solar_Argentina_AR152,Argentina,Atacama/Andes
62,-41.75,-69.75,p_solar_Argentina_AR153,Argentina,Atacama/Andes
63,-28.25,-69.25,p_solar_Argentina_AR174,Argentina,Atacama/Andes
64,-28.75,-69.25,p_solar_Argentina_AR175,Argentina,Atacama/Andes
65,-29.25,-69.25,p_solar_Argentina_AR176,Argentina,Atacama/Andes
66,-29.75,-69.25,p_solar_Argentina_AR177,Argentina,Atacama/Andes
67,-30.25,-69.25,p_solar_Argentina_AR178,Argentina,Atacama/Andes
68,-30.75,-69.25,p_solar_Argentina_AR179,Argentina,Atacama/Andes
69,-31.25,-69.25,p_solar_Argentina_AR180,Argentina,Atacama/Andes
70,-31.75,-69.25,p_solar_Argentina_AR181,Argentina,Atacama/Andes
71,-32.25,-69.25,p_solar_Argentina_AR182,Argentina,Atacama/Andes
72,-32.75,-69.25,p_solar_Argentina_AR183,Argentina,Atacama/Andes
73,-33.25,-69.25,p_solar_Argentina_AR184,Argentina,Atacama/Andes
74,-33.75,-69.25,p_solar_Argentina_AR185,Argentina,Atacama/Andes
75,-34.25,-69.25,p_solar_Argentina_AR186,Argentina,Atacama/Andes
76,-34.75,-69.25,p_solar_Argentina_AR187,Argentina,Atacama/Andes
77,-35.25,-69.25,p_solar_Argentina_AR188,Argentina,Atacama/Andes
78,-35.75,-69.25,p_solar_Argentina_AR189,Argentina,Atacama/Andes
79,-36.25,-69.25,p_solar_Argentina_AR190,Argentina,Atacama/Andes
80,-36.75,-69.25,p_solar_Argentina_AR191,Argentina,Atacama/Andes
81,-37.25,-69.25,p_solar_Argentina_AR192,Argentina,Atacama/Andes
82,-37.75,-69.25,p_solar_Argentina_AR193,Argentina,Atacama/Andes
83,-38.25,-69.25,p_solar_Argentina_AR194,Argentina,Atacama/Andes
84,-38.75,-69.25,p_solar_Argentina_AR195,Argentina,Atacama/Andes
85,-39.25,-69.25,p_solar_Argentina_AR196,Argentina,Atacama/Andes
86,-39.75,-69.25,p_solar_Argentina_AR197,Argentina,Atacama/Andes
87,-40.25,-69.25,p_solar_Argentina_AR198,Argentina,Monte Desert
88,-40.75,-69.25,p_solar_Argentina_AR199,Argentina,Monte Desert
89,-41.25,-69.25,p_solar_Argentina_AR200,Argentina,Monte Desert
90,-41.75,-69.25,p_solar_Argentina_AR201,Argentina,Monte Desert
91,-42.25,-69.25,p_solar_Argentina_AR202,Argentina,Monte Desert
92,-42.75,-69.25,p_solar_Argentina_AR203,Argentina,Monte Desert
93,-27.25,-68.75,p_solar_Argentina_AR222,Argentina,Atacama/Andes
94,-27.75,-68.75,p_solar_Argentina_AR223,Argentina,Atacama/Andes
95,-28.25,-68.75,p_solar_Argentina_AR224,Argentina,Atacama/Andes
96,-28.75,-68.75,p_solar_Argentina_AR225,Argentina,Atacama/Andes
97,-29.25,-68.75,p_solar_Argentina_AR226,Argentina,Atacama/Andes
