lz_from,lz_to,period,net_flow_twh,scenario,policy,turbine,solar
Argentina,Brazil,2020,0.0558846,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Brazil,2025,-0.109647997,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Brazil,2030,0.01297625,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Brazil,2035,-0.0226692,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Brazil,2040,0.156769302,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Brazil,2045,0.123654908,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Brazil,2050,0.115385466,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Chile,2020,0.006447309,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Chile,2025,0.001230702,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Chile,2030,0.002270004,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Chile,2035,0.002589642,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Chile,2040,0.003370723,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Chile,2045,0.00391202,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Chile,2050,0.003822263,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Paraguay,2020,-0.008606582,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Paraguay,2025,-0.00784552,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Paraguay,2030,-0.00780174,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Paraguay,2035,-0.00780174,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Paraguay,2040,-0.00769316,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Paraguay,2045,-0.00460265,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
Argentina,Paraguay,2050,-0.002292825,trd_cut90_vestas2_1axis,cut90,vestas2,1axis
