,Latitude,Longitude,project,load_zone,biome
0,-50.75,-71.75,p_wind_Argentina_AR30,Argentina,Patagonia
1,-51.25,-71.75,p_wind_Argentina_AR31,Argentina,Patagonia
2,-51.75,-71.75,p_wind_Argentina_AR32,Argentina,Patagonia
3,-50.25,-71.25,p_wind_Argentina_AR54,Argentina,Patagonia
4,-50.75,-71.25,p_wind_Argentina_AR55,Argentina,Patagonia
5,-51.25,-71.25,p_wind_Argentina_AR56,Argentina,Patagonia
6,-51.75,-71.25,p_wind_Argentina_AR57,Argentina,Patagonia
7,-44.75,-70.75,p_wind_Argentina_AR74,Argentina,Patagonia
8,-45.25,-70.75,p_wind_Argentina_AR75,Argentina,Patagonia
9,-45.75,-70.75,p_wind_Argentina_AR76,Argentina,Patagonia
10,-46.25,-70.75,p_wind_Argentina_AR77,Argentina,Patagonia
11,-46.75,-70.75,p_wind_Argentina_AR78,Argentina,Patagonia
12,-47.25,-70.75,p_wind_Argentina_AR79,Argentina,Patagonia
13,-47.75,-70.75,p_wind_Argentina_AR80,Argentina,Patagonia
14,-48.25,-70.75,p_wind_Argentina_AR81,Argentina,Patagonia
15,-48.75,-70.75,p_wind_Argentina_AR82,Argentina,Patagonia
16,-49.25,-70.75,p_wind_Argentina_AR83,Argentina,Patagonia
17,-49.75,-70.75,p_wind_Argentina_AR84,Argentina,Patagonia
18,-50.25,-70.75,p_wind_Argentina_AR85,Argentina,Patagonia
19,-50.75,-70.75,p_wind_Argentina_AR86,Argentina,Patagonia
20,-51.25,-70.75,p_wind_Argentina_AR87,Argentina,Patagonia
21,-51.75,-70.75,p_wind_Argentina_AR88,Argentina,Patagonia
22,-44.25,-70.25,p_wind_Argentina_AR112,Argentina,Patagonia
23,-44.75,-70.25,p_wind_Argentina_AR113,Argentina,Patagonia
24,-45.25,-70.25,p_wind_Argentina_AR114,Argentina,Patagonia
25,-45.75,-70.25,p_wind_Argentina_AR115,Argentina,Patagonia
26,-46.25,-70.25,p_wind_Argentina_AR116,Argentina,Patagonia
27,-46.75,-70.25,p_wind_Argentina_AR117,Argentina,Patagonia
28,-47.25,-70.25,p_wind_Argentina_AR118,Argentina,Patagonia
29,-47.75,-70.25,p_wind_Argentina_AR119,Argentina,Patagonia
30,-48.25,-70.25,p_wind_Argentina_AR120,Argentina,Patagonia
31,-48.75,-70.25,p_wind_Argentina_AR121,Argentina,Patagonia
32,-49.25,-70.25,p_wind_Argentina_AR122,Argentina,Patagonia
33,-49.75,-70.25,p_wind_Argentina_AR123,Argentina,Patagonia
34,-50.25,-70.25,p_wind_Argentina_AR124,Argentina,Patagonia
35,-50.75,-70.25,p_wind_Argentina_AR125,Argentina,Patagonia
36,-51.25,-70.25,p_wind_Argentina_AR126,Argentina,Patagonia
37,-51.75,-70.25,p_wind_Argentina_AR127,Argentina,Patagonia
38,-40.75,-69.75,p_wind_Argentina_AR151,Argentina,Patagonia
39,-41.25,-69.75,p_wind_Argentina_AR152,Argentina,Patagonia
40,-43.75,-69.75,p_wind_Argentina_AR157,Argentina,Patagonia
41,-44.25,-69.75,p_wind_Argentina_AR158,Argentina,Patagonia
42,-44.75,-69.75,p_wind_Argentina_AR159,Argentina,Patagonia
43,-45.25,-69.75,p_wind_Argentina_AR160,Argentina,Patagonia
44,-45.75,-69.75,p_wind_Argentina_AR161,Argentina,Patagonia
45,-46.25,-69.75,p_wind_Argentina_AR162,Argentina,Patagonia
46,-46.75,-69.75,p_wind_Argentina_AR163,Argentina,Patagonia
47,-47.25,-69.75,p_wind_Argentina_AR164,Argentina,Patagonia
48,-47.75,-69.75,p_wind_Argentina_AR165,Argentina,Patagonia
