period,Battery,Biomass,Coal,Curtailment,Diesel,Gas,Geothermal,Hydro,Nuclear,Solar,Trans_loss,Wind,scs,fossil_twh,clean_twh,vre_twh,total_twh,Hydro_share,Gas_share,Solar_share,Wind_share,Clean_share,VRE_share,Fossil_share
2020,0.0,84.76,11.78,51.29,14.58,160.7,0.35,542.07,32.83,14.39,-0.41,27.62,trd_cut90_vestas2_1axis,187.06,702.02,42.01,889.08,0.61,0.18,0.02,0.03,0.79,0.05,0.21
2030,0.0,65.54,11.66,43.44,0.0,164.14,0.35,639.79,32.83,128.66,-0.62,169.46,trd_cut90_vestas2_1axis,175.8,1036.63,298.12,1212.43,0.53,0.14,0.11,0.14,0.86,0.25,0.14
2040,0.0,54.68,0.0,47.27,0.0,118.25,2.1,763.52,32.83,269.66,-0.58,372.79,trd_cut90_vestas2_1axis,118.25,1495.58,642.45,1613.84,0.47,0.07,0.17,0.23,0.93,0.4,0.07
2050,-31.75,29.82,0.0,180.04,0.0,24.25,2.1,783.78,32.83,406.69,-0.67,878.7,trd_cut90_vestas2_1axis,24.25,2133.93,1285.39,2158.19,0.36,0.01,0.19,0.41,0.99,0.6,0.01
2020,0.0,84.76,11.78,51.25,14.58,160.7,0.35,542.48,32.83,14.35,-0.46,27.3,trd_cut90_vestas7_1axis,187.06,702.06,41.64,889.12,0.61,0.18,0.02,0.03,0.79,0.05,0.21
2030,0.0,66.44,13.46,44.97,0.0,160.85,0.35,637.76,32.83,215.98,-0.58,84.71,trd_cut90_vestas7_1axis,174.31,1038.08,300.7,1212.39,0.53,0.13,0.18,0.07,0.86,0.25,0.14
2040,-0.09,55.12,0.0,49.18,0.0,119.08,2.1,765.08,32.83,334.34,-0.6,305.32,trd_cut90_vestas7_1axis,119.08,1494.79,639.66,1613.87,0.47,0.07,0.21,0.19,0.93,0.4,0.07
2050,-32.84,42.49,0.0,209.84,0.0,24.23,2.1,806.99,50.02,421.29,-0.7,811.4,trd_cut90_vestas7_1axis,24.24,2134.28,1232.68,2158.51,0.37,0.01,0.2,0.38,0.99,0.57,0.01
2020,0.0,84.76,11.78,51.29,14.58,160.7,0.35,542.07,32.83,14.39,-0.41,27.62,trd_cut90_vestas3_1axis,187.06,702.02,42.01,889.08,0.61,0.18,0.02,0.03,0.79,0.05,0.21
2030,0.0,65.48,14.05,46.42,0.0,160.26,0.35,635.62,32.83,260.3,-0.6,43.54,trd_cut90_vestas3_1axis,174.31,1038.11,303.83,1212.41,0.52,0.13,0.21,0.04,0.86,0.25,0.14
