index,Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,ann_cfs_ninja_wind_vestas_v90_2mw_100m
0,-50.75,-71.75,p_wind_Argentina_AR30,Argentina,1191,0.06,25.57051364,0.6241543715846991
1,-51.25,-71.75,p_wind_Argentina_AR31,Argentina,1170,0.1,14.56800821,0.6340400728597424
2,-51.75,-71.75,p_wind_Argentina_AR32,Argentina,918,0.1,40.32457464,0.637649590163934
3,-50.25,-71.25,p_wind_Argentina_AR54,Argentina,1098,0.07,40.30732402,0.6245990437158458
4,-50.75,-71.25,p_wind_Argentina_AR55,Argentina,1131,0.16,5.735762237,0.627834130236792
5,-51.25,-71.25,p_wind_Argentina_AR56,Argentina,1158,0.23,25.11013168,0.6375415528233138
6,-51.75,-71.25,p_wind_Argentina_AR57,Argentina,1119,0.25,71.47797351,0.6445902777777743
7,-44.75,-70.75,p_wind_Argentina_AR74,Argentina,708,0.06,180.9757972,0.6075011384335136
8,-45.25,-70.75,p_wind_Argentina_AR75,Argentina,690,0.09,140.7599158,0.6082772085610202
9,-45.75,-70.75,p_wind_Argentina_AR76,Argentina,348,0.12,89.62587181,0.6162239298724944
10,-46.25,-70.75,p_wind_Argentina_AR77,Argentina,777,0.11,49.19581057,0.5991821493624766
11,-46.75,-70.75,p_wind_Argentina_AR78,Argentina,579,0.09,36.14894582,0.5673239981785065
12,-47.25,-70.75,p_wind_Argentina_AR79,Argentina,543,0.08,58.15159986,0.5835055783242223
13,-47.75,-70.75,p_wind_Argentina_AR80,Argentina,339,0.08,105.4924968,0.614466302367942
14,-48.25,-70.75,p_wind_Argentina_AR81,Argentina,672,0.08,158.2962233,0.647722222222221
15,-48.75,-70.75,p_wind_Argentina_AR82,Argentina,837,0.06,163.2778294,0.6629241803278637
16,-49.25,-70.75,p_wind_Argentina_AR83,Argentina,978,0.07,146.8350106,0.6405968806921662
17,-49.75,-70.75,p_wind_Argentina_AR84,Argentina,933,0.08,105.5430528,0.6161243169398882
18,-50.25,-70.75,p_wind_Argentina_AR85,Argentina,876,0.14,59.91047816,0.6099692622950793
19,-50.75,-70.75,p_wind_Argentina_AR86,Argentina,519,0.26,25.48776913,0.6133785291438965
20,-51.25,-70.75,p_wind_Argentina_AR87,Argentina,954,0.34,14.72083028,0.6212087887067391
21,-51.75,-70.75,p_wind_Argentina_AR88,Argentina,1173,0.37,50.80294098,0.6230093351548236
22,-44.25,-70.25,p_wind_Argentina_AR112,Argentina,573,0.06,126.8881435,0.6063241120218544
23,-44.75,-70.25,p_wind_Argentina_AR113,Argentina,723,0.1,151.9933958,0.6055621584699444
24,-45.25,-70.25,p_wind_Argentina_AR114,Argentina,372,0.14,117.0789897,0.6006909153005437
25,-45.75,-70.25,p_wind_Argentina_AR115,Argentina,153,0.17,78.24032854,0.6139279371584686
26,-46.25,-70.25,p_wind_Argentina_AR116,Argentina,342,0.17,23.11011823,0.6069355646630237
27,-46.75,-70.25,p_wind_Argentina_AR117,Argentina,399,0.15,9.698581283,0.5716337659380715
28,-47.25,-70.25,p_wind_Argentina_AR118,Argentina,600,0.14,42.07988686,0.5852322404371564
29,-47.75,-70.25,p_wind_Argentina_AR119,Argentina,330,0.15,97.63680955,0.6290355191256797
30,-48.25,-70.25,p_wind_Argentina_AR120,Argentina,594,0.14,153.1822315,0.6544792805100162
31,-48.75,-70.25,p_wind_Argentina_AR121,Argentina,573,0.12,129.1616967,0.656385587431692
32,-49.25,-70.25,p_wind_Argentina_AR122,Argentina,930,0.12,116.9156784,0.6271125910746806
33,-49.75,-70.25,p_wind_Argentina_AR123,Argentina,729,0.15,80.81577168,0.6014247495446251
34,-50.25,-70.25,p_wind_Argentina_AR124,Argentina,606,0.22,41.07619962,0.603806124772311
35,-50.75,-70.25,p_wind_Argentina_AR125,Argentina,108,0.33,1.546720129,0.614362704918033
36,-51.25,-70.25,p_wind_Argentina_AR126,Argentina,804,0.41,11.34345728,0.6107788023679369
37,-51.75,-70.25,p_wind_Argentina_AR127,Argentina,1170,0.46,24.71239972,0.6084737021857932
38,-40.75,-69.75,p_wind_Argentina_AR151,Argentina,492,0.06,64.75385853,0.4685693306010946
39,-41.25,-69.75,p_wind_Argentina_AR152,Argentina,510,0.06,108.9317881,0.49607069672131343
40,-43.75,-69.75,p_wind_Argentina_AR157,Argentina,486,0.06,68.99558964,0.5995993852458992
41,-44.25,-69.75,p_wind_Argentina_AR158,Argentina,483,0.08,124.4789904,0.6292412340619289
