,lz_from,lz_to,period,transmission_flow_mw,transmission_losses_lz_from,transmission_losses_lz_to,tx_flow_twh,tx_loss_from_twh,tx_loss_to_twh,net_flow_twh,scenario
0,Argentina,Brazil,2020,2160.0,1814.4000000000028,2268.000000000005,0.07073999999999998,0.05454539999999999,0.0694008,0.05588460000000006,trd_cut90_vestas2_1axis
1,Argentina,Brazil,2025,-4670.459810387967,2483.396063688338,1540.3995035068606,-0.13735948985301186,0.0748306779743382,0.04711918510520578,-0.10964799698387932,trd_cut90_vestas2_1axis
2,Argentina,Brazil,2030,486.56530841960426,1860.7673764428328,1981.8460912109504,0.017143354056278384,0.05664907838450995,0.06081618273632839,0.012976249704459904,trd_cut90_vestas2_1axis
3,Argentina,Brazil,2035,-900.0,2589.3000000000065,2570.4000000000065,-0.022140000000000014,0.0781325999999999,0.07866179999999995,-0.022669199999999983,trd_cut90_vestas2_1axis
4,Argentina,Brazil,2040,6598.264678772717,1304.1000000000004,2822.0355825422785,0.20346620504195376,0.03963330000000002,0.0863302030588104,0.1567693019831436,trd_cut90_vestas2_1axis
5,Argentina,Brazil,2045,5071.308935088061,2362.5000000000055,3269.281001069045,0.15053703784723493,0.072387,0.09926913003207118,0.1236549078151639,trd_cut90_vestas2_1axis
6,Argentina,Brazil,2050,5225.008652720913,2268.000000000005,3580.9799738390366,0.1546325451713372,0.06949529999999997,0.10874237918900984,0.11538546598232775,trd_cut90_vestas2_1axis
7,Argentina,Chile,2020,221.0,0.0,9.502999999999993,0.006736999999999986,0.0,0.0002896910000000002,0.006447309000000004,trd_cut90_vestas2_1axis
8,Argentina,Chile,2025,41.0,3.827000000000005,5.5900000000000105,0.0012859999999999983,0.00011657299999999987,0.0001718710000000002,0.001230702,trd_cut90_vestas2_1axis
9,Argentina,Chile,2030,77.0,1.9349999999999987,5.246000000000009,0.002372000000000004,5.768449999999999e-05,0.00015968049999999986,0.0022700040000000012,trd_cut90_vestas2_1axis
10,Argentina,Chile,2035,89.0,3.010000000000002,6.837000000000015,0.0027060000000000027,9.180499999999992e-05,0.00020816300000000058,0.0025896419999999975,trd_cut90_vestas2_1axis
11,Argentina,Chile,2040,116.0,3.4830000000000036,8.084000000000017,0.0035100000000000105,0.0001067259999999999,0.00024600300000000066,0.003370723000000002,trd_cut90_vestas2_1axis
12,Argentina,Chile,2045,133.0,3.4830000000000036,8.901000000000003,0.0040780000000000104,0.00010562949999999998,0.00027160950000000057,0.003912020000000006,trd_cut90_vestas2_1axis
13,Argentina,Chile,2050,132.0,3.053000000000002,8.643000000000008,0.003991500000000007,9.296599999999995e-05,0.0002622032500000001,0.0038222627500000034,trd_cut90_vestas2_1axis
14,Argentina,Paraguay,2020,-288.0,31.67999999999989,26.509999999999916,-0.00876599999999999,0.000964260000000004,0.0008048425000000028,-0.008606582499999993,trd_cut90_vestas2_1axis
15,Argentina,Paraguay,2025,-288.0,31.67999999999989,1.4300000000000004,-0.008765999999999982,0.0009642600000000052,4.3780000000000004e-05,-0.007845520000000022,trd_cut90_vestas2_1axis
16,Argentina,Paraguay,2030,-288.0,31.67999999999989,0.0,-0.008765999999999984,0.000964260000000004,0.0,-0.007801740000000029,trd_cut90_vestas2_1axis
17,Argentina,Paraguay,2035,-288.0,31.67999999999989,0.0,-0.008765999999999994,0.000964260000000004,0.0,-0.007801740000000021,trd_cut90_vestas2_1axis
18,Argentina,Paraguay,2040,-284.0,31.45999999999989,0.22,-0.00864399999999997,0.0009575500000000051,6.71e-06,-0.007693160000000027,trd_cut90_vestas2_1axis
19,Argentina,Paraguay,2045,-173.0,26.06999999999992,6.050000000000004,-0.0052059999999999945,0.0007909000000000028,0.0001875499999999999,-0.004602650000000016,trd_cut90_vestas2_1axis
20,Argentina,Paraguay,2050,-86.0,19.79999999999995,10.449999999999998,-0.0025725000000000036,0.0005997475000000018,0.0003200725000000004,-0.0022928249999999996,trd_cut90_vestas2_1axis
21,Argentina,Uruguay,2020,-34885.93411785977,2651.5417247923624,383.9560071314759,-1.0589700765171097,0.08040765979860963,0.011574604824997324,-0.9901370215434973,trd_cut90_vestas2_1axis
22,Argentina,Uruguay,2025,-365.60471519961243,1749.5576793427679,1725.7933728547937,0.0027291773922807046,0.05262170298362568,0.05279909951412392,0.0025517808617824076,trd_cut90_vestas2_1axis
23,Argentina,Uruguay,2030,20469.943306409128,978.3792470955717,2308.9255620121694,0.6415828733285195,0.029006320094011096,0.07070920686036493,0.5998799865621669,trd_cut90_vestas2_1axis
24,Argentina,Uruguay,2035,17077.704681019295,1406.7565940670213,2538.496957581383,0.5328970586299843,0.0423553101406095,0.0776659952882499,0.49758637348234364,trd_cut90_vestas2_1axis
