type,period,load_zone,trade,Scenario,multiplier,trade_1,short_name
export,2020,Argentina,1.4,Trade Vestas V90 2000 Fixed,-1,-1.4,trd_vestas2_fixed
export,2020,Brazil,0.5,Trade Vestas V90 2000 Fixed,-1,-0.5,trd_vestas2_fixed
export,2020,Chile,0.0,Trade Vestas V90 2000 Fixed,-1,-0.0,trd_vestas2_fixed
export,2020,Paraguay,0.0,Trade Vestas V90 2000 Fixed,-1,-0.0,trd_vestas2_fixed
export,2020,Uruguay,0.5,Trade Vestas V90 2000 Fixed,-1,-0.5,trd_vestas2_fixed
export,2030,Argentina,1.8,Trade Vestas V90 2000 Fixed,-1,-1.8,trd_vestas2_fixed
export,2030,Brazil,2.6,Trade Vestas V90 2000 Fixed,-1,-2.6,trd_vestas2_fixed
export,2030,Chile,0.0,Trade Vestas V90 2000 Fixed,-1,-0.0,trd_vestas2_fixed
export,2030,Paraguay,0.0,Trade Vestas V90 2000 Fixed,-1,-0.0,trd_vestas2_fixed
export,2030,Uruguay,0.0,Trade Vestas V90 2000 Fixed,-1,-0.0,trd_vestas2_fixed
export,2040,Argentina,1.8,Trade Vestas V90 2000 Fixed,-1,-1.8,trd_vestas2_fixed
export,2040,Brazil,1.5,Trade Vestas V90 2000 Fixed,-1,-1.5,trd_vestas2_fixed
export,2040,Chile,0.0,Trade Vestas V90 2000 Fixed,-1,-0.0,trd_vestas2_fixed
export,2040,Paraguay,0.0,Trade Vestas V90 2000 Fixed,-1,-0.0,trd_vestas2_fixed
export,2040,Uruguay,0.4,Trade Vestas V90 2000 Fixed,-1,-0.4,trd_vestas2_fixed
export,2050,Argentina,1.8,Trade Vestas V90 2000 Fixed,-1,-1.8,trd_vestas2_fixed
export,2050,Brazil,1.2,Trade Vestas V90 2000 Fixed,-1,-1.2,trd_vestas2_fixed
export,2050,Chile,0.0,Trade Vestas V90 2000 Fixed,-1,-0.0,trd_vestas2_fixed
export,2050,Paraguay,0.0,Trade Vestas V90 2000 Fixed,-1,-0.0,trd_vestas2_fixed
export,2050,Uruguay,0.6,Trade Vestas V90 2000 Fixed,-1,-0.6,trd_vestas2_fixed
import,2020,Argentina,0.6,Trade Vestas V90 2000 Fixed,1,0.6,trd_vestas2_fixed
import,2020,Brazil,1.5,Trade Vestas V90 2000 Fixed,1,1.5,trd_vestas2_fixed
import,2020,Chile,0.0,Trade Vestas V90 2000 Fixed,1,0.0,trd_vestas2_fixed
import,2020,Paraguay,0.0,Trade Vestas V90 2000 Fixed,1,0.0,trd_vestas2_fixed
import,2020,Uruguay,0.4,Trade Vestas V90 2000 Fixed,1,0.4,trd_vestas2_fixed
import,2030,Argentina,0.3,Trade Vestas V90 2000 Fixed,1,0.3,trd_vestas2_fixed
import,2030,Brazil,0.4,Trade Vestas V90 2000 Fixed,1,0.4,trd_vestas2_fixed
import,2030,Chile,0.0,Trade Vestas V90 2000 Fixed,1,0.0,trd_vestas2_fixed
import,2030,Paraguay,0.0,Trade Vestas V90 2000 Fixed,1,0.0,trd_vestas2_fixed
import,2030,Uruguay,3.7,Trade Vestas V90 2000 Fixed,1,3.7,trd_vestas2_fixed
import,2040,Argentina,0.3,Trade Vestas V90 2000 Fixed,1,0.3,trd_vestas2_fixed
import,2040,Brazil,0.9,Trade Vestas V90 2000 Fixed,1,0.9,trd_vestas2_fixed
import,2040,Chile,0.0,Trade Vestas V90 2000 Fixed,1,0.0,trd_vestas2_fixed
import,2040,Paraguay,0.0,Trade Vestas V90 2000 Fixed,1,0.0,trd_vestas2_fixed
import,2040,Uruguay,2.5,Trade Vestas V90 2000 Fixed,1,2.5,trd_vestas2_fixed
import,2050,Argentina,0.2,Trade Vestas V90 2000 Fixed,1,0.2,trd_vestas2_fixed
import,2050,Brazil,1.3,Trade Vestas V90 2000 Fixed,1,1.3,trd_vestas2_fixed
import,2050,Chile,0.0,Trade Vestas V90 2000 Fixed,1,0.0,trd_vestas2_fixed
import,2050,Paraguay,0.0,Trade Vestas V90 2000 Fixed,1,0.0,trd_vestas2_fixed
import,2050,Uruguay,2.2,Trade Vestas V90 2000 Fixed,1,2.2,trd_vestas2_fixed
export,2020,Argentina,1.4,Trade Vestas V164 7000 Fixed,-1,-1.4,trd_vestas7_fixed
export,2020,Brazil,0.5,Trade Vestas V164 7000 Fixed,-1,-0.5,trd_vestas7_fixed
export,2020,Chile,0.0,Trade Vestas V164 7000 Fixed,-1,-0.0,trd_vestas7_fixed
export,2020,Paraguay,0.0,Trade Vestas V164 7000 Fixed,-1,-0.0,trd_vestas7_fixed
export,2020,Uruguay,0.5,Trade Vestas V164 7000 Fixed,-1,-0.5,trd_vestas7_fixed
