,type,period,load_zone,trade,Scenario,multiplier,trade_1
0,export,2020,Argentina,0.38641,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.38641
1,export,2020,Brazil,0.64633,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.64633
2,export,2020,Chile,0.0,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.0
3,export,2020,Paraguay,0.00861,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.00861
4,export,2020,Uruguay,1.61603,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-1.61603
5,export,2025,Argentina,0.92787,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.92787
6,export,2025,Brazil,2.10083,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-2.10083
7,export,2025,Chile,0.00259,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.00259
8,export,2025,Paraguay,0.00785,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.00785
9,export,2025,Uruguay,0.22899,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.22899
10,export,2030,Argentina,1.2106,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-1.2106
11,export,2030,Brazil,2.55115,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-2.55115
12,export,2030,Chile,0.00128,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.00128
13,export,2030,Paraguay,0.0078,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.0078
14,export,2030,Uruguay,0.03787,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.03787
15,export,2035,Argentina,1.27812,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-1.27812
16,export,2035,Brazil,2.62613,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-2.62613
17,export,2035,Chile,0.00204,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.00204
18,export,2035,Paraguay,0.0078,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.0078
19,export,2035,Uruguay,0.2682,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.2682
20,export,2040,Argentina,1.31312,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-1.31312
21,export,2040,Brazil,1.81166,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-1.81166
22,export,2040,Chile,0.0021,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.0021
23,export,2040,Paraguay,0.00775,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.00775
24,export,2040,Uruguay,0.27527,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.27527
25,export,2045,Argentina,1.28693,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-1.28693
26,export,2045,Brazil,1.80471,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-1.80471
27,export,2045,Chile,0.00207,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.00207
28,export,2045,Paraguay,0.00612,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.00612
29,export,2045,Uruguay,0.29691,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.29691
30,export,2050,Argentina,1.59084,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-1.59084
31,export,2050,Brazil,1.78352,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-1.78352
32,export,2050,Chile,0.00196,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.00196
33,export,2050,Paraguay,0.00486,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.00486
34,export,2050,Uruguay,0.3632,Trade Emission cut 90% Vestas V90 2000 Single-Axis,-1,-0.3632
35,import,2020,Argentina,1.32283,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,1.32283
36,import,2020,Brazil,1.14737,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,1.14737
37,import,2020,Chile,0.00645,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.00645
38,import,2020,Paraguay,0.0,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.0
39,import,2020,Uruguay,0.18073,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.18073
40,import,2025,Argentina,1.04158,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,1.04158
41,import,2025,Brazil,0.54877,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.54877
42,import,2025,Chile,0.00383,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.00383
43,import,2025,Paraguay,0.0,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.0
44,import,2025,Uruguay,1.67395,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,1.67395
45,import,2030,Argentina,0.60327,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.60327
46,import,2030,Brazil,0.53988,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.53988
47,import,2030,Chile,0.00355,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.00355
48,import,2030,Paraguay,0.0,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.0
49,import,2030,Uruguay,2.66199,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,2.66199
50,import,2035,Argentina,0.80842,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.80842
51,import,2035,Brazil,0.70959,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.70959
52,import,2035,Chile,0.00463,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.00463
53,import,2035,Paraguay,0.0,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.0
54,import,2035,Uruguay,2.65965,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,2.65965
55,import,2040,Argentina,0.4907,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.4907
56,import,2040,Brazil,0.89465,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.89465
57,import,2040,Chile,0.00547,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.00547
58,import,2040,Paraguay,5e-05,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,5e-05
59,import,2040,Uruguay,2.01902,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,2.01902
60,import,2045,Argentina,0.53417,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.53417
61,import,2045,Brazil,1.04578,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,1.04578
62,import,2045,Chile,0.00599,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.00599
63,import,2045,Paraguay,0.00152,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.00152
64,import,2045,Uruguay,1.80928,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,1.80928
65,import,2050,Argentina,0.54962,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.54962
66,import,2050,Brazil,1.14996,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,1.14996
67,import,2050,Chile,0.00578,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.00578
68,import,2050,Paraguay,0.00256,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,0.00256
69,import,2050,Uruguay,2.03645,Trade Emission cut 90% Vestas V90 2000 Single-Axis,1,2.03645
70,export,2020,Argentina,0.37787,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.37787
71,export,2020,Brazil,0.919,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.919
72,export,2020,Chile,0.0,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.0
73,export,2020,Paraguay,0.00861,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.00861
74,export,2020,Uruguay,1.41458,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-1.41458
75,export,2025,Argentina,0.88116,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.88116
76,export,2025,Brazil,1.6379,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-1.6379
77,export,2025,Chile,0.00162,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.00162
78,export,2025,Paraguay,0.00784,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.00784
79,export,2025,Uruguay,0.1749,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.1749
80,export,2030,Argentina,1.13063,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-1.13063
81,export,2030,Brazil,2.13009,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-2.13009
82,export,2030,Chile,0.0018,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.0018
83,export,2030,Paraguay,0.00781,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.00781
84,export,2030,Uruguay,0.09788,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.09788
85,export,2035,Argentina,1.56503,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-1.56503
86,export,2035,Brazil,2.12823,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-2.12823
87,export,2035,Chile,0.00262,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.00262
88,export,2035,Paraguay,0.0078,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.0078
89,export,2035,Uruguay,0.34154,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.34154
90,export,2040,Argentina,1.37729,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-1.37729
91,export,2040,Brazil,1.93915,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-1.93915
92,export,2040,Chile,0.0018,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.0018
93,export,2040,Paraguay,0.00745,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.00745
94,export,2040,Uruguay,0.25112,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.25112
95,export,2045,Argentina,1.34709,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-1.34709
96,export,2045,Brazil,1.94859,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-1.94859
97,export,2045,Chile,0.00305,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.00305
98,export,2045,Paraguay,0.0057,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.0057
99,export,2045,Uruguay,0.28736,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.28736
100,export,2050,Argentina,1.68841,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-1.68841
101,export,2050,Brazil,1.72251,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-1.72251
102,export,2050,Chile,0.00184,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.00184
103,export,2050,Paraguay,0.00316,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.00316
104,export,2050,Uruguay,0.34749,Trade Emission cut 90% Vestas V164 7000 Single-Axis,-1,-0.34749
105,import,2020,Argentina,1.32284,Trade Emission cut 90% Vestas V164 7000 Single-Axis,1,1.32284
106,import,2020,Brazil,1.05247,Trade Emission cut 90% Vestas V164 7000 Single-Axis,1,1.05247
