period,Scenario,trade
2020,Emission cut 90% Vestas V90 2000 Single-Axis,46.89494
2020,Trade Emission cut 90% Enercon E101 3000 Fixed,2.70152
2020,Trade Emission cut 90% Enercon E101 3000 Single-Axis,2.64715
2020,Trade Emission cut 90% Enercon E126 7000 Fixed,2.6937
2020,Trade Emission cut 90% Enercon E126 7000 Single-Axis,2.68688
2020,Trade Emission cut 90% GE 1.5sle Fixed,2.66545
2020,Trade Emission cut 90% GE 1.5sle Single-Axis,2.71372
2020,Trade Emission cut 90% GE 2.5xl Fixed,2.62376
2020,Trade Emission cut 90% GE 2.5xl Single-Axis,2.75547
2020,Trade Emission cut 90% Gamesa G80 2000 Fixed,2.65597
2020,Trade Emission cut 90% Gamesa G80 2000 Single-Axis,2.73372
2020,Trade Emission cut 90% Siemens SWT 2.3 93 Fixed,2.69842
2020,Trade Emission cut 90% Siemens SWT 2.3 93 Single-Axis,2.71799
2020,Trade Emission cut 90% Siemens SWT 3.6 107 Fixed,2.66765
2020,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,2.70312
2020,Trade Emission cut 90% Vestas V164 7000 Fixed,2.64894
2020,Trade Emission cut 90% Vestas V164 7000 Single-Axis,2.72006
2020,Trade Emission cut 90% Vestas V90 2000 Fixed,2.7092
2020,Trade Emission cut 90% Vestas V90 2000 Single-Axis,2.65737
2020,Trade Emission cut 90% Vestas V90 3000 Fixed,2.70347
2020,Trade Emission cut 90% Vestas V90 3000 Single-Axis,2.63977
2020,Trade Enercon E101 3000 Fixed,2.41676
2020,Trade Enercon E101 3000 Single-Axis,2.40742
2020,Trade Enercon E126 7000 Fixed,2.41676
2020,Trade Enercon E126 7000 Single-Axis,2.40742
2020,Trade GE 1.5sle Fixed,2.41676
2020,Trade GE 1.5sle Single-Axis,2.40742
2020,Trade GE 2.5xl Fixed,2.41676
2020,Trade GE 2.5xl Single-Axis,2.40742
2020,Trade Gamesa G80 2000 Fixed,2.41676
2020,Trade Gamesa G80 2000 Single-Axis,2.40742
2020,Trade Siemens SWT 2.3 93 Fixed,2.41676
2020,Trade Siemens SWT 2.3 93 Single-Axis,2.40742
2020,Trade Siemens SWT 3.6 107 Fixed,2.41676
2020,Trade Siemens SWT 3.6 107 Single-Axis,2.40742
2020,Trade Vestas V164 7000 Fixed,2.41676
2020,Trade Vestas V164 7000 Single-Axis,2.40742
2020,Trade Vestas V90 2000 Fixed,2.41676
2020,Trade Vestas V90 2000 Single-Axis,2.40742
2020,Trade Vestas V90 3000 Fixed,2.41676
2020,Trade Vestas V90 3000 Single-Axis,2.40742
2020,Vestas V90 2000 Single-Axis,46.87347
2025,Emission cut 90% Vestas V90 2000 Single-Axis,47.64133
2025,Trade Emission cut 90% Enercon E101 3000 Fixed,3.11261
2025,Trade Emission cut 90% Enercon E101 3000 Single-Axis,3.24277
2025,Trade Emission cut 90% Enercon E126 7000 Fixed,3.39439
2025,Trade Emission cut 90% Enercon E126 7000 Single-Axis,3.03895
2025,Trade Emission cut 90% GE 1.5sle Fixed,2.68239
2025,Trade Emission cut 90% GE 1.5sle Single-Axis,2.8453
2025,Trade Emission cut 90% GE 2.5xl Fixed,2.77997
2025,Trade Emission cut 90% GE 2.5xl Single-Axis,3.08505
2025,Trade Emission cut 90% Gamesa G80 2000 Fixed,3.30173
2025,Trade Emission cut 90% Gamesa G80 2000 Single-Axis,2.95657
2025,Trade Emission cut 90% Siemens SWT 2.3 93 Fixed,2.85838
2025,Trade Emission cut 90% Siemens SWT 2.3 93 Single-Axis,2.71334
2025,Trade Emission cut 90% Siemens SWT 3.6 107 Fixed,3.08005
2025,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,2.73396
2025,Trade Emission cut 90% Vestas V164 7000 Fixed,3.01623
2025,Trade Emission cut 90% Vestas V164 7000 Single-Axis,2.70342
2025,Trade Emission cut 90% Vestas V90 2000 Fixed,2.9878
2025,Trade Emission cut 90% Vestas V90 2000 Single-Axis,3.26813
2025,Trade Emission cut 90% Vestas V90 3000 Fixed,3.37455
