project,period,specified_capacity_mw,specified_capacity_mwh
E_Argentina_Coal_Sub_60s,2020,960.6,
E_Brazil_Biomass_60s,2020,0,
E_Brazil_Coal_Sub_60s,2020,252.0,
E_Argentina_Coal_Sub_70s,2020,216.0,
E_Brazil_Biomass_70s,2020,725.4,
E_Brazil_Coal_Sub_70s,2020,708.0,
E_Argentina_Coal_Sub_80s,2020,1982.2,
E_Brazil_Biomass_80s,2020,519.5,
E_Argentina_Coal_Sub_90s,2020,981.0,
E_Brazil_Biomass_90s,2020,979.0,
E_Brazil_Coal_Sub_90s,2020,387.4,
E_Argentina_Diesel_00s,2020,468.8,
E_Brazil_Biomass_00s,2020,3923.8,
E_Brazil_Coal_Sub_00s,2020,297.1,
E_Brazil_Diesel_00s,2020,180.79999999999973,
E_Argentina_Coal_Sub_10s,2020,13.2,
E_Argentina_Diesel_10s,2020,1194.2,
E_Brazil_Biomass_10s,2020,6653.9,
E_Brazil_Coal_Sub_10s,2020,1148.3,
E_Brazil_Diesel_10s,2020,4116.2,
E_Chile_Biomass_10s,2020,383.9,
E_Chile_Coal_Sub_10s,2020,4600.0,
E_Chile_Diesel_10s,2020,1404.0000000000002,
E_Uruguay_Biomass_10s,2020,412.7,
E_Uruguay_Diesel_10s,2020,84.0,
E_Argentina_Gas_OCGT_60s,2020,109.4,
E_Brazil_Gas_OCGT_60s,2020,9.5,
E_Argentina_Gas_OCGT_70s,2020,48.9,
E_Brazil_Gas_OCGT_70s,2020,32.1,
E_Argentina_Gas_OCGT_80s,2020,755.4,
E_Brazil_Gas_OCGT_80s,2020,15.5,
E_Argentina_Gas_OCGT_90s,2020,1757.3,
E_Brazil_Gas_OCGT_90s,2020,110.0,
E_Argentina_Gas_OCGT_00s,2020,931.8,
E_Brazil_Gas_OCGT_00s,2020,2643.6,
E_Argentina_Gas_OCGT_10s,2020,1561.8,
E_Brazil_Gas_OCGT_10s,2020,749.5,
E_Chile_Gas_OCGT_10s,2020,1507.7,
E_Uruguay_Gas_OCGT_10s,2020,265.7,
E_Argentina_Gas_CCGT_60s,2020,166.8,
E_Brazil_Gas_CCGT_60s,2020,20.5,
E_Argentina_Gas_CCGT_70s,2020,74.6,
E_Brazil_Gas_CCGT_70s,2020,69.6,
E_Argentina_Gas_CCGT_80s,2020,1152.1,
E_Brazil_Gas_CCGT_80s,2020,33.5,
E_Argentina_Gas_CCGT_90s,2020,2680.4,
E_Brazil_Gas_CCGT_90s,2020,238.5,
E_Argentina_Gas_CCGT_00s,2020,1421.2,
E_Brazil_Gas_CCGT_00s,2020,5730.2,
E_Argentina_Gas_CCGT_10s,2020,2382.1,
E_Brazil_Gas_CCGT_10s,2020,1624.7,
E_Chile_Gas_CCGT_10s,2020,1490.4,
E_Argentina_Biomass_2015_rest,2020,46.0,
E_Argentina_Gas_CCGT_2002_rest,2020,3389.7999999999997,
E_Argentina_Gas_OCGT_2002_rest,2020,2222.4,
E_Argentina_Nuclear_2015_rest,2020,1755.0,
E_Brazil_Biomass_2006_rest,2020,1224.5,
E_Brazil_Coal_Sub_1996_rest,2020,3063.2,
E_Brazil_Gas_CCGT_2005_rest,2020,3331.0,
E_Brazil_Gas_OCGT_2005_rest,2020,1536.8000000000002,
E_Brazil_Nuclear_2015_rest,2020,1990.0,
E_Chile_Biomass_2015_rest,2020,88.10000000000002,
E_Chile_Gas_CCGT_2015_rest,2020,1947.6,
E_Chile_Gas_OCGT_2015_rest,2020,1970.3,
E_Chile_Geothermal_2015_rest,2020,40.0,
E_Paraguay_Biomass_2015_rest,2020,22.0,
E_Paraguay_Diesel_2015_rest,2020,25.0,
E_Uruguay_Biomass_2015_rest,2020,12.300000000000011,
E_Uruguay_Gas_OCGT_2015_rest,2020,840.3,
E_Hydro_Argentina_Colorado,2020,74.0,
E_Hydro_Argentina_De_la_Plata,2020,1992.0,
E_Hydro_Argentina_Futaleufu,2020,472.0,
