period,load_zone,twh,technology,scs
2020,Argentina,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2020,Brazil,0.019513901,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2020,Chile,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2020,Paraguay,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2020,Uruguay,0.08742417399999991,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2025,Argentina,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2025,Brazil,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2025,Chile,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2025,Paraguay,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2025,Uruguay,0.005845315999999858,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2030,Argentina,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2030,Brazil,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2030,Chile,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2030,Paraguay,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2030,Uruguay,0.0001329600000000005,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2035,Argentina,0.002695100982523374,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2035,Brazil,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2035,Chile,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2035,Paraguay,0.0,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
2035,Uruguay,0.07757258137645869,curt_vre,prm15_fix_wcost_re1_c2p1_co2_cut90p_tnt1
