project,specified,new_build,capacity_type
E_Argentina_Coal_Sub_60s,,,gen_spec
E_Brazil_Biomass_60s,,,gen_spec
E_Brazil_Coal_Sub_60s,,,gen_spec
E_Argentina_Coal_Sub_70s,,,gen_spec
E_Brazil_Biomass_70s,,,gen_spec
E_Brazil_Coal_Sub_70s,,,gen_spec
E_Argentina_Coal_Sub_80s,,,gen_spec
E_Brazil_Biomass_80s,,,gen_spec
E_Argentina_Coal_Sub_90s,,,gen_spec
E_Brazil_Biomass_90s,,,gen_spec
E_Brazil_Coal_Sub_90s,,,gen_spec
E_Argentina_Diesel_00s,,,gen_spec
E_Brazil_Biomass_00s,,,gen_spec
E_Brazil_Coal_Sub_00s,,,gen_spec
E_Brazil_Diesel_00s,,,gen_spec
E_Argentina_Coal_Sub_10s,,,gen_spec
E_Argentina_Diesel_10s,,,gen_spec
E_Brazil_Biomass_10s,,,gen_spec
E_Brazil_Coal_Sub_10s,,,gen_spec
E_Brazil_Diesel_10s,,,gen_spec
E_Chile_Biomass_10s,,,gen_spec
E_Chile_Coal_Sub_10s,,,gen_spec
E_Chile_Diesel_10s,,,gen_spec
E_Uruguay_Biomass_10s,,,gen_spec
E_Uruguay_Diesel_10s,,,gen_spec
E_Argentina_Gas_OCGT_60s,,,gen_spec
E_Brazil_Gas_OCGT_60s,,,gen_spec
E_Argentina_Gas_OCGT_70s,,,gen_spec
E_Brazil_Gas_OCGT_70s,,,gen_spec
E_Argentina_Gas_OCGT_80s,,,gen_spec
E_Brazil_Gas_OCGT_80s,,,gen_spec
E_Argentina_Gas_OCGT_90s,,,gen_spec
E_Brazil_Gas_OCGT_90s,,,gen_spec
E_Argentina_Gas_OCGT_00s,,,gen_spec
E_Brazil_Gas_OCGT_00s,,,gen_spec
E_Argentina_Gas_OCGT_10s,,,gen_spec
E_Brazil_Gas_OCGT_10s,,,gen_spec
E_Chile_Gas_OCGT_10s,,,gen_spec
E_Uruguay_Gas_OCGT_10s,,,gen_spec
E_Argentina_Gas_CCGT_60s,,,gen_spec
E_Brazil_Gas_CCGT_60s,,,gen_spec
E_Argentina_Gas_CCGT_70s,,,gen_spec
E_Brazil_Gas_CCGT_70s,,,gen_spec
E_Argentina_Gas_CCGT_80s,,,gen_spec
E_Brazil_Gas_CCGT_80s,,,gen_spec
E_Argentina_Gas_CCGT_90s,,,gen_spec
E_Brazil_Gas_CCGT_90s,,,gen_spec
E_Argentina_Gas_CCGT_00s,,,gen_spec
E_Brazil_Gas_CCGT_00s,,,gen_spec
E_Argentina_Gas_CCGT_10s,,,gen_spec
E_Brazil_Gas_CCGT_10s,,,gen_spec
E_Chile_Gas_CCGT_10s,,,gen_spec
E_Argentina_Biomass_2015_rest,,,gen_spec
E_Argentina_Gas_CCGT_2002_rest,,,gen_spec
E_Argentina_Gas_OCGT_2002_rest,,,gen_spec
E_Argentina_Nuclear_2015_rest,,,gen_spec
E_Brazil_Biomass_2006_rest,,,gen_spec
E_Brazil_Coal_Sub_1996_rest,,,gen_spec
E_Brazil_Gas_CCGT_2005_rest,,,gen_spec
E_Brazil_Gas_OCGT_2005_rest,,,gen_spec
E_Brazil_Nuclear_2015_rest,,,gen_spec
E_Chile_Biomass_2015_rest,,,gen_spec
E_Chile_Gas_CCGT_2015_rest,,,gen_spec
E_Chile_Gas_OCGT_2015_rest,,,gen_spec
E_Chile_Geothermal_2015_rest,,,gen_spec
E_Paraguay_Biomass_2015_rest,,,gen_spec
E_Paraguay_Diesel_2015_rest,,,gen_spec
E_Uruguay_Biomass_2015_rest,,,gen_spec
E_Uruguay_Gas_OCGT_2015_rest,,,gen_spec
P_Argentina_Biomass,,,gen_spec
P_Argentina_Coal_Sub,,,gen_spec
P_Argentina_Coal_Sup,,,gen_spec
P_Argentina_Coal_IGCC,,,gen_spec
P_Argentina_Gas_OCGT,,,gen_spec
P_Argentina_Gas_CCGT,,,gen_spec
P_Argentina_Gas_ICE,,,gen_spec
P_Argentina_Diesel,,,gen_spec
P_Argentina_Nuclear,,,gen_spec
P_Brazil_Biomass,,,gen_spec
P_Brazil_Coal_Sub,,,gen_spec
P_Brazil_Coal_Sup,,,gen_spec
P_Brazil_Coal_IGCC,,,gen_spec
P_Brazil_Gas_OCGT,,,gen_spec
P_Brazil_Gas_CCGT,,,gen_spec
P_Brazil_Gas_ICE,,,gen_spec
P_Brazil_Diesel,,,gen_spec
P_Brazil_Nuclear,,,gen_spec
P_Chile_Biomass,,,gen_spec
P_Chile_Coal_Sub,,,gen_spec
P_Chile_Coal_Sup,,,gen_spec
P_Chile_Coal_IGCC,,,gen_spec
P_Chile_Gas_OCGT,,,gen_spec
P_Chile_Gas_CCGT,,,gen_spec
P_Chile_Gas_ICE,,,gen_spec
P_Chile_Diesel,,,gen_spec
P_Chile_Geothermal,,,gen_spec
P_Paraguay_Biomass,,,gen_spec
P_Paraguay_Coal_IGCC,,,gen_spec
P_Paraguay_Gas_ICE,,,gen_spec
P_Paraguay_Diesel,,,gen_spec
P_Uruguay_Biomass,,,gen_spec
P_Uruguay_Coal_IGCC,,,gen_spec
P_Uruguay_Gas_OCGT,,,gen_spec
P_Uruguay_Gas_ICE,,,gen_spec
P_Uruguay_Diesel,,,gen_spec
E_Hydro_Argentina_Colorado,,,gen_spec
E_Hydro_Argentina_De_la_Plata,,,gen_spec
E_Hydro_Argentina_Futaleufu,,,gen_spec
E_Hydro_Argentina_Negro,,,gen_spec
E_Hydro_Argentina_Unknown,,,gen_spec
E_Hydro_Brazil_Amazonas,,,gen_spec
E_Hydro_Brazil_De_la_Plata,,,gen_spec
E_Hydro_Brazil_Doce,,,gen_spec
E_Hydro_Brazil_Jacui_Camaqua_Jaguaron,,,gen_spec
E_Hydro_Brazil_Paraiba_do_Sul,,,gen_spec
E_Hydro_Brazil_Paranaiba,,,gen_spec
E_Hydro_Brazil_Sao_Francisco,,,gen_spec
E_Hydro_Brazil_Unknown,,,gen_spec
E_Hydro_Chile_Maule_Itata,,,gen_spec
E_Hydro_Chile_Unknown,,,gen_spec
E_Hydro_Paraguay_De_la_Plata,,,gen_spec
E_Hydro_Uruguay_De_la_Plata,,,gen_spec
E_Hydro_Argentina_wb_rest,,,gen_spec
E_Hydro_Brazil_wb_rest,,,gen_spec
E_Hydro_Chile_wb_rest,,,gen_spec
E_Hydro_Uruguay_wb_rest,,,gen_spec
P_Hydro_SArgentina_SAtlantic_Coast48,,,gen_spec
P_Hydro_SArgentina_SAtlantic_Coast49,,,gen_spec
P_Hydro_Negro51,,,gen_spec
P_Hydro_Negro52,,,gen_spec
P_Hydro_Negro53,,,gen_spec
P_Hydro_Negro54,,,gen_spec
P_Hydro_Negro55,,,gen_spec
P_Hydro_Negro56,,,gen_spec
P_Hydro_SAmerica_Colorado59,,,gen_spec
P_Hydro_La_Plata63,,,gen_spec
P_Hydro_Negro64,,,gen_spec
P_Hydro_Negro65,,,gen_spec
P_Hydro_SAmerica_Colorado69,,,gen_spec
P_Hydro_SAmerica_Colorado74,,,gen_spec
P_Hydro_SAmerica_Colorado80,,,gen_spec
P_Hydro_SAmerica_Colorado81,,,gen_spec
P_Hydro_Negro83,,,gen_spec
P_Hydro_La_Plata85,,,gen_spec
P_Hydro_La_Plata86,,,gen_spec
P_Hydro_La_Plata87,,,gen_spec
U_Hydro_SAmerica_Colorado89,,,gen_spec
P_Hydro_SChile_Pacific_Coast91,,,gen_spec
P_Hydro_SChile_Pacific_Coast94,,,gen_spec
P_Hydro_SChile_Pacific_Coast95,,,gen_spec
P_Hydro_SChile_Pacific_Coast97,,,gen_spec
P_Hydro_SAmerica_Colorado98,,,gen_spec
P_Hydro_SAmerica_Colorado99,,,gen_spec
P_Hydro_SChile_Pacific_Coast100,,,gen_spec
P_Hydro_SArgentina_SAtlantic_Coast101,,,gen_spec
P_Hydro_La_Plata104,,,gen_spec
P_Hydro_SArgentina_SAtlantic_Coast106,,,gen_spec
P_Hydro_SArgentina_SAtlantic_Coast108,,,gen_spec
P_Hydro_Negro112,,,gen_spec
P_Hydro_Mar_Chiquita113,,,gen_spec
P_Hydro_Negro114,,,gen_spec
P_Hydro_SAmerica_Colorado115,,,gen_spec
P_Hydro_La_Plata116,,,gen_spec
P_Hydro_Amazon911,,,gen_spec
P_Hydro_La_Plata960,,,gen_spec
U_Hydro_La_Plata961,,,gen_spec
U_Hydro_La_Plata962,,,gen_spec
P_Hydro_La_Plata963,,,gen_spec
P_Hydro_La_Plata964,,,gen_spec
P_Hydro_La_Plata965,,,gen_spec
P_Hydro_La_Plata968,,,gen_spec
P_Hydro_La_Plata969,,,gen_spec
P_Hydro_La_Plata970,,,gen_spec
P_Hydro_La_Plata973,,,gen_spec
P_Hydro_La_Plata975,,,gen_spec
P_Hydro_La_Plata976,,,gen_spec
P_Hydro_La_Plata977,,,gen_spec
P_Hydro_La_Plata979,,,gen_spec
P_Hydro_Uruguay_Brazil_SAtlantic_Coast981,,,gen_spec
P_Hydro_La_Plata982,,,gen_spec
P_Hydro_La_Plata983,,,gen_spec
P_Hydro_La_Plata984,,,gen_spec
P_Hydro_La_Plata985,,,gen_spec
P_Hydro_La_Plata986,,,gen_spec
U_Hydro_La_Plata987,,,gen_spec
P_Hydro_La_Plata991,,,gen_spec
P_Hydro_Uruguay_Brazil_SAtlantic_Coast993,,,gen_spec
P_Hydro_Uruguay_Brazil_SAtlantic_Coast994,,,gen_spec
P_Hydro_Uruguay_Brazil_SAtlantic_Coast995,,,gen_spec
P_Hydro_La_Plata997,,,gen_spec
P_Hydro_La_Plata999,,,gen_spec
P_Hydro_La_Plata1000,,,gen_spec
P_Hydro_Sao_Francisco1002,,,gen_spec
P_Hydro_Uruguay_Brazil_SAtlantic_Coast1003,,,gen_spec
P_Hydro_La_Plata1005,,,gen_spec
P_Hydro_Uruguay_Brazil_SAtlantic_Coast1006,,,gen_spec
P_Hydro_Uruguay_Brazil_SAtlantic_Coast1010,,,gen_spec
P_Hydro_Uruguay_Brazil_SAtlantic_Coast1012,,,gen_spec
P_Hydro_Uruguay_Brazil_SAtlantic_Coast1013,,,gen_spec
P_Hydro_Uruguay_Brazil_SAtlantic_Coast1014,,,gen_spec
P_Hydro_Sao_Francisco1016,,,gen_spec
P_Hydro_Sao_Francisco1018,,,gen_spec
P_Hydro_Uruguay_Brazil_SAtlantic_Coast1019,,,gen_spec
P_Hydro_La_Plata1020,,,gen_spec
P_Hydro_La_Plata1023,,,gen_spec
P_Hydro_La_Plata1025,,,gen_spec
P_Hydro_La_Plata1028,,,gen_spec
P_Hydro_La_Plata1029,,,gen_spec
P_Hydro_La_Plata1030,,,gen_spec
P_Hydro_Sao_Francisco1034,,,gen_spec
U_Hydro_La_Plata1035,,,gen_spec
P_Hydro_Tocantins1036,,,gen_spec
P_Hydro_Uruguay_Brazil_SAtlantic_Coast1037,,,gen_spec
P_Hydro_Tocantins1038,,,gen_spec
P_Hydro_Tocantins1043,,,gen_spec
P_Hydro_Tocantins1044,,,gen_spec
P_Hydro_Tocantins1046,,,gen_spec
