project,period,specified_capacity_mw,specified_capacity_mwh
E_Argentina_Biomass_2015_rest,2020,46.0,
E_Argentina_Biomass_2015_rest,2025,46.0,
E_Argentina_Biomass_2015_rest,2030,46.0,
E_Argentina_Biomass_2015_rest,2035,46.0,
E_Argentina_Biomass_2015_rest,2040,46.0,
E_Argentina_Biomass_2015_rest,2045,46.0,
E_Argentina_Biomass_2015_rest,2050,46.0,
E_Argentina_Coal_Sub_10s,2020,13.2,
E_Argentina_Coal_Sub_10s,2025,13.2,
E_Argentina_Coal_Sub_10s,2030,13.2,
E_Argentina_Coal_Sub_10s,2035,13.2,
E_Argentina_Coal_Sub_10s,2040,13.2,
E_Argentina_Coal_Sub_10s,2045,13.2,
E_Argentina_Coal_Sub_10s,2050,13.2,
E_Argentina_Coal_Sub_60s,2020,960.6,
E_Argentina_Coal_Sub_60s,2025,960.6,
E_Argentina_Coal_Sub_60s,2030,960.6,
E_Argentina_Coal_Sub_60s,2035,0.0,
E_Argentina_Coal_Sub_60s,2040,0.0,
E_Argentina_Coal_Sub_60s,2045,0.0,
E_Argentina_Coal_Sub_60s,2050,0.0,
E_Argentina_Coal_Sub_70s,2020,216.0,
E_Argentina_Coal_Sub_70s,2025,216.0,
E_Argentina_Coal_Sub_70s,2030,216.0,
E_Argentina_Coal_Sub_70s,2035,216.0,
E_Argentina_Coal_Sub_70s,2040,0.0,
E_Argentina_Coal_Sub_70s,2045,0.0,
E_Argentina_Coal_Sub_70s,2050,0.0,
E_Argentina_Coal_Sub_80s,2020,1982.2,
E_Argentina_Coal_Sub_80s,2025,1982.2,
E_Argentina_Coal_Sub_80s,2030,1982.2,
E_Argentina_Coal_Sub_80s,2035,1982.2,
E_Argentina_Coal_Sub_80s,2040,1982.2,
E_Argentina_Coal_Sub_80s,2045,1982.2,
E_Argentina_Coal_Sub_80s,2050,0.0,
E_Argentina_Coal_Sub_90s,2020,981.0,
E_Argentina_Coal_Sub_90s,2025,981.0,
E_Argentina_Coal_Sub_90s,2030,981.0,
E_Argentina_Coal_Sub_90s,2035,981.0,
E_Argentina_Coal_Sub_90s,2040,981.0,
E_Argentina_Coal_Sub_90s,2045,981.0,
E_Argentina_Coal_Sub_90s,2050,981.0,
E_Argentina_Diesel_00s,2020,468.8,
E_Argentina_Diesel_00s,2025,468.8,
E_Argentina_Diesel_00s,2030,468.8,
E_Argentina_Diesel_00s,2035,468.8,
E_Argentina_Diesel_00s,2040,468.8,
E_Argentina_Diesel_00s,2045,468.8,
E_Argentina_Diesel_00s,2050,468.8,
E_Argentina_Diesel_10s,2020,1194.2,
E_Argentina_Diesel_10s,2025,1194.2,
E_Argentina_Diesel_10s,2030,1194.2,
E_Argentina_Diesel_10s,2035,1194.2,
E_Argentina_Diesel_10s,2040,1194.2,
E_Argentina_Diesel_10s,2045,1194.2,
E_Argentina_Diesel_10s,2050,1194.2,
E_Argentina_Gas_CCGT_00s,2020,1421.2,
E_Argentina_Gas_CCGT_00s,2025,1421.2,
E_Argentina_Gas_CCGT_00s,2030,1421.2,
E_Argentina_Gas_CCGT_00s,2035,1421.2,
E_Argentina_Gas_CCGT_00s,2040,1421.2,
E_Argentina_Gas_CCGT_00s,2045,1421.2,
E_Argentina_Gas_CCGT_00s,2050,1421.2,
E_Argentina_Gas_CCGT_10s,2020,2382.1,
E_Argentina_Gas_CCGT_10s,2025,2382.1,
E_Argentina_Gas_CCGT_10s,2030,2382.1,
E_Argentina_Gas_CCGT_10s,2035,2382.1,
E_Argentina_Gas_CCGT_10s,2040,2382.1,
E_Argentina_Gas_CCGT_10s,2045,2382.1,
E_Argentina_Gas_CCGT_10s,2050,2382.1,
E_Argentina_Gas_CCGT_2002_rest,2020,3389.8,
E_Argentina_Gas_CCGT_2002_rest,2025,3389.8,
E_Argentina_Gas_CCGT_2002_rest,2030,3389.8,
E_Argentina_Gas_CCGT_2002_rest,2035,3389.8,
E_Argentina_Gas_CCGT_2002_rest,2040,3389.8,
E_Argentina_Gas_CCGT_2002_rest,2045,3389.8,
E_Argentina_Gas_CCGT_2002_rest,2050,3389.8,
E_Argentina_Gas_CCGT_60s,2020,166.8,
E_Argentina_Gas_CCGT_60s,2025,0.0,
E_Argentina_Gas_CCGT_60s,2030,0.0,
E_Argentina_Gas_CCGT_60s,2035,0.0,
E_Argentina_Gas_CCGT_60s,2040,0.0,
E_Argentina_Gas_CCGT_60s,2045,0.0,
E_Argentina_Gas_CCGT_60s,2050,0.0,
E_Argentina_Gas_CCGT_70s,2020,74.6,
E_Argentina_Gas_CCGT_70s,2025,74.6,
E_Argentina_Gas_CCGT_70s,2030,0.0,
E_Argentina_Gas_CCGT_70s,2035,0.0,
E_Argentina_Gas_CCGT_70s,2040,0.0,
E_Argentina_Gas_CCGT_70s,2045,0.0,
E_Argentina_Gas_CCGT_70s,2050,0.0,
E_Argentina_Gas_CCGT_80s,2020,1152.1,
E_Argentina_Gas_CCGT_80s,2025,1152.1,
E_Argentina_Gas_CCGT_80s,2030,1152.1,
E_Argentina_Gas_CCGT_80s,2035,1152.1,
E_Argentina_Gas_CCGT_80s,2040,1152.1,
E_Argentina_Gas_CCGT_80s,2045,0.0,
E_Argentina_Gas_CCGT_80s,2050,0.0,
E_Argentina_Gas_CCGT_90s,2020,2680.4,
E_Argentina_Gas_CCGT_90s,2025,2680.4,
E_Argentina_Gas_CCGT_90s,2030,2680.4,
E_Argentina_Gas_CCGT_90s,2035,2680.4,
